,Topic,Count,Name,details
0,-1,23981,-1_people_patient_time_year,"['people', 'patient', 'time', 'year', 'thing', 'work', 'today', 'health', 'life', 'care']"
1,0,525,0_tweet_twitter_retweet_reply,"['tweet', 'twitter', 'retweet', 'reply', 'friend', 'people', 'account', 'year', 'life', 'time']"
2,1,487,1_tory_party_vote_election,"['tory', 'party', 'vote', 'election', 'labour', 'voter', 'resignation', 'corruption', 'corbyn', 'country']"
3,2,448,2_child_daughter_parent_trauma,"['child', 'daughter', 'parent', 'trauma', 'loss', 'comment', 'guess', 'grief', 'instagram', 'injury']"
4,3,365,3_year_paeds_rotation_someone,"['year', 'paeds', 'rotation', 'someone', 'person', 'thanks', 'thank', 'time', 'thing', 'paed']"
5,4,325,4_covid_rule_virus_hospital,"['covid', 'rule', 'virus', 'hospital', 'people', 'patient', 'case', 'care', 'government', 'child']"
6,5,321,5_time_hour_people_peak,"['time', 'hour', 'people', 'peak', 'minute', 'thing', 'something', 'clock', 'response', 'past']"
7,6,303,6_hope_wish_sorry_apology,"['hope', 'wish', 'sorry', 'apology', 'dream', 'faith', 'support', 'thanks', 'congratulation', 'thank']"
8,7,297,7_thanks_thank_thankyou_message,"['thanks', 'thank', 'thankyou', 'message', 'moment', 'snack', 'mind', 'time', 'pleasure', 'thing']"
9,8,284,8_school_student_child_teacher,"['school', 'student', 'child', 'teacher', 'manchester', 'essay', 'year', 'education', 'march', 'learning']"
10,9,284,9_week_rota_brighton_follower,"['week', 'rota', 'brighton', 'follower', 'interview', 'choir', 'time', 'ireland', 'thank', 'thanks']"
11,10,282,10_book_story_ghost_library,"['book', 'story', 'ghost', 'library', 'dating', 'memoir', 'anecdote', 'mantel', 'writer', 'bookshop']"
12,11,276,11_staff_nurse_employer_shortage,"['staff', 'nurse', 'employer', 'shortage', 'charge', 'patient', 'service', 'petrol', 'nursing', 'queue']"
13,12,270,12_food_water_meat_beef,"['food', 'water', 'meat', 'beef', 'dinner', 'recipe', 'microwave', 'meal', 'diet', 'sewage']"
14,13,258,13_woman_role_gender_model,"['woman', 'role', 'gender', 'model', 'lady', 'sexism', 'doctor', 'female', 'misogyny', 'time']"
15,14,249,14_disorder_spectrum_hypermobility_syndrome,"['disorder', 'spectrum', 'hypermobility', 'syndrome', 'autism', 'ehlersdanlos', 'adhd', 'vitamin', 'hashtag', 'deficiency']"
16,15,244,15_congratulation_congrats_news_proud,"['congratulation', 'congrats', 'news', 'proud', 'achievement', 'award', 'thank', 'prize', 'whoop', 'success']"
17,16,237,16_vaccine_vaccination_covid_antibody,"['vaccine', 'vaccination', 'covid', 'antibody', 'risk', 'immunity', 'transmission', 'disease', 'people', 'vaccinator']"
18,17,236,17_mubarak_ramadan_allah_sosai,"['mubarak', 'ramadan', 'allah', 'sosai', 'kawai', 'iawn', 'ameen', 'olwen', 'diolch', 'akwai']"
19,18,203,18_night_shift_evening_afternoon,"['night', 'shift', 'evening', 'afternoon', 'time', 'melatonin', 'mode', 'hour', 'pokemon', 'tomorrow']"
20,19,202,19_doctor_medicine_medic_profession,"['doctor', 'medicine', 'medic', 'profession', 'patient', 'specialist', 'advice', 'book', 'career', 'school']"
