id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.5221444385664082e+18,2022-05-05 09:21:28+00:00,['1522144438566408193'],The electricity network down in parts of Salahaddin province in Iraq as a result of the latest horrible sandstorm to hit the country. https://t.co/wlBPPPI1SD,electricity network part salahaddin province iraq result latest horrible sandstorm hit country,False,electricity network part salahaddin province iraq result sandstorm country 
1.5219915924327877e+18,2022-05-04 23:14:07+00:00,['1521991592432787458'],“Poussière” is actually “dust” but it manifests itself as sand here),poussire actually dust manifest sand,False,poussire sand 
1.5219910598527386e+18,2022-05-04 23:12:00+00:00,['1521991059852738560'],Here we go again. More sand. https://t.co/5nYQPj2WR6,sand,False,sand 
1.5219318703422054e+18,2022-05-04 19:16:48+00:00,['1521931870342205440'],"Watched Turkish film on plane about man who falls in love with his cleaner; film becomes fab ad for Istanbul &amp; Cunda, before we find out she has brain tumour. Reality hits right at end, &amp; belief am watching uplifting rom-com shattered by Harsh Truth that world is basically grim.",watched turkish film plane man fall love cleaner film becomes fab istanbul amp cunda find brain tumour reality hit right end amp belief watching uplifting romcom shattered harsh truth world basically grim,False,turkish film plane man fall love cleaner film istanbul amp cunda brain tumour reality end amp belief romcom truth world 
1.52192861778108e+18,2022-05-04 19:03:53+00:00,['1521928617781080067'],"This is the 2nd rocket attack on the refinery in a month - it damaged a storage tank at the complex &amp; highlights what appears to be an escalating threat against KAR Group, which operates the refinery &amp; other critical energy projects in Iraqi Kurdistan. https://t.co/6HQ3kXUVHE",rocket attack refinery month damaged storage tank complex amp highlight appears escalating threat kar group operates refinery amp critical energy project iraqi kurdistan,False,rocket attack refinery month storage tank amp highlight threat group energy project 
1.521917674619646e+18,2022-05-04 18:20:24+00:00,['1521917674619645952'],Finally got hold of a copy of Home Body by @rupikaur_ . Good thoughts to keep close. https://t.co/YjnYTRafsh,finally got hold copy home body good thought keep close,False,copy home body 
1.5219069705167626e+18,2022-05-04 17:37:52+00:00,['1521906970516762624'],@Sofee_Safsaf Yup,yup,True,yup 
1.5219069497674547e+18,2022-05-04 17:37:47+00:00,['1521906949767454721'],@ali_almikdam Yeah - Inside :((((,yeah inside,True,
1.5219017302077809e+18,2022-05-04 17:17:02+00:00,['1521901730207780869'],"We also talked about cows, and how Iraq doesn’t know how much methane the country’s oil fields produce. 🐄 https://t.co/utPTDEYEVL",also talked cow iraq doesnt know much methane country oil field produce,False,doesnt country oil field produce 
1.5218667856492175e+18,2022-05-04 14:58:11+00:00,['1521866785649217537'],"Some older officials are also hesitant about clean energy, he admits: ""We've a small problem in that some of the senior leaders aren't entirely convinced about the efficacy of clean energy. The new generation believe in this transition &amp; are open to it."" https://t.co/KyhI4CyGEA",older official also hesitant clean energy admits we've small problem senior leader entirely convinced efficacy clean energy new generation believe transition amp open,False,official energy problem leader energy generation transition amp 
1.5218667836569272e+18,2022-05-04 14:58:10+00:00,['1521866783656927232'],"Iraq has big plans for solar power BUT none of the projects have actually begun on the ground yet, and, as Abdulbaqi admits, sandstorms are an issue - they affect the efficacy of the panels https://t.co/KyhI4CyGEA",iraq big plan solar power none project actually begun ground yet abdulbaqi admits sandstorm issue affect efficacy panel,False,iraq plan power none project ground issue efficacy panel 
1.5218667815933297e+18,2022-05-04 14:58:10+00:00,['1521866781593329672'],"My @iraqoilreport interview with Abdulbaqi K. Ali, the Iraqi Oil Ministry's advisor for energy affairs, who is heading efforts to move towards use of cleaner &amp; more sustainable forms of energy in #Iraq. https://t.co/KyhI4CyGEA",interview abdulbaqi ali iraqi oil ministry's advisor energy affair heading effort move towards use cleaner amp sustainable form energy,False,interview abdulbaqi ali oil ministry advisor energy affair effort move form energy 
