id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.521799701737136e+18,2022-05-04 10:31:37+00:00,['1521799701737136128'],https://t.co/aAkaebqT4S canlı yayında!… https://t.co/o7CpW8PU35,"{'copyright': False, 'country_codes': ['TR']}",canl yaynda,True,canl yaynda 
1.521571734016643e+18,2022-05-03 19:25:45+00:00,['1521571734016643077'],"Özgür Tv’de Özgür Haberlerin hemen ardından HDP Batman MV. Feleknas Uca ve gazeteci Beritan Sarya ile Irak ordusunun Şengal’e yönelik saldırılara ilişkin değerlendirmeleri izlemek isteyenler için…Lütfen RT
https://t.co/MjPiPQSZ8O
@etkinhaberetha @ozgurtvorg @EzilenlerinHB https://t.co/TwneEV6cwq","{'copyright': False, 'country_codes': ['TR']}",zgr tvde zgr haberlerin hemen ardndan hdp batman feleknas uca gazeteci beritan sarya ile irak ordusunun engale ynelik saldrlara ilikin deerlendirmeleri izlemek isteyenler iinltfen,True,zgr tvde zgr haberlerin batman beritan sarya ile irak ynelik saldrlara deerlendirmeleri izlemek isteyenler iinltfen 
1.5207094701915955e+18,2022-05-01 10:19:25+00:00,['1520709470191595520'],"1 Mayıs'a ilişkin tüm gelişmeler Özgür Tv ekranlarında
https://t.co/1A9tyyJ1xb
https://t.co/VVVUZFym58 https://t.co/rCjhsO9Ym1","{'copyright': False, 'country_codes': ['TR']}",mays'a ilikin gelimeler zgr ekranlarnda,True,gelimeler zgr ekranlarnda 
1.5207089031090258e+18,2022-05-01 10:17:10+00:00,['1520708903109025793'],"1 Mayıs'a ilişkin tüm gelişmeler Özgür Tv ekranlarında
https://t.co/1A9tyyJ1xb
https://t.co/VVVUZFym58 https://t.co/q0RIWo9TAt","{'copyright': False, 'country_codes': ['TR']}",mays'a ilikin gelimeler zgr ekranlarnda,True,gelimeler zgr ekranlarnda 
1.5200763281077494e+18,2022-04-29 16:23:32+00:00,['1520076328107749377'],"Özgür Haberler hafta içi hergün Av. saatiyle 19:00'da Özgür Tv'de!
🚩Sosyal Medya Hesaplarımızı takip edelim, ezilenlerin ve işçi sınıfının sesini büyütelim.
👉 WEB: https://t.co/ETmIWUZpmF
👉 Youtube: https://t.co/L6gUYKHXy0
👉 FB: https://t.co/H42LVISIve
#canli #sondakika https://t.co/OHJD1cYmaj","{'copyright': False, 'country_codes': ['TR']}",zgr haberler hafta hergn saatiyle 'da zgr tv'de sosyal medya hesaplarmz takip edelim ezilenlerin snfnn sesini bytelim web youtube,True,zgr haberler hafta hergn zgr tv'de sosyal medya hesaplarmz takip edelim ezilenlerin snfnn sesini bytelim web youtube 
1.5188761345863352e+18,2022-04-26 08:54:24+00:00,['1518876134586335235'],@gunes_kutuph sizden bir isteğim var. Elinizde Abdullah Öcalan’ın kdp’ye yönelik değerlendirmeleriyle ilgili metin var mı? Bir de yayınladığınız görüntülerin tamamını bana ulaştırmanız mümkün mü?,"{'copyright': False, 'country_codes': ['TR']}",sizden bir isteim var elinizde abdullah calann kdpye ynelik deerlendirmeleriyle ilgili metin var bir yaynladnz grntlerin tamamn bana ulatrmanz mmkn,True,bir isteim var elinizde abdullah calann kdpye ynelik ilgili metin var bir yaynladnz grntlerin tamamn bana mmkn 
1.5187019360228966e+18,2022-04-25 21:22:12+00:00,['1518701936022896642'],Ah Çiğdem… https://t.co/zaheaztRMh,"{'copyright': False, 'country_codes': ['TR']}",idem,True,idem 
1.5184801989912412e+18,2022-04-25 06:41:06+00:00,['1518480198991241216'],"Lanet olsun…İnsanlara bütün bu acıları çektirenler er ya da geç hesap vermeli ki, gidenlerin ahı yerde kalmasın. İki gündür çok Üzgün ve öfkeliyim… https://t.co/HmO5vgQCY3","{'copyright': False, 'country_codes': ['TR']}",lanet olsunnsanlara btn aclar ektirenler hesap vermeli gidenlerin yerde kalmasn gndr zgn fkeliyim,True,lanet olsunnsanlara btn ektirenler hesap gidenlerin yerde kalmasn gndr zgn fkeliyim 
1.5182966783144305e+18,2022-04-24 18:31:51+00:00,['1518296678314430464'],"Ermeni Soykırımının 107. yılı #ermeni #soykirim #ErmeniSoykırımıYoktur 
https://t.co/82l6Pc2RpY https://t.co/WLf1YFHiCF","{'copyright': False, 'country_codes': ['TR']}",ermeni soykrmnn rmyoktur,True,ermeni soykrmnn rmyoktur 
1.5182964533530296e+18,2022-04-24 18:30:57+00:00,['1518296453353029639'],"DOSYA: SEVAG BALIKÇI #sevagbalçı #ermeni #ErmeniSoykırımı
https://t.co/igzhH8mKQo https://t.co/YMmqkb4RPB","{'copyright': False, 'country_codes': ['TR']}",dosya sevag baliki,True,dosya sevag baliki 
