id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5200176775862436e+18,2022-04-29 12:30:29+00:00,['1520017677586243584'],"These ""compositional"" reasons were a significant factor in average wage growth during the pandemic, but that is no longer the case. (In fact, in the most recent figures, compositional factors were a drag on average earnings.) More at https://t.co/ShotkXI2OO https://t.co/D1GxLSqeyt",these compositional reasons were a significant factor in average wage growth during the pandemic but that is no longer the case in fact in the most recent figures compositional factors were a drag on average earnings more at  ,reason factor wage growth case fact figure factor drag earnings
1.5200176737568522e+18,2022-04-29 12:30:28+00:00,['1520017673756852224'],"It's fairly simple to understand: if people at the lowest end of the earnings scale lose their jobs, but people at the top don't, the _average_ wage goes up despite no one being paid more than before. 2/3",it's fairly simple to understand if people at the lowest end of the earnings scale lose their jobs but people at the top dont the _average_ wage goes up despite no one being paid more than before,people earnings scale people dont _average_ wage
1.5200176717854843e+18,2022-04-29 12:30:28+00:00,['1520017671785484288'],"A big reason for the rise in _average_ wages during the pandemic lockdown was simply that there were fewer jobs around for those with low skills, and in traditionally low-skilled economic sectors 1/3 https://t.co/Vgv2E6369W",a big reason for the rise in _average_ wages during the pandemic lockdown was simply that there were fewer jobs around for those with low skills and in traditionally lowskilled economic sectors ,reason rise wage lockdown skill sector
1.518928284255404e+18,2022-04-26 12:21:37+00:00,['1518928284255404032'],@JackShawLPC Ah good! It strikes me very much as one of those situations where abundant data which _should_ enable better decisions could end up leading to injustices/terrible policy if used in the wrong way. A clearer government definition of levelling up would have helped..., ah good it strikes me very much as one of those situations where abundant data which _should_ enable better decisions could end up leading to injusticesterrible policy if used in the wrong way a clearer government definition of levelling up would have helped,situation abundant data decision policy government definition
1.518926422466777e+18,2022-04-26 12:14:14+00:00,['1518926422466777088'],@JackShawLPC (The other one that bothers me = distance to key services. Giving weight to this is essentially just saying rural areas need levelling up and urban ones don't. Here green=Scilly Isles. Does this show levelling up need and how on earth would you improve it anyway?) https://t.co/GN5G8a4MOG, the other one that bothers me  distance to key services giving weight to this is essentially just saying rural areas need levelling up and urban ones dont here greenscilly isles does this show levelling up need and how on earth would you improve it anyway ,distance service weight area show need earth
1.518925877437948e+18,2022-04-26 12:12:04+00:00,['1518925877437947910'],"@JackShawLPC ...or how they should be interpreted, or weighted against each other, or what constitutes a pattern such that a place should be a levelling up priority. https://t.co/pfseoEA7ys", or how they should be interpreted or weighted against each other or what constitutes a pattern such that a place should be a levelling up priority ,pattern place priority
1.5189257032904417e+18,2022-04-26 12:11:22+00:00,['1518925703290441730'],"@JackShawLPC I'm also worried about other subjective metrics that are measured have been mentioned around levelling-up, e.g. self-reported happiness. Here Chichester=green, West Devon=yellow. Chichester is an urgent levelling-up priority? No real discussion of which are good/bad LU metrics https://t.co/meRlWBokH6", i'm also worried about other subjective metrics that are measured have been mentioned around levellingup eg selfreported happiness here chichestergreen west devonyellow chichester is an urgent levellingup priority no real discussion of which are goodbad lu metrics ,metric happiness chichester levellingup priority discussion metric
1.5188932941006602e+18,2022-04-26 10:02:35+00:00,['1518893294100660230'],VAT receipts also up as spending on goods and services surged. https://t.co/LmjcMLK8l5,vat receipts also up as spending on goods and services surged ,receipt spending good service
1.5188927935649956e+18,2022-04-26 10:00:36+00:00,['1518892793564995585'],"Payroll taxes (National Insurance, Income Tax) were a significant factor in the scale of the increase https://t.co/TL96E88tEP",payroll taxes national insurance income tax were a significant factor in the scale of the increase ,payroll insurance income factor scale increase
1.5188921072971407e+18,2022-04-26 09:57:52+00:00,['1518892107297140737'],"HMRC collected £718.2 billion in taxes in 2021-22, up 22.9% on a Covid-hit 2020. https://t.co/uGQjkXoTRr https://t.co/nrQOPYf6jt",hmrc collected  billion in taxes in up on a covidhit  ,hmrc covidhit
1.518520952417575e+18,2022-04-25 09:23:02+00:00,['1518520952417574913'],"Cost of living increases really beginning to bite - and particularly for those with the least. 34% of adults in most deprived areas finding it difficult to pay bills, up from 25% in just four months. https://t.co/QQrBjiZQB6 https://t.co/Ll71V5ameN",cost of living increases really beginning to bite  and particularly for those with the least of adults in most deprived areas finding it difficult to pay bills up from in just four months  ,cost living increase adult area bill month
1.5185199248382523e+18,2022-04-25 09:18:57+00:00,['1518519924838252545'],"In other words - if you live in one of the most deprived parts of the UK, you are likely to become unhealthy long before the statutory retirement age. https://t.co/sZivtt21i5",in other words  if you live in one of the most deprived parts of the uk you are likely to become unhealthy long before the statutory retirement age ,word part retirement
