Unnamed: 0,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
1,1.5649229214574182e+18,2022-08-31 10:27:53+00:00,['1564922921457418241'],@merrillteaches Yep!, yep,True,False
2,1.5649101399367598e+18,2022-08-31 09:37:06+00:00,['1564910139936759808'],@Dorastar1 @farrowmr Yes of course!,  yes of course,True,False
3,1.5649049617832346e+18,2022-08-31 09:16:32+00:00,['1564904961783234565'],@farrowmr @Dorastar1 I’ll send the the recipe- it’s like balsamic . Very good with a Splash in casserole/ chilli/ spag Bol,  i’ll send the the recipe it’s like balsamic  very good with a splash in casserole chilli spag bol,True,False
4,1.5648946326260654e+18,2022-08-31 08:35:29+00:00,['1564894632626065408'],@farrowmr I hope you got a good haul while you were up there! Elderberry vinegar for the win., i hope you got a good haul while you were up there elderberry vinegar for the win,True,False
6,1.5645505591679058e+18,2022-08-30 09:48:15+00:00,['1564550559167905792'],"KS2, Non fiction farming books are pretty impossible to find. I’ve got a few, but mostly it seems that they are aimed at toddlers who like tractors. Any suggestions? @ANewChapterBks @booknookhove @LEAF_Education @LEAF_Farming",ks2 non fiction farming books are pretty impossible to find i’ve got a few but mostly it seems that they are aimed at toddlers who like tractors any suggestions    ,True,False
7,1.564548674180358e+18,2022-08-30 09:40:46+00:00,['1564548674180358144'],@_MrLevick @ANewChapterBks This is such a Brilliant re-telling of it.,  this is such a brilliant retelling of it,True,False
8,1.5645484314058465e+18,2022-08-30 09:39:48+00:00,['1564548431405846530'],@ANewChapterBks Letters from the Lightgouse by @emmac2603 in Y5/6. Always great writing from it., letters from the lightgouse by  in y56 always great writing from it,True,False
9,1.564518102888489e+18,2022-08-30 07:39:17+00:00,['1564518102888488960'],"@MissSDoherty You’ll smash it of course, but new stuff always makes our minds over active!", you’ll smash it of course but new stuff always makes our minds over active,True,False
11,1.5642282023814185e+18,2022-08-29 12:27:20+00:00,['1564228202381418497'],@HLucas8 Will deffo have a catch up! I’m a loner too!, will deffo have a catch up i’m a loner too,True,False
12,1.564226950545154e+18,2022-08-29 12:22:21+00:00,['1564226950545154050'],"Brilliant set of presenters from across the country are meeting at Hayling Island on the 10th Sept to learn, chat and make connections. Free Ticket link is here https://t.co/snYbGmdP2m #pedagoohampshire22 https://t.co/nERjeIq1fv https://t.co/6CVOskntz2",brilliant set of presenters from across the country are meeting at hayling island on the 10th sept to learn chat and make connections free ticket link is here    ,True,False
14,1.5637908942849065e+18,2022-08-28 07:29:37+00:00,['1563790894284906497'],@stowdawn I WILL write my session outline tomorrow! I WILL !, i will write my session outline tomorrow i will ,True,False
15,1.563271224788394e+18,2022-08-26 21:04:38+00:00,['1563271224788393987'],@mrjuliandicks I wonder how many enquiries they get after seeing that!, i wonder how many enquiries they get after seeing that,True,False
17,1.5631964985734144e+18,2022-08-26 16:07:42+00:00,['1563196498573414400'],Lovely swim in the river dart #swimswithbrauns https://t.co/KN2fud4PKM,lovely swim in the river dart  ,True,False
18,1.563087794527826e+18,2022-08-26 08:55:45+00:00,['1563087794527825921'],@thatteacherguy_ Oh ow! That looks like it’s painful. Hope the next few weeks see rapid improvement, oh ow that looks like it’s painful hope the next few weeks see rapid improvement,True,False
19,1.5630708231868703e+18,2022-08-26 07:48:19+00:00,['1563070823186870277'],@thatteacherguy_ Oh dear! Where’s the fracture. Housebound is enough to Drive you insane, oh dear where’s the fracture housebound is enough to drive you insane,True,False
20,1.5629017300519076e+18,2022-08-25 20:36:24+00:00,['1562901730051907584'],@MissSDoherty Yes. I’ve  seen unhappy chn get their heads down and crack on to avoid the unhappiness., yes i’ve  seen unhappy chn get their heads down and crack on to avoid the unhappiness,True,False
22,1.5625417714561352e+18,2022-08-24 20:46:03+00:00,['1562541771456135168'],Book you places now for #pedagoohampshire22 https://t.co/C70vY5oAMk,book you places now for  ,True,False
23,1.5625416428835512e+18,2022-08-24 20:45:32+00:00,['1562541642883551232'],@AFamilyUK @joshuaseigal I do indeed!,  i do indeed,True,False
24,1.5621265310859305e+18,2022-08-23 17:16:02+00:00,['1562126531085930496'],@MrEFinch My kind of place!, my kind of place,True,False
25,1.5621221930977075e+18,2022-08-23 16:58:48+00:00,['1562122193097707520'],@OwlHandsOnDeck @MissC_1717 @_MissieBee I just don’t care about it! I’m very pleased other people love it! I’ll do a good job at teaching it because I can fake enthusiasm but really I’d rather stick pins in my eyes than listen to anyone talk about space! Although the new pics of Jupiter are pretty cool!,   i just don’t care about it i’m very pleased other people love it i’ll do a good job at teaching it because i can fake enthusiasm but really i’d rather stick pins in my eyes than listen to anyone talk about space although the new pics of jupiter are pretty cool,True,False
26,1.5620280665993052e+18,2022-08-23 10:44:46+00:00,['1562028066599305218'],@MissC_1717 Urgh! Space- mind numbingly boring. At least it’s only about 2 lessons worth., urgh space mind numbingly boring at least it’s only about 2 lessons worth,True,False
28,1.5620110276839096e+18,2022-08-23 09:37:04+00:00,['1562011027683909633'],@Snotlady5 @DD_Hammocks @LedlenserUK Drink up! I do love sleeping in a hammock!,   drink up i do love sleeping in a hammock,True,False
29,1.5619615424045097e+18,2022-08-23 06:20:26+00:00,['1561961542404509696'],Morning all - nice cuppa after a hammock night @DD_Hammocks @LedlenserUK https://t.co/aWgLZWLiJ2,morning all  nice cuppa after a hammock night   ,True,False
31,1.561239205774246e+18,2022-08-21 06:30:07+00:00,['1561239205774245889'],@ProfDanielMuijs I hate seeing banners outside schools declaring how many student got into OxBridge.Implies that other unis aren’t as good. Or that they are only proud of ‘those’ students. 2 of my local secondaries do this., i hate seeing banners outside schools declaring how many student got into oxbridgeimplies that other unis aren’t as good or that they are only proud of ‘those’ students 2 of my local secondaries do this,True,False
32,1.5612366530830664e+18,2022-08-21 06:19:59+00:00,['1561236653083066369'],I absolutely love these etymological sheets. Knowing what parts of a word mean really help understanding https://t.co/89efl9h0Oo,i absolutely love these etymological sheets knowing what parts of a word mean really help understanding ,True,False
33,1.5607258649118884e+18,2022-08-19 20:30:17+00:00,['1560725864911888386'],Son 1 is making me some new clay letter stamps on his @creation_ender_3  3D printer https://t.co/vyLeLAje8C,son 1 is making me some new clay letter stamps on his   3d printer ,True,False
34,1.5606285350768353e+18,2022-08-19 14:03:32+00:00,['1560628535076835330'],Just posted a photo https://t.co/Z9w80GlE94,just posted a photo ,True,False
35,1.5605651227869637e+18,2022-08-19 09:51:33+00:00,['1560565122786963459'],@smithsmm We’ll done to him!, we’ll done to him,True,False
36,1.5605632449300398e+18,2022-08-19 09:44:06+00:00,['1560563244930039808'],Perfect for our #greenman unit in Bury Rangers #josephcoelho #OurTower https://t.co/rq11bIuimc,perfect for our  unit in bury rangers   ,True,False
