,Topic,Count,Name,details
0,-1,109476,-1_school_time_year_people,"['school', 'time', 'year', 'people', 'child', 'teacher', 'thing', 'week', 'today', 'work']"
1,0,2438,0_christmas_holiday_bank_fire,"['christmas', 'holiday', 'bank', 'fire', 'mine', 'journal', 'animal', 'merry', 'sleep', 'pinterest']"
2,1,2068,1_tweet_twitter_account_facebook,"['tweet', 'twitter', 'account', 'facebook', 'boro', 'response', 'reply', 'follower', 'people', 'parody']"
3,2,1818,2_morning_james_claire_gift,"['morning', 'james', 'claire', 'gift', 'nicola', 'yesterday', 'half', 'adventure', 'monday', 'everyone']"
4,3,1790,3_enjoy_bird_today_theme,"['enjoy', 'bird', 'today', 'theme', 'butterfly', 'shot', 'insect', 'garden', 'flight', 'sunshine']"
5,4,1676,4_thank_love_compassion_family,"['thank', 'love', 'compassion', 'family', 'wait', 'glad', 'thanks', 'goodness', 'worry', 'hello']"
6,5,1575,5_instone_thanks_friend_look,"['instone', 'thanks', 'friend', 'look', 'thank', 'reaction', 'afternoon', 'shock', 'kitten', 'kitty']"
7,6,1369,6_congratulation_moment_news_pressure,"['congratulation', 'moment', 'news', 'pressure', 'smile', 'stone', 'button', 'feeling', 'jubilee', 'photo']"
8,7,1360,7_johnson_starmer_election_vote,"['johnson', 'starmer', 'election', 'vote', 'liar', 'truth', 'corruption', 'party', 'sunak', 'cabinet']"
9,8,1286,8_hope_health_care_sorry,"['hope', 'health', 'care', 'sorry', 'please', 'hashtag', 'pitch', 'wish', 'support', 'anyone']"
10,9,1232,9_covid_symptom_lunch_coronavirus,"['covid', 'symptom', 'lunch', 'coronavirus', 'school', 'excuse', 'heat', 'headache', 'throat', 'attendance']"
11,10,1015,10_energy_bill_water_price,"['energy', 'bill', 'water', 'price', 'company', 'cost', 'inflation', 'profit', 'crisis', 'petrol']"
12,11,994,11_tory_party_labour_seat,"['tory', 'party', 'labour', 'seat', 'mummy', 'people', 'vote', 'election', 'durham', 'conspiracy']"
13,12,960,12_friday_instagram_travel_weekend,"['friday', 'instagram', 'travel', 'weekend', 'fashion', 'nature', 'york', 'feed', 'journey', 'recipe']"
14,13,924,13_pension_donation_charity_debt,"['pension', 'donation', 'charity', 'debt', 'cell', 'loan', 'landlord', 'housing', 'donor', 'stem']"
15,14,889,14_book_wedding_illustrator_author,"['book', 'wedding', 'illustrator', 'author', 'visit', 'earth', 'prize', 'rainbow', 'recommendation', 'suggestion']"
