,Topic,Count,Name,details
0,-1,104765,-1_school_year_time_people,"['school', 'year', 'time', 'people', 'teacher', 'child', 'thing', 'week', 'work', 'today']"
1,0,3703,0_thank_weekend_idea_thanks,"['thank', 'weekend', 'idea', 'thanks', 'kind', 'friday', 'look', 'word', 'princess', 'glad']"
2,1,2544,1_congratulation_news_order_privilege,"['congratulation', 'news', 'order', 'privilege', 'delivery', 'step', 'donation', 'charity', 'colleague', 'moon']"
3,2,2380,2_morning_james_claire_walk,"['morning', 'james', 'claire', 'walk', 'nicola', 'today', 'beer', 'adventure', 'yesterday', 'star']"
4,3,2066,3_tory_party_corbyn_labour,"['tory', 'party', 'corbyn', 'labour', 'jeremy', 'starmer', 'socialist', 'socialism', 'vote', 'people']"
5,4,1910,4_book_copy_journal_author,"['book', 'copy', 'journal', 'author', 'pleasure', 'shelf', 'page', 'illustrator', 'hashtag', 'pizza']"
6,5,1743,5_enjoy_bird_today_theme,"['enjoy', 'bird', 'today', 'theme', 'butterfly', 'garden', 'shot', 'insect', 'flight', 'dragon']"
7,6,1593,6_instone_thanks_hope_credit,"['instone', 'thanks', 'hope', 'credit', 'friend', 'team', 'tiger', 'referee', 'thank', 'glitter']"
8,7,1421,7_tweet_twitter_bristol_boro,"['tweet', 'twitter', 'bristol', 'boro', 'appointment', 'timeline', 'decade', 'people', 'gesture', 'fruit']"
9,8,1403,8_mask_face_pandemic_sunshine,"['mask', 'face', 'pandemic', 'sunshine', 'shop', 'coat', 'heat', 'tennis', 'tube', 'supermarket']"
10,9,1374,9_prince_duke_duchess_photograph,"['prince', 'duke', 'duchess', 'photograph', 'cornwall', 'queen', 'message', 'virginia', 'andrew', 'cambridge']"
11,10,1343,10_family_wish_love_inclusiondiversity,"['family', 'wish', 'love', 'inclusiondiversity', 'thought', 'kind', 'think', 'thank', 'theatre', 'cancer']"
12,11,1205,11_holiday_bank_animal_poverty,"['holiday', 'bank', 'animal', 'poverty', 'pinterest', 'food', 'load', 'journalist', 'brighton', 'sustainability']"
13,12,1184,12_hair_plan_tomorrow_sorry,"['hair', 'plan', 'tomorrow', 'sorry', 'focus', 'today', 'reflection', 'bless', 'time', 'visit']"
14,13,1126,13_room_mine_space_chair,"['room', 'mine', 'space', 'chair', 'shirt', 'wall', 'classroom', 'appeal', 'desk', 'display']"
15,14,1106,14_energy_cost_price_bill,"['energy', 'cost', 'price', 'bill', 'inflation', 'crisis', 'rise', 'housing', 'petrol', 'wage']"
16,15,1064,15_inclusion_difference_approach_school,"['inclusion', 'difference', 'approach', 'school', 'diversity', 'conference', 'lgbt', 'month', 'pride', 'book']"
17,16,1064,16_parent_exam_child_doctor,"['parent', 'exam', 'child', 'doctor', 'evening', 'anything', 'time', 'harry', 'alternative', 'russell']"
18,17,994,17_johnson_boris_talent_liar,"['johnson', 'boris', 'talent', 'liar', 'election', 'parliament', 'integrity', 'promise', 'sheep', 'party']"
19,18,927,18_music_drama_sleep_song,"['music', 'drama', 'sleep', 'song', 'tune', 'geography', 'version', 'alarm', 'folk', 'choir']"
20,19,916,19_money_funding_school_budget,"['money', 'funding', 'school', 'budget', 'debt', 'loan', 'fund', 'cost', 'cash', 'people']"
