,username,name,id,description,created_at,tweet_count,public_metrics
89,MollyPayne01,Molly Payne,1.5163507317747996e+18,Emergency nurse and lecturer in Adult Nursing @UWEBristol,2022-04-19T09:39:29.000Z,,
90,FRANKIEE1902,Frankie🏳️‍🌈,1068676532.0,"They/Them
Student nurse (Learning Disability)",2013-01-07T16:17:34.000Z,,
91,KarenHa47050509,Karen Harris,1.200504140184662e+18,"Proud mum of 3 amazing children, registered children’s nurse, learning new things daily about widowhood and diving head first into solo parenting!",2019-11-29T19:57:55.000Z,,
92,ColloquialGal,Tracey Close,357705027.0,"BA (Hons) Phil. & Psych. Ret’d nursing Sister A & E. Many hobbies. For Free Speech. Against the Woke ideology, CRT etc; hopefully it will implode!",2011-08-18T19:45:04.000Z,,
93,EmmaHazeldene,Emma hazeldene,1.5440589958366986e+18,Crystal loving ..holistic therapist... nurse ...mumma ....,2022-07-04T20:42:36.000Z,,
94,Ema10851682,Ema,1.2862051928961638e+18,Grey sky’s 🎸 mummy to Daisy 👧🏼🐘🌻auxiliary nurse 🚑🏥,2020-07-23T07:43:33.000Z,,
95,fionadavies00,Fiona Davies,555359795.0,"Welsh mum of two, identical twin, Patient at Risk Team nurse practitioner, tweets are my own",2012-04-16T19:24:40.000Z,,
96,UWESusglohealth,Sustainable Global Public Health,1.5907295207845888e+18,"UWE year 1 nursing module. Climate change, sustainable healthcare, public health, social justice, health equity",2022-11-10T15:34:24.000Z,,
97,Bisila03L,Lidia Socosote,1.5895629850595983e+18,My ambition is to study Adult Nursing in university. Since a very young age I have been clear that studying nursing was what I wanted as I love to help people.,2022-11-07T10:19:26.000Z,,
98,RoisinKate,kayte,1.4500504924580495e+18,student nurse🌱 virgo 🌠 wild love for cows and naps,2021-10-18T10:45:55.000Z,,
99,cardains,Sally W,204741861.0,"NHS nurse, Socialist, wife, daughter, sister, aunty.",2010-10-19T11:17:24.000Z,,
100,b_stephenie,Stephenie Bucknor,1.218317483419021e+18,"👩‍👧 Mum|🏥Urology Nurse|Perfume lover|keen about all things beauty, fashion & wellbeing
👉IG Pages @nursestephenie_uk
@Stephamoresessensuals",2020-01-17T23:41:51.000Z,,
101,Wakelin3Lucy,Lucy Wakelin,1.5628807638627164e+18,3rd year adult nursing student @ Coventry university 👩🏼‍⚕️🫀🫁🧠🏩🩺🌡💉💊,2022-08-25T19:13:17.000Z,,
102,sallyja22276952,sally jackson,1.3244393135689892e+18,"Mum , Nana , cat lover, nurse,supporter of better access to MH services, supporter of our NHS",2020-11-05T19:52:08.000Z,,
103,mamoran2519,Mariam Amoran,3342918057.0,"Proud CCU nurse @UCLH. Mother, music and book lover, always have a smile. E,D&I in workplace Champion. proud FNF Scholar. Fighting ILD&PH...all views my own",2015-06-23T18:12:33.000Z,,
104,heather56134548,heather,9.635236843496776e+17,"NHS Scotland charge nurse in critical care, mum and wife. All views are my own.",2018-02-13T21:22:02.000Z,,
105,m1chellem1lford,Michelle Milford,3457597817,,2015-08-27T12:24:56.000Z,,"{'followers_count': 85, 'following_count': 152, 'tweet_count': 127, 'listed_count': 0}"
106,norwichwander,Rick Griffin,59467055,,2009-07-23T13:49:36.000Z,,"{'followers_count': 18, 'following_count': 50, 'tweet_count': 77, 'listed_count': 0}"
107,demicelle,demizzzel,67867039,Saved by grace ❤,2009-08-22T11:04:40.000Z,,"{'followers_count': 101, 'following_count': 90, 'tweet_count': 8350, 'listed_count': 1}"
108,rickstott,Tricky,20068023,,2009-02-04T16:47:57.000Z,,"{'followers_count': 103, 'following_count': 1663, 'tweet_count': 1756, 'listed_count': 0}"
109,fiftyminus2,"Smiling Shaz, living with incurable cancer 💙",196585870,"Myeloma 10th yr of chemo currently Ixazomib, Revlimid living for my babies #UltraRemainer #ChronicPain #FuckCancer #GTTO #Leftie #NevervotedTory",2010-09-29T13:20:03.000Z,,"{'followers_count': 31250, 'following_count': 25510, 'tweet_count': 489401, 'listed_count': 133}"
110,R055Mak,Ross McNab,428513985,Hi! My name is Ross. I have at least one rant per day.,2011-12-04T21:17:51.000Z,,"{'followers_count': 133, 'following_count': 744, 'tweet_count': 1952, 'listed_count': 0}"
111,Spice8Rack,@Spice8Rack on all platforms*,1087899575149580290,"*@standuppoet on insta. It/Them/Him. Email: spice8rack@gmail.com
Links: https://t.co/8qonj9xs3L",2019-01-23T02:27:25.000Z,,"{'followers_count': 21563, 'following_count': 842, 'tweet_count': 12480, 'listed_count': 62}"
112,TJSMCR,Tim Smith བློ་བཟང་ཆོས་འཕེལ། 🇪🇺 🇺🇦 🇵🇸 🇾🇪,186858537,"Mancunian, vegetarian, Buddhist. Mastodon: @tjsmcr@mastodonapp.uk",2010-09-04T16:04:05.000Z,,"{'followers_count': 275, 'following_count': 3696, 'tweet_count': 2580, 'listed_count': 0}"
113,robgrice,Rob Grice,80659392,,2009-10-07T19:30:40.000Z,,"{'followers_count': 47, 'following_count': 895, 'tweet_count': 130, 'listed_count': 0}"
114,susgray,Susan Gray,94321259,Theatre. Books. Art. Heritage.,2009-12-03T12:44:02.000Z,,"{'followers_count': 510, 'following_count': 1171, 'tweet_count': 2275, 'listed_count': 7}"
115,Geraldi69254973,Geraldine,962364718370492416,,2018-02-10T16:36:43.000Z,,"{'followers_count': 1, 'following_count': 650, 'tweet_count': 1, 'listed_count': 0}"
116,danixcvii1,danibra,1216990096228069376,,2020-01-14T07:47:30.000Z,,"{'followers_count': 181, 'following_count': 399, 'tweet_count': 17904, 'listed_count': 0}"
117,lindyloocody2,Linda McDowell,1515011141457653768,"Love family, cricket, crafts and gin 💚#NHSLove 💙💙💙🐝 #GTTO #StandByYourPost",2022-04-15T16:56:57.000Z,,"{'followers_count': 122, 'following_count': 297, 'tweet_count': 771, 'listed_count': 0}"
118,DanMaughan4,Dan Maughan,1102696852573642752,🚩,2019-03-04T22:26:31.000Z,,"{'followers_count': 86, 'following_count': 1042, 'tweet_count': 23, 'listed_count': 1}"
119,SabbyDhalu,Sabby Dhalu,110174797,@uaf Joint Secretary Stand up to Racism @AntiRacismDay Co-Convenor Labour Party member Views my own not UAF's or SUTR's RTs not endorsements,2010-01-31T16:25:18.000Z,,"{'followers_count': 1331, 'following_count': 1700, 'tweet_count': 10619, 'listed_count': 20}"
120,erinhogg107,Erin,572043893,,2012-05-05T20:24:26.000Z,,"{'followers_count': 355, 'following_count': 287, 'tweet_count': 4092, 'listed_count': 0}"
121,bemyHANNi,Trish Gotladera,416353699,"In order to bring me down, you must be able to reach me first. 💛 👻: bemyhanni",2011-11-19T15:33:03.000Z,,"{'followers_count': 572, 'following_count': 524, 'tweet_count': 34809, 'listed_count': 0}"
122,DanielKulatunga,Daniel Kulatunga🌹,308100267,,2011-05-30T20:43:07.000Z,,"{'followers_count': 65, 'following_count': 403, 'tweet_count': 296, 'listed_count': 3}"
123,anne_staveley,Cllr Anne-Frances Hayes for Staveley,1332377248461107203,"The official page of Anne-Frances Hayes, Derbyshire County Councillor for Staveley Division.",2020-11-27T17:34:58.000Z,,"{'followers_count': 338, 'following_count': 425, 'tweet_count': 2884, 'listed_count': 2}"
124,NHSNewsday,NHS Newsday,1017780613800226817,"Activists running a NHS page on Facebook, passionately opposing the Tories is what we do, and support the NHS and the people who work in it. #GeneralElectionNOW",2018-07-13T14:39:42.000Z,,"{'followers_count': 82, 'following_count': 349, 'tweet_count': 1381, 'listed_count': 0}"
125,kerrybrown16,bizzyciz,248729723,,2011-02-07T16:14:18.000Z,,"{'followers_count': 7, 'following_count': 491, 'tweet_count': 1662, 'listed_count': 0}"
126,cnxnicole,Nicole,913471207,♎️🍀🥂,2012-10-29T23:30:48.000Z,,"{'followers_count': 2010, 'following_count': 2297, 'tweet_count': 26511, 'listed_count': 10}"
127,Angiepangie71,JabbyDodger4ever🙏🏻,1404523646178189312,💉 💉💉it’s all about the control ….  but we should never give in! …..“stronger than fear is the desire to fight for freedom !”,2021-06-14T19:38:38.000Z,,"{'followers_count': 3663, 'following_count': 4140, 'tweet_count': 7979, 'listed_count': 5}"
128,Pete_j_Sears,pete,882703926,,2012-10-15T17:05:22.000Z,,"{'followers_count': 331, 'following_count': 2415, 'tweet_count': 3674, 'listed_count': 11}"
129,mariagavaghan,Maria Gavaghan,322268655,Not enough hours in the day! ♥,2011-06-22T22:19:09.000Z,,"{'followers_count': 156, 'following_count': 205, 'tweet_count': 38, 'listed_count': 0}"
130,3Muud,💙Karl Muud 3🌹,1351569182362628096,"The 🌏 according to Democratic Socialism.
Peace. Justice. Equality.
Left Left and Left again!
PTI BDS LFC PAF  
Usual Disclaimers.",2021-01-19T16:36:36.000Z,,"{'followers_count': 5488, 'following_count': 3639, 'tweet_count': 112740, 'listed_count': 7}"
131,Simon_Aus_UK,Simon - Dear oh dear,185287291,Bloody Aussie_watching in dismay as UK becomes as relevant as Tasmania in post Brexit world. NHS 25 years+😷 Simon_AUS_UK@mastodon.world,2010-08-31T16:48:54.000Z,,"{'followers_count': 1178, 'following_count': 3702, 'tweet_count': 2762, 'listed_count': 1}"
132,MaeveWheelhouse,maeve wheelhouse,3592447036,Infection surveillance nurse in ITU and mother to a teen!,2015-09-08T23:15:36.000Z,,"{'followers_count': 47, 'following_count': 58, 'tweet_count': 138, 'listed_count': 0}"
133,Paul_KA_C1992,PKC,741964577177505792,,2016-06-12T12:05:15.000Z,,"{'followers_count': 68, 'following_count': 223, 'tweet_count': 157, 'listed_count': 0}"
134,katiehelenscott,Catherine Scott,1359679904,Public Health Nurse. Feminist. Lefty. Vegan. 🌱,2013-04-17T15:24:52.000Z,,"{'followers_count': 78, 'following_count': 569, 'tweet_count': 407, 'listed_count': 1}"
135,YorkTUC,York & District TUC,222098534,The Trades Union Council representing thousands of workers across York & surrounding area. Some views tweeted/RT are not necessarily ours. info@yorktuc.org.uk,2010-12-02T13:17:00.000Z,,"{'followers_count': 906, 'following_count': 1128, 'tweet_count': 20420, 'listed_count': 34}"
136,EdenNesbitt,eden nesbitt-scott,21012688,"Endoscopy Nurse

All views are my own",2009-02-16T18:48:11.000Z,,"{'followers_count': 76, 'following_count': 197, 'tweet_count': 219, 'listed_count': 0}"
137,wendyvassallo19,Wendy Vassallo,1511634781427187713,"An extensive background in Emergency nursing and pre-hospital care. Special interest in the acutely unwell, major trauma , research and clinical education",2022-04-06T09:19:59.000Z,,"{'followers_count': 16, 'following_count': 37, 'tweet_count': 3, 'listed_count': 0}"
138,politicaltwit1,politicaltwit,1545044601337024517,,2022-07-07T13:58:40.000Z,,"{'followers_count': 7, 'following_count': 249, 'tweet_count': 25, 'listed_count': 0}"
139,crgfndly,craig findlay,946308608,,2012-11-13T18:50:53.000Z,,"{'followers_count': 21, 'following_count': 181, 'tweet_count': 10, 'listed_count': 0}"
140,H_Em_Sin,His Eminence Cardinal Sin,4159654157,you’re all just pissing in the wind,2015-11-10T22:46:06.000Z,,"{'followers_count': 730, 'following_count': 1589, 'tweet_count': 17306, 'listed_count': 3}"
141,fractalorganist,fractalorganism,1587143315723587590,phytoplankton and soil microbes matter,2022-10-31T18:05:43.000Z,,"{'followers_count': 98, 'following_count': 1287, 'tweet_count': 5451, 'listed_count': 1}"
142,ChrisButter7,Chris Butter,1034620980,,2012-12-25T11:45:34.000Z,,"{'followers_count': 7, 'following_count': 51, 'tweet_count': 31, 'listed_count': 2}"
143,BerkshireFX,Rob Colton,1321535230084288514,FUCK PUTIN. 🇺🇦 @revivethenhs #bitcoin. Abolish the tories. Fishy Arsecrack not my PM tories are terrorists. private currency trader.,2020-10-28T19:32:25.000Z,,"{'followers_count': 256, 'following_count': 1238, 'tweet_count': 3098, 'listed_count': 3}"
144,ashmorephysio,Katherine Ashmore,1524380834127564801,"| Director & Physiotherapist Ashmore Physio | Founder The Clinicians’ Den | Council Member @theCSP | Instagram: ashmore_physio, the_clinicians_den |",2022-05-11T13:28:21.000Z,,"{'followers_count': 267, 'following_count': 500, 'tweet_count': 654, 'listed_count': 3}"
145,michaelpresti10,Michael Prestidge 🎗💙,4030537642,"Husband and Pa.
Equality and fairness for all.                      
Unite. 🌹 #GTTO #EnoughisEnough",2015-10-24T09:05:33.000Z,,"{'followers_count': 1741, 'following_count': 2172, 'tweet_count': 2937, 'listed_count': 4}"
146,phunmiee22,Teema,978690188158341122,I believe in grace..Registered Nurse/Midwife,2018-03-27T17:48:18.000Z,,"{'followers_count': 178, 'following_count': 442, 'tweet_count': 224, 'listed_count': 0}"
147,Laurenherd89,Lauren Herd,55023974,Mummy to two boys! Health Visitor in Aberdeen. Novice golfer and crocheter 🌻views expressed are my own,2009-07-08T20:48:42.000Z,,"{'followers_count': 167, 'following_count': 395, 'tweet_count': 555, 'listed_count': 1}"
148,KProsho,Kerry Anne Symes-Prosho,1043238298041413632,"Senior Sister, Critical Care. 💉💊🏨 Mother to two wonderful boys 😊 👩‍👦‍👦All views are my own.",2018-09-21T20:39:27.000Z,,"{'followers_count': 273, 'following_count': 333, 'tweet_count': 1422, 'listed_count': 0}"
149,RachelFewings,Rachel F,516954752,"Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿, Mum, Nurse. Health Visitor. If I get spare time, I make stuff.",2012-03-06T22:28:58.000Z,,"{'followers_count': 84, 'following_count': 413, 'tweet_count': 96, 'listed_count': 0}"
150,mollywillisxo,Molly Willis,2496294199,treat people with kindness,2014-05-15T12:37:43.000Z,,"{'followers_count': 468, 'following_count': 303, 'tweet_count': 5702, 'listed_count': 3}"
151,kateydempsey_,kate,1101518051269324801,,2019-03-01T16:22:23.000Z,,"{'followers_count': 94, 'following_count': 248, 'tweet_count': 503, 'listed_count': 0}"
152,stevenbrownridg,steven brownridge,1272596138,😄,2013-03-16T15:24:29.000Z,,"{'followers_count': 122, 'following_count': 823, 'tweet_count': 632, 'listed_count': 0}"
153,PaigeDunning_,Paige Dunning,1479557401019879432,am just a wee earth sign,2022-01-07T20:55:58.000Z,,"{'followers_count': 61, 'following_count': 96, 'tweet_count': 111, 'listed_count': 0}"
154,sharonfrayling,Sharon Frayling,2780390379,Wife & proud Mum of 2 grown ups ❤️💙 Nurse & Research Team Lead for Infectious Diseases at UHW,2014-09-22T17:15:02.000Z,,"{'followers_count': 83, 'following_count': 322, 'tweet_count': 253, 'listed_count': 0}"
155,ParsnipGin,Alcoholic,249343440,,2011-02-08T21:24:47.000Z,,"{'followers_count': 5, 'following_count': 326, 'tweet_count': 5, 'listed_count': 0}"
