,Topic,Count,Name,details
0,-1,101221,-1_school_time_year_people,"['school', 'time', 'year', 'people', 'child', 'teacher', 'today', 'thing', 'week', 'work']"
1,0,2642,0_tory_party_corbyn_labour,"['tory', 'party', 'corbyn', 'labour', 'election', 'vote', 'jeremy', 'point', 'people', 'voter']"
2,1,2611,1_thank_thanks_hope_family,"['thank', 'thanks', 'hope', 'family', 'kind', 'look', 'friend', 'prayer', 'time', 'goodness']"
3,2,2241,2_tweet_twitter_account_people,"['tweet', 'twitter', 'account', 'people', 'reply', 'response', 'follower', 'timeline', 'parody', 'thing']"
4,3,1560,3_birthday_prince_duchess_duke,"['birthday', 'prince', 'duchess', 'duke', 'celebration', 'photograph', 'princess', 'cornwall', 'virginia', 'cambridge']"
5,4,1459,4_book_copy_author_illustrator,"['book', 'copy', 'author', 'illustrator', 'phonics', 'reading', 'detention', 'spot', 'recommendation', 'shelf']"
6,5,1372,5_holiday_bank_load_food,"['holiday', 'bank', 'load', 'food', 'chip', 'yorkshire', 'hashtag', 'coat', 'milk', 'sunak']"
7,6,1286,6_money_school_funding_cost,"['money', 'school', 'funding', 'cost', 'truss', 'budget', 'crisis', 'grammar', 'loan', 'debt']"
8,7,1216,7_congratulation_order_colleague_news,"['congratulation', 'order', 'colleague', 'news', 'delivery', 'privilege', 'mark', 'congrats', 'spider', 'claire']"
9,8,1151,8_music_radio_song_boro,"['music', 'radio', 'song', 'boro', 'guess', 'drama', 'tear', 'flag', 'stadium', 'amazon']"
10,9,1149,9_johnson_boris_starmer_corruption,"['johnson', 'boris', 'starmer', 'corruption', 'parliament', 'party', 'cabinet', 'liar', 'tory', 'patel']"
