,Topic,Count,Name,details
0,-1,48562,-1_year_day_time_work,[]
1,0,4222,0_nan_nan nan_nan nan nan_thoni,"[('nan', 0.7612327862185427), ('nan nan', 0.7606844221310489), ('nan nan nan', 0.7601356804568677), ('thoni', 0.0015498281075159315), ('pandari', 0.0015498281075159315), ('pang nan nan', 0.0008295076656404221), ('nan thoni', 0.0008295076656404221), ('thoni sailor pandari', 0.0008295076656404221), ('thoni sailor', 0.0008295076656404221), ('nandos nan', 0.0008295076656404221)]"
2,1,1148,1_thank_thank thank_thank thank thank_brilliant,"[('thank', 0.6038715778321856), ('thank thank', 0.5955086174568032), ('thank thank thank', 0.5079403562049412), ('brilliant', 0.055799291191271985), ('thankyou', 0.055240596893493435), ('sarah', 0.03988982917785323), ('brilliant thank', 0.03730622217808472), ('thank brilliant', 0.03460174083647706), ('thank thank brilliant', 0.0318588202308313), ('thankyou thankyou', 0.0276636922985966)]"
3,2,944,2_tweet_twitter_mention_youre,"[('tweet', 0.14768583202338853), ('twitter', 0.11329150445079186), ('mention', 0.05725333374696535), ('youre', 0.047590075037868676), ('week twitter', 0.035735023717672995), ('week twitter mention', 0.035384450691660935), ('twitter mention', 0.035384450691660935), ('reach see', 0.03483864358532752), ('twitter mention mention', 0.034291015881349564), ('mention mention', 0.034291015881349564)]"
4,3,666,3_evidence_investigation_document_ehrc,"[('evidence', 0.09644562418196628), ('investigation', 0.05754835331348432), ('document', 0.048996290257231075), ('ehrc', 0.0402199932850197), ('role', 0.03628805914246225), ('peace', 0.033683226135856094), ('peace process', 0.031994225641658006), ('swarkbox', 0.029708923810111004), ('ehrc investigation', 0.028383416629001495), ('process', 0.02808655458720134)]"
5,4,624,4_california_francisco_surgeon_francisco california,"[('california', 0.11626673315239579), ('francisco', 0.09867318110368664), ('surgeon', 0.09020930359225249), ('francisco california', 0.08698955446828995), ('surgery', 0.06391267340705833), ('california francisco', 0.039460453588607156), ('california francisco california', 0.03696657175777608), ('francisco california francisco', 0.033798694776596146), ('rafael', 0.029663379382106943), ('san', 0.025884051881926103)]"
6,5,579,5_congratulation_congratulation congratulation_congratulation congratulation congratulation_achievement,"[('congratulation', 0.5005541719224144), ('congratulation congratulation', 0.28970770760607434), ('congratulation congratulation congratulation', 0.17045480787952882), ('achievement', 0.047057367005485295), ('winner', 0.026281067670915325), ('achievement congratulation', 0.026039115270967788), ('win', 0.023301894924659595), ('congratulation achievement', 0.021067804304274625), ('helen', 0.017878434994216996), ('winner congratulation', 0.01731116140305538)]"
7,6,565,6_memory_joy_loss_pleasure,"[('memory', 0.0676268651971555), ('joy', 0.05940719451100106), ('loss', 0.053665795405843555), ('pleasure', 0.03918176463372883), ('cry', 0.036022449674083086), ('zoom', 0.03411496956645908), ('condolence', 0.02671593704524846), ('laughter', 0.02361688205823708), ('wonderful', 0.02256118150850592), ('mast', 0.02070764495244219)]"
8,7,553,7_hope_feel_rest_hope hope,"[('hope', 0.22462993908051868), ('feel', 0.08326031921389192), ('rest', 0.05197380161648476), ('hope hope', 0.05117268813628707), ('commiseration', 0.04067113398065321), ('eid', 0.03106881726596937), ('commiseration hope', 0.029055175277453278), ('mubarak', 0.025826822468847356), ('eid mubarak', 0.021484745299619808), ('feeling', 0.020749007687191123)]"
9,8,544,8_week_fan_fan week_week fan,"[('week', 0.25116026691203597), ('fan', 0.1476544717296413), ('fan week', 0.11415693330038602), ('week fan', 0.07617251392927435), ('follower', 0.0698695862629116), ('fan week thank', 0.06865605853415024), ('week thank', 0.0678152754390043), ('week fan week', 0.06770407892354488), ('thank fan week', 0.047974693456055734), ('thank fan', 0.047974693456055734)]"
10,9,534,9_vaccine_vaccination_covid_covid vaccine,"[('vaccine', 0.161049370294313), ('vaccination', 0.07555050230428655), ('covid', 0.02843039795190974), ('covid vaccine', 0.02323429594406928), ('vaccine vaccine', 0.015597320650638385), ('programme', 0.011631011577458415), ('risk', 0.011410397829834213), ('vaccination programme', 0.011028786991804377), ('health', 0.010017890614635016), ('booster', 0.009804302104143665)]"
11,10,519,10_lol_yep_yeah_let,"[('lol', 0.07096014658770386), ('yep', 0.0664853636049444), ('yeah', 0.06320806462252986), ('let', 0.06177521238486859), ('shame', 0.05465531684121779), ('yorkshire', 0.05295860762993915), ('worry', 0.048713405259299465), ('date', 0.042358647857988964), ('hell', 0.03977077148859458), ('anything', 0.0396928789772849)]"
12,11,516,11_birthday_horton_gift_christmas,"[('birthday', 0.11499124656887157), ('horton', 0.10246163821361415), ('gift', 0.07598603826161275), ('christmas', 0.0753863088346959), ('office', 0.04453742532999905), ('holiday', 0.04418787951702812), ('birthday birthday', 0.04078065869381753), ('merry', 0.027264457854730723), ('day', 0.02379671645934053), ('maryoribellopasache', 0.02296082736022721)]"
13,12,436,12_time_time time_time time time_folk,"[('time', 0.26731295527537263), ('time time', 0.12563939042285185), ('time time time', 0.045782978813803), ('folk', 0.023760985946498905), ('thank time', 0.023231910955423384), ('sentence', 0.019569920256787905), ('thank', 0.012959710925687333), ('thatll', 0.012155311418626783), ('think time', 0.011922535998689303), ('thing time', 0.01131033297887019)]"
14,13,412,13_gps_pressure_workforce_practice,"[('gps', 0.1342831071640304), ('pressure', 0.05474814535914233), ('workforce', 0.04472157698491443), ('practice', 0.04444171895869553), ('gps team', 0.027498505420990443), ('team', 0.02698317136322954), ('workload', 0.02590989902909583), ('care', 0.025893942892623478), ('member', 0.022805512945980988), ('amendment', 0.021656312665547604)]"
15,14,410,14_knowledge_test_topic_update,"[('knowledge', 0.09631512051511522), ('test', 0.07162331253206244), ('topic', 0.055602011250984365), ('update', 0.0500683098621134), ('knowledge update', 0.04001014796832561), ('challenge', 0.03853202076366758), ('antibody', 0.03606799751938511), ('knowledge update topic', 0.03249340411772628), ('update topic', 0.03249340411772628), ('knowledge challenge', 0.027759276694467313)]"
16,15,393,15_horton_club_club horton_horton horton,"[('horton', 0.3284901393717442), ('club', 0.2253642225856265), ('club horton', 0.18414275784922787), ('horton horton', 0.1541948353823863), ('horton horton horton', 0.07594305508395228), ('yacht', 0.07423027501926105), ('yacht club', 0.06729872025836954), ('lomond', 0.05994178528897431), ('lomond yacht', 0.05663180357425011), ('yacht club inc', 0.054818548267351455)]"
