,Topic,Count,Name,details
0,-1,53054,-1_time_year_day_patient,[]
1,0,4226,0_nan_nan nan_nan nan nan_nife,"[('nan', 0.9588072288192246), ('nan nan', 0.9574299975171858), ('nan nan nan', 0.9560514158183977), ('nife', 0.0016501335690746533), ('nan sit', 0.0008796098442981457), ('nife nife', 0.0008796098442981457), ('someone tide nah', 0.0008796098442981457), ('nan sit panda', 0.0008796098442981457), ('sub kane nan', 0.0008796098442981457), ('tide nah', 0.0008796098442981457)]"
2,1,1003,1_thank_thank thank_thank thank thank_thankyou,"[('thank', 0.6827223779919981), ('thank thank', 0.6370645632541216), ('thank thank thank', 0.5400510585988342), ('thankyou', 0.06736196431300578), ('sarah', 0.04576147190815181), ('thankyou thankyou', 0.029027509808552066), ('sarah thank', 0.025582111796542188), ('thank sarah', 0.025362047376638948), ('alison', 0.020692903652006742), ('thank sarah thank', 0.02027786747861433)]"
3,2,935,2_horton_horton photo_photo horton_horton photo horton,"[('horton', 0.378260523245982), ('horton photo', 0.18605255499749276), ('photo horton', 0.17940148211777487), ('horton photo horton', 0.17321277597891926), ('photo', 0.16898135333882958), ('club', 0.11827822601540364), ('photo horton photo', 0.11542847681427931), ('club horton', 0.0996517720369547), ('horton horton', 0.08809311332579205), ('yacht', 0.03990361700905755)]"
4,3,713,3_congratulation_congratulation congratulation_congratulation congratulation congratulation_wow,"[('congratulation', 0.5100416069022609), ('congratulation congratulation', 0.24799298713902745), ('congratulation congratulation congratulation', 0.12666300675613865), ('wow', 0.08514307234792577), ('proud', 0.05560232588513337), ('commiseration', 0.045989229955079244), ('wow congratulation', 0.04510046058924446), ('congratulation wow', 0.04051392644528565), ('achievement', 0.04004760020653626), ('david', 0.03863414537515542)]"
5,4,616,4_loss_memory_joy_pleasure,"[('loss', 0.0792620234372006), ('memory', 0.06529281010547076), ('joy', 0.060813275553784886), ('pleasure', 0.03861578979906295), ('cry', 0.03838938574684523), ('zoom', 0.03691124961979332), ('condolence', 0.03103645554933063), ('dear', 0.02961051978626071), ('laughter', 0.027714544173491056), ('rip', 0.027009564915588775)]"
6,5,557,5_week_fan_fan week_week fan,"[('week', 0.291320207631745), ('fan', 0.16247009774475263), ('fan week', 0.12677885388296287), ('week fan', 0.0843572497958337), ('fan week thank', 0.07496971403983811), ('week thank', 0.0742966293135355), ('week fan week', 0.07179086175420614), ('follower', 0.07053158770006406), ('thank fan', 0.053219930351364096), ('thank fan week', 0.053219930351364096)]"
7,6,507,6_colleague_work_hear_glad,"[('colleague', 0.14569928242314206), ('work', 0.12913725133240947), ('hear', 0.07773509878084946), ('glad', 0.05223586000205509), ('part', 0.04860695196573992), ('work colleague', 0.035282584859322695), ('work work', 0.0336502142551342), ('sorry hear', 0.03005064975462244), ('sorry', 0.02901050185451681), ('thank', 0.027054707377002232)]"
8,7,506,7_party_report_investigation_ehrc,"[('party', 0.13606487900926867), ('report', 0.09658546766849452), ('investigation', 0.09468034255594927), ('ehrc', 0.07100737510339972), ('case', 0.05720286515446898), ('ehrc investigation', 0.049767125113934135), ('investigation place', 0.039093379242821684), ('lawyer', 0.03754212159106452), ('opposition', 0.034427564623012746), ('pledge', 0.02986088838544784)]"
9,8,501,8_vaccine_vaccination_covid_covid vaccine,"[('vaccine', 0.18193814114317278), ('vaccination', 0.08604044211655382), ('covid', 0.03004348479395715), ('covid vaccine', 0.02037003145786821), ('programme', 0.01513678897952847), ('vaccine vaccine', 0.014769011889239582), ('vaccination programme', 0.01369258816269195), ('booster', 0.013638786413411895), ('health', 0.012063759573794191), ('doctor', 0.011678548916793863)]"
10,9,484,9_gps_pressure_workforce_practice,"[('gps', 0.12711406216661947), ('pressure', 0.05724787179947328), ('workforce', 0.055645054970379096), ('practice', 0.04939358767451315), ('workload', 0.03184807566141399), ('care', 0.029621742443594733), ('team', 0.0281184852127709), ('gps team', 0.025554733595285418), ('member', 0.024492087304549885), ('amendment', 0.02139385170421079)]"
