,Topic,Count,Name,details
0,-1,118539,-1_nurse_care_time_health,[]
1,0,7603,0_nan_heenan_nandos_nanna,"['nan', 'heenan', 'nandos', 'nanna', 'deliver', 'nannm', 'granny', 'apart', 'fighter', 'okay']"
2,1,3386,1_thank_thing_lot_evening,"['thank', 'thing', 'lot', 'evening', 'mind', 'thanks', 'red', 'sheeran', 'post', 'spin']"
3,2,3315,2_food_school_meal_life,"['food', 'school', 'meal', 'life', 'child', 'lunch', 'caterer', 'plan', 'baby', 'summer']"
4,3,3097,3_time_day_springhill_stuff,"['time', 'day', 'springhill', 'stuff', 'treat', 'kind', 'aww', 'comment', 'care', 'nothing']"
5,4,3055,4_fusion_business_home_care,"['fusion', 'business', 'home', 'care', 'data', 'finger', 'software', 'stress', 'pressure', 'track']"
6,5,2885,5_vacancy_midwife_photo_midwifery,"['vacancy', 'midwife', 'photo', 'midwifery', 'sign', 'resource', 'nurse', 'challenge', 'proud', 'hospital']"
7,6,2700,6_job_recruitment_ticket_door,"['job', 'recruitment', 'ticket', 'door', 'retention', 'event', 'quiz', 'journey', 'speaker', 'hello']"
8,7,2591,7_hope_idea_weekend_thought,"['hope', 'idea', 'weekend', 'thought', 'prayer', 'dance', 'mum', 'glad', 'dad', 'morning']"
9,8,2373,8_enjoy_pic_minute_moment,"['enjoy', 'pic', 'minute', 'moment', 'whoop', 'chat', 'thread', 'question', 'break', 'medal']"
10,9,2305,9_morning_chris_jenny_joy,"['morning', 'chris', 'jenny', 'joy', 'glove', 'merv', 'afternoon', 'run', 'day', 'shirt']"
11,10,2204,10_news_daily_story_resilience,"['news', 'daily', 'story', 'resilience', 'fons', 'supervision', 'gemini', 'moon', 'staff', 'management']"
12,11,2180,11_covid_case_nigeria_coronavirus,"['covid', 'case', 'nigeria', 'coronavirus', 'river', 'health', 'state', 'record', 'license', 'rule']"
13,12,2149,12_person_yep_everyone_boy,"['person', 'yep', 'everyone', 'boy', 'disney', 'guy', 'someone', 'yeah', 'anything', 'anyone']"
14,13,1957,13_year_brilliant_mine_season,"['year', 'brilliant', 'mine', 'season', 'welcome', 'sorry', 'research', 'tattoo', 'school', 'level']"
15,14,1949,14_week_city_medsurg_cna,"['week', 'city', 'medsurg', 'cna', 'rest', 'name', 'start', 'radio', 'float', 'copy']"
16,15,1865,15_mask_face_virus_man,"['mask', 'face', 'virus', 'man', 'bus', 'money', 'gyud', 'train', 'ang', 'smile']"
17,16,1790,16_voice_rcn_union_nomination,"['voice', 'rcn', 'union', 'nomination', 'member', 'chair', 'council', 'board', 'evidence', 'seat']"
18,17,1750,17_congratulation_pleasure_programme_module,"['congratulation', 'pleasure', 'programme', 'module', 'honour', 'pas', 'opening', 'lecturer', 'karen', 'legend']"
19,18,1609,18_love_peace_thankyou_sam,"['love', 'peace', 'thankyou', 'sam', 'beautiful', 'miss', 'rip', 'fact', 'beauty', 'jon']"
20,19,1564,19_team_point_achievement_effort,"['team', 'point', 'achievement', 'effort', 'toast', 'nightmare', 'sausage', 'dream', 'yes', 'butter']"
