,Topic,Count,Name,details
0,-1,113314,-1_nurse_time_people_care,"['nurse', 'time', 'people', 'care', 'health', 'today', 'patient', 'year', 'nursing', 'week']"
1,0,2913,0_thank thank_thank_word_kind,"['thank thank', 'thank', 'word', 'kind', 'word thank', 'thank kind', 'thank word', 'goodness', 'kind thank', 'guess']"
2,1,2527,1_morning_morning morning_friend_chris,"['morning', 'morning morning', 'friend', 'chris', 'kenny', 'morning kenny', 'friend morning', 'morning chris', 'kenny friend', 'hello']"
3,2,1601,2_congratulation_congratulation congratulation_award_achievement,"['congratulation', 'congratulation congratulation', 'award', 'achievement', 'congrats', 'star', 'hero', 'congratulation news', 'news congratulation', 'talent']"
4,3,1460,3_tory_party_vote_labour,"['tory', 'party', 'vote', 'labour', 'corbyn', 'election', 'ballot', 'starmer', 'idiot', 'voter']"
5,4,1423,4_thanks follow_follow_thanks_follow thanks,"['thanks follow', 'follow', 'thanks', 'follow thanks', 'health', 'glad', 'smile', 'carol', 'culture', 'today']"
6,5,1269,5_photo_brilliant_picture_comment,"['photo', 'brilliant', 'picture', 'comment', 'beautiful', 'hill', 'album', 'brilliant brilliant', 'photo photo', 'track']"
7,6,1218,6_today_thing_today today_tomorrow,"['today', 'thing', 'today today', 'tomorrow', 'wait', 'today thing', 'thing thing', 'thing today', 'yesterday', 'tomorrow today']"
8,7,1172,7_year_year year_ruth_trip,"['year', 'year year', 'ruth', 'trip', 'bless', 'awww', 'miss', 'morning ruth', 'ruth morning', 'mark']"
9,8,1124,8_hope_hope hope_morning_claire,"['hope', 'hope hope', 'morning', 'claire', 'morning hope', 'merv', 'morning merv', 'friday', 'hope morning', 'sunset']"
10,9,1088,9_vaccine_vaccination_covid_covid vaccine,"['vaccine', 'vaccination', 'covid', 'covid vaccine', 'booster', 'result', 'dose', 'people', 'vaccine vaccine', 'pfizer']"
11,10,1067,10_birthday_birthday birthday_grandson_skye,"['birthday', 'birthday birthday', 'grandson', 'skye', 'birthday today', 'today birthday', 'generation', 'shout', 'today', 'grandson grandson']"
12,11,1067,11_tweet_twitter_jenny_follower,"['tweet', 'twitter', 'jenny', 'follower', 'hashtag', 'sense', 'morning jenny', 'neck', 'tweet tweet', 'cuddle']"
13,12,1055,12_year_enjoy_enjoy enjoy_year year,"['year', 'enjoy', 'enjoy enjoy', 'year year', 'everything', 'time year', 'time', 'year time', 'thank', 'need']"
14,13,975,13_article_journal_dementia_issue,"['article', 'journal', 'dementia', 'issue', 'research', 'street', 'bioinformatics', 'journal health', 'look issue', 'health']"
15,14,958,14_food_school_food life_meal,"['food', 'school', 'food life', 'meal', 'life', 'child', 'school meal', 'school food', 'caterer', 'poverty']"
16,15,952,15_school_family_thankyou_welcome,"['school', 'family', 'thankyou', 'welcome', 'thankyou thankyou', 'anything', 'medium', 'welcome family', 'school school', 'christine']"
17,16,883,16_night_shift_night shift_night night,"['night', 'shift', 'night shift', 'night night', 'shift night', 'bloody', 'sunday', 'goodnight', 'hour', 'hour shift']"
18,17,859,17_work_work work_thanks_thanks thanks,"['work', 'work work', 'thanks', 'thanks thanks', 'work thanks', 'thanks work', 'progress', 'surprise', 'mubarak', 'deer']"
19,18,831,18_solidarity_union_strike_justice,"['solidarity', 'union', 'strike', 'justice', 'nurse', 'striker', 'solidarity solidarity', 'fight', 'worker', 'health']"
20,19,789,19_wine_glass_bottle_pizza,"['wine', 'glass', 'bottle', 'pizza', 'toast', 'cheese', 'soup', 'chip', 'eurovision', 'mushroom']"
