,Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld
0,0,1.5634247839579218e+18,2022-08-27 07:14:50+00:00,['1563424783957921792'],,
1,1,1.5626709632290038e+18,2022-08-25 05:19:25+00:00,['1562670963229003779'],,
2,2,1.5618463407825388e+18,2022-08-22 22:42:40+00:00,['1561846340782538752'],,
3,3,1.5618445474239693e+18,2022-08-22 22:35:32+00:00,['1561844547423969280'],,
4,4,1.561844116270596e+18,2022-08-22 22:33:49+00:00,['1561844116270596096'],,
5,5,1.5618440537712722e+18,2022-08-22 22:33:34+00:00,['1561844053771272192'],,
6,6,1.5618434491539456e+18,2022-08-22 22:31:10+00:00,['1561843449153945602'],,
7,7,1.5618433338021233e+18,2022-08-22 22:30:43+00:00,['1561843333802123265'],,
8,8,1.5618428559283855e+18,2022-08-22 22:28:49+00:00,['1561842855928385539'],,
9,9,1.5618423515297628e+18,2022-08-22 22:26:48+00:00,['1561842351529762816'],,
10,10,1.561842269883335e+18,2022-08-22 22:26:29+00:00,['1561842269883334656'],,
11,11,1.5618411138912338e+18,2022-08-22 22:21:53+00:00,['1561841113891233797'],,
12,12,1.5618408494067958e+18,2022-08-22 22:20:50+00:00,['1561840849406795779'],,
13,13,1.5618408032526664e+18,2022-08-22 22:20:39+00:00,['1561840803252666368'],,
14,14,1.561840135184044e+18,2022-08-22 22:18:00+00:00,['1561840135184044034'],,
15,15,1.5618384443174748e+18,2022-08-22 22:11:17+00:00,['1561838444317474816'],,
16,16,1.5618376431466004e+18,2022-08-22 22:08:06+00:00,['1561837643146600450'],,
17,17,1.5618360148968776e+18,2022-08-22 22:01:38+00:00,['1561836014896877570'],,
18,18,1.561668171014316e+18,2022-08-22 10:54:41+00:00,['1561668171014316033'],,
19,19,1.561667901823787e+18,2022-08-22 10:53:36+00:00,['1561667901823787008'],,
20,20,1.5616676141323756e+18,2022-08-22 10:52:28+00:00,['1561667614132375552'],,
21,21,1.5616670078205788e+18,2022-08-22 10:50:03+00:00,['1561667007820578817'],,
22,22,1.5616669860898775e+18,2022-08-22 10:49:58+00:00,['1561666986089877504'],,
23,23,1.5616669667413893e+18,2022-08-22 10:49:53+00:00,['1561666966741389313'],,
24,24,1.5616669414415237e+18,2022-08-22 10:49:47+00:00,['1561666941441523712'],,
25,25,1.5616668340756152e+18,2022-08-22 10:49:22+00:00,['1561666834075615232'],,
26,26,1.5610656359117947e+18,2022-08-20 19:00:25+00:00,['1561065635911794690'],,
27,27,1.5601657033276498e+18,2022-08-18 07:24:24+00:00,['1560165703327649792'],,
28,28,1.5585171971394847e+18,2022-08-13 18:13:50+00:00,['1558517197139484672'],,
29,29,1.5576054927294546e+18,2022-08-11 05:51:03+00:00,['1557605492729454592'],,
30,30,1.55620006858743e+18,2022-08-07 08:46:23+00:00,['1556200068587429890'],,
31,31,1.555983099388985e+18,2022-08-06 18:24:14+00:00,['1555983099388985345'],,
32,32,1.553842601467515e+18,2022-07-31 20:38:39+00:00,['1553842601467514888'],,
33,33,1.5516170920504238e+18,2022-07-25 17:15:17+00:00,['1551617092050423808'],,
34,34,1.5511173418193428e+18,2022-07-24 08:09:27+00:00,['1551117341819342849'],,
35,35,1.548316932222247e+18,2022-07-16 14:41:37+00:00,['1548316932222246914'],,
36,36,1.5463994468917248e+18,2022-07-11 07:42:13+00:00,['1546399446891724801'],,
37,37,1.5439463991250534e+18,2022-07-04 13:14:41+00:00,['1543946399125053442'],,
38,38,1.5437088742256148e+18,2022-07-03 21:30:50+00:00,['1543708874225614854'],,
39,39,1.542930048667222e+18,2022-07-01 17:56:04+00:00,['1542930048667222017'],,
40,40,1.5429277171166126e+18,2022-07-01 17:46:48+00:00,['1542927717116612613'],,
41,41,1.542684719711748e+18,2022-07-01 01:41:13+00:00,['1542684719711748097'],,
42,42,1.5403832583026196e+18,2022-06-24 17:16:02+00:00,['1540383258302619652'],,
43,43,1.5402487541875507e+18,2022-06-24 08:21:34+00:00,['1540248754187550721'],,
44,44,1.5382541120048988e+18,2022-06-18 20:15:34+00:00,['1538254112004898822'],,
45,45,1.538086269007319e+18,2022-06-18 09:08:37+00:00,['1538086269007319040'],,
46,46,1.536696054787326e+18,2022-06-14 13:04:24+00:00,['1536696054787325952'],,
47,47,1.5366958581456773e+18,2022-06-14 13:03:37+00:00,['1536695858145677316'],,
48,48,1.5366849856248054e+18,2022-06-14 12:20:25+00:00,['1536684985624805378'],,
49,49,1.535323843685978e+18,2022-06-10 18:11:43+00:00,['1535323843685978112'],,
50,50,1.5288065530835845e+18,2022-05-23 18:34:20+00:00,['1528806553083584515'],,
51,51,1.5262942807378002e+18,2022-05-16 20:11:28+00:00,['1526294280737800192'],,
52,52,1.5262930993912054e+18,2022-05-16 20:06:46+00:00,['1526293099391205377'],,
53,53,1.5242846627844055e+18,2022-05-11 07:05:58+00:00,['1524284662784405504'],,
54,54,1.5224840401206108e+18,2022-05-06 07:50:56+00:00,['1522484040120610816'],,
55,55,1.5211547044363387e+18,2022-05-02 15:48:37+00:00,['1521154704436338689'],,
56,56,1.520692479145689e+18,2022-05-01 09:11:54+00:00,['1520692479145689088'],,
57,57,1.5200230270896538e+18,2022-04-29 12:51:44+00:00,['1520023027089653761'],,
58,58,1.5198496650464584e+18,2022-04-29 01:22:52+00:00,['1519849665046458370'],,
59,59,1.51929070164471e+18,2022-04-27 12:21:44+00:00,['1519290701644709888'],,
60,60,1.519289038561239e+18,2022-04-27 12:15:08+00:00,['1519289038561239040'],,
61,61,1.5192873491124552e+18,2022-04-27 12:08:25+00:00,['1519287349112455169'],,
62,62,1.5192197040821903e+18,2022-04-27 07:39:37+00:00,['1519219704082190336'],,
63,63,1.518934831987671e+18,2022-04-26 12:47:39+00:00,['1518934831987671040'],,
64,64,1.518844576970297e+18,2022-04-26 06:49:00+00:00,['1518844576970297345'],,
65,65,1.5184827136232817e+18,2022-04-25 06:51:05+00:00,['1518482713623281664'],,
66,66,1.5184629347033006e+18,2022-04-25 05:32:29+00:00,['1518462934703300608'],,
67,67,1.5177816777954304e+18,2022-04-23 08:25:25+00:00,['1517781677795430400'],,
68,68,1.5168235767872676e+18,2022-04-20 16:58:16+00:00,['1516823576787267585'],,
69,69,1.5160329284295844e+18,2022-04-18 12:36:31+00:00,['1516032928429584388'],,
70,70,1.5160328643993395e+18,2022-04-18 12:36:16+00:00,['1516032864399339520'],,
71,71,1.5158017289223127e+18,2022-04-17 21:17:49+00:00,['1515801728922312722'],,
