,Unnamed: 0,id,created_at,edit_history_tweet_ids,text
0,0,1.5649027888696238e+18,2022-08-31 09:07:54+00:00,['1564902788869623811'],@DrNavSidhu @alistairsteel @BJAJournals That “maybe” is doing a lot of heavy lifting there.
1,1,1.564694170702332e+18,2022-08-30 19:18:55+00:00,['1564694170702331906'],@NatashaAght @DrDLittle
2,2,1.564687150804779e+18,2022-08-30 18:51:01+00:00,['1564687150804779009'],"@VirtueOfNothing @peteturton85 The sign wasn’t up before I worked there.

I will make no other comment at this time."
3,3,1.5646563434866934e+18,2022-08-30 16:48:36+00:00,['1564656343486693376'],"@MStott88 Chronic post-surgical pain is far from simple!

We need to stop seeing this as a failure of individual specialities/procedures, and see it as a wider surgical risk."
4,4,1.5646543899350876e+18,2022-08-30 16:40:51+00:00,['1564654389935087622'],@Nick_Maxwell @LewisCawte I think we should all do a reunion for it too.
5,5,1.5646472522993172e+18,2022-08-30 16:12:29+00:00,['1564647252299317248'],"@LewisCawte Oh, reunion.
But still!"
6,6,1.5646471132875162e+18,2022-08-30 16:11:56+00:00,['1564647113287516162'],@LewisCawte Kids In Glass Houses are still going?! 😮
7,7,1.564617238472188e+18,2022-08-30 14:13:13+00:00,['1564617238472187921'],"@dr_emmacoombe @CaraCBCEO You’ve highlighted some real problems here, but the most important of those is that the BMA has been ineffective for over a year."
8,8,1.5646159310404977e+18,2022-08-30 14:08:01+00:00,['1564615931040497666'],"@otorhinosaurus @mina_el_naguib @scullingmonkey @BellaRoscetti @Alexandra_nidd Or the 21st Century equivalent;
“Alright?”
“Alright?”

(I used question marks, but the trick is, neither was really a question)"
9,9,1.5646156624457564e+18,2022-08-30 14:06:57+00:00,['1564615662445756418'],"@otorhinosaurus @mina_el_naguib @scullingmonkey @BellaRoscetti @Alexandra_nidd It’s an absolute mixed-raced nightmare.

If I ask if she’s alright, it’s met with “why wouldn’t I be?!”

If she asks if I’m alright, she gets angry that I’m “grunting”, “yeah, you?”"
10,10,1.5646133329041695e+18,2022-08-30 13:57:42+00:00,['1564613332904169482'],"@mina_el_naguib @scullingmonkey @otorhinosaurus @BellaRoscetti @Alexandra_nidd This totally explains why me and my Indian mum have a very odd start to every conversation… we both seem very thrown by the other asking, “you alright?” 😂"
11,11,1.56460761255288e+18,2022-08-30 13:34:58+00:00,['1564607612552880138'],@dr_doddle @MsBethanJ Reckon it counts as SPA…?
12,12,1.5646075152912753e+18,2022-08-30 13:34:35+00:00,['1564607515291275272'],"It’s well worth revisiting this piece from @joshp_j and @mikaeilm on the moral cost of triage.

How are we all holding up?

“In amongst COVID-19’s wide-ranging effects for patients, healthcare systems and society there will be a cost for doctors.”

https://t.co/X4DD6Hav17 https://t.co/tid0ZFcAmx"
13,13,1.56460458067098e+18,2022-08-30 13:22:55+00:00,['1564604580670980096'],"@dr_doddle Yes! I’m here too.
I think it’s @MsBethanJ’s fault."
14,14,1.5646044510752686e+18,2022-08-30 13:22:24+00:00,['1564604451075268609'],@kidneydoc101 @mark_tehan @doctimcook …although I’m straying further and further from Tim’s excellently described point!
15,15,1.5646042533978112e+18,2022-08-30 13:21:37+00:00,['1564604253397811200'],"@kidneydoc101 @mark_tehan @doctimcook Is it possible to “often defy odds”? 

Sounds like there may be either a systemic recollection bias, or an important lack of data.

And of course, important to make sure we’re not just focussing on survival-to-discharge as our only metric of success."
16,16,1.5646004978515354e+18,2022-08-30 13:06:42+00:00,['1564600497851535361'],"@Jopo_dr The first time I met @thefourthcraw, he commented on how blue my sclera are, before saying, “…but it’s probably nothing”.

I’m expecting my fragility fracture any day now."
17,17,1.564224488048304e+18,2022-08-29 12:12:34+00:00,['1564224488048304129'],@marinadpol GoodNotes.
18,18,1.5639830444946473e+18,2022-08-28 20:13:09+00:00,['1563983044494647299'],@polyvoya @thecricketmen Because she’s a very good actress.
19,19,1.5639632166397133e+18,2022-08-28 18:54:22+00:00,['1563963216639713282'],"@thegradmedic @RobJimFleming There are a lot of hospitals in and around Manchester though, so that boosts the odds a lot!

Lancaster’s great though! Really buzzing music scene."
20,20,1.563961458588795e+18,2022-08-28 18:47:23+00:00,['1563961458588794884'],"@RobJimFleming @thegradmedic Seconded. We’ve moved from the NE to NW, and no regrets at all. Absolutely love it here."
21,21,1.56391628264217e+18,2022-08-28 15:47:52+00:00,['1563916282642169859'],"@Ket_Tweetal @otorhinosaurus Yep! The price is set by the gas tariff, irrespective of where your actual energy comes from. We have a broken system."
22,22,1.5638775273529016e+18,2022-08-28 13:13:52+00:00,['1563877527352901632'],Absolutely fuming to be working tomorrow.
23,23,1.563853262872363e+18,2022-08-28 11:37:27+00:00,['1563853262872363008'],"The National at Warehouse Project was something really special last night.

Hot, sweaty, and frenetic. Felt like something from the Boxer days. https://t.co/iq7t9wacpE"
24,24,1.5635810214966843e+18,2022-08-27 17:35:40+00:00,['1563581021496684554'],@alfonsomango94 £20?
25,25,1.5635794904834662e+18,2022-08-27 17:29:35+00:00,['1563579490483466245'],@ColeMoores @LouisMD1998 I’ve got a spare if you still need one
26,26,1.5635219174279127e+18,2022-08-27 13:40:48+00:00,['1563521917427912710'],"@VivekKhashu @doctorhelgi @ShaunLintern @sthknhs Plenty of regions with lead employers.
Plenty of pay issues despite lead employers.
Including STHK."
27,27,1.5635206098998436e+18,2022-08-27 13:35:36+00:00,['1563520609899843587'],"@doctorthomaschr @harryclax Plenty of regions have lead employers, but it doesn’t fix the 3-monthly pay nightmares."
28,28,1.5632300814214308e+18,2022-08-26 18:21:09+00:00,['1563230081421430785'],@willtube4food I’m looking for my escape route.
29,29,1.563219888818516e+18,2022-08-26 17:40:39+00:00,['1563219888818515974'],"@RowanLGossedge @MartinBromiley It’s certainly a question, but it’s not the only question…

We need to factor all the false positives we’d find, leading to investigations, biopsies, needless treatments, and complications of all of the above."
30,30,1.5632181976835236e+18,2022-08-26 17:33:56+00:00,['1563218197683523585'],"@MartinBromiley And it’s important to stress that over-investigation is not benign.

It is harmful."
