Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,0,0,1.564999005297414e+18,2022-08-31 15:30:13+00:00,['1564999005297414145'],@GRKKT Sorry to hear this. Please can you email exams@rcgp.org.uk so we can look into this for you? Thank you, sorry to hear this please can you email examsorguk so we can look into this for you thank you,True,False
1,1,1,1.5648845595100488e+18,2022-08-31 07:55:27+00:00,['1564884559510048769'],"@sasanfooty Hi, sorry about that. It should be open now.", hi sorry about that it should be open now,True,False
2,2,2,1.5648707692718817e+18,2022-08-31 07:00:39+00:00,['1564870769271881734'],"The AKT booking window is open now until 2 September. To process your reasonable adjustments in time for the examination, you must submit your RA1 form during this time. Find out all you need to know before applying. ➡️ https://t.co/NHnci08WB5 https://t.co/ibnI62lmAb",the akt booking window is open now until 2 september to process your reasonable adjustments in time for the examination you must submit your ra1 form during this time find out all you need to know before applying   ,True,False
3,3,3,1.564568991342928e+18,2022-08-30 11:01:30+00:00,['1564568991342927873'],"📢 Calling all working, trainee and retired GPs, have you signed our joint letter to @UKHomeOffice asking them to improve the visa rules for international trainee GPs?

Please join @MartinRCGP and @docmagsy and sign our letter today ➡️ https://t.co/LY5OXru36Y https://t.co/mQlDp7Gtto"," calling all working trainee and retired gps have you signed our joint letter to  asking them to improve the visa rules for international trainee gps

please join  and  and sign our letter today   ",True,False
6,6,6,1.5645417626386842e+18,2022-08-30 09:13:18+00:00,['1564541762638684162'],@PianoMedic Glad you had a good time!, glad you had a good time,True,False
7,7,7,1.5645236997762417e+18,2022-08-30 08:01:32+00:00,['1564523699776241664'],"The AKT booking window opens tomorrow until 2 September. To process your reasonable adjustments in time for the examination, you must submit your RA1 form during this time. Find out all you need to know before applying. ➡️ https://t.co/NHnci08WB5 https://t.co/5mAVTTno5f",the akt booking window opens tomorrow until 2 september to process your reasonable adjustments in time for the examination you must submit your ra1 form during this time find out all you need to know before applying   ,True,False
8,8,8,1.5641915459930767e+18,2022-08-29 10:01:40+00:00,['1564191545993076738'],The AKT booking window opens in 2 days and will be open 31 August - 2 September. Before applying visit our website for all the information you need before applying including our checklist. ➡️ https://t.co/NHnci08WB5 https://t.co/OXyE1vaGf6,the akt booking window opens in 2 days and will be open 31 august  2 september before applying visit our website for all the information you need before applying including our checklist   ,True,False
9,9,9,1.5631738657688863e+18,2022-08-26 14:37:46+00:00,['1563173865768886272'],@DrLucyHenshall @theresecoffey Thank you!,  thank you,True,False
10,10,10,1.5631557253331763e+18,2022-08-26 13:25:41+00:00,['1563155725333176321'],"@whiterose_lady @DrSelvarajah @ukhomeoffice Thank you Lindsey. We agree, our IMGs should not be put through this stress.",   thank you lindsey we agree our imgs should not be put through this stress,True,False
11,11,11,1.563155207785091e+18,2022-08-26 13:23:38+00:00,['1563155207785091073'],@H3L3N_EJ @ukhomeoffice @GOVUK Thank you Helen!,   thank you helen,True,False
12,12,12,1.5631536415274803e+18,2022-08-26 13:17:24+00:00,['1563153641527480320'],@BAPIOUK @MartinRCGP @docmagsy @RameshMehta15 @jsbamrah @mathew_satheesh @BAPIOPC @sidhuGP @Sajay70 @ADRcampaign @DrAnkurK @GPTrainee2013 @GPViewUK @NHS_GP @GPonlinenews It's such an important issue. Thank you for sharing our campaign.,               its such an important issue thank you for sharing our campaign,True,False
13,13,13,1.5631507803112817e+18,2022-08-26 13:06:02+00:00,['1563150780311281670'],"We &amp; @NHSEngland are delighted that the Veteran Friendly GP practice accreditation has been shortlisted for the Military and Civilian Health Partnership Award at the @HSJ_Awards, recognising outstanding contribution to healthcare. 👏 #VeteranFriendlyGP ➡️ https://t.co/qiL6aAYFTa https://t.co/1zw0sICCVQ",we amp  are delighted that the veteran friendly gp practice accreditation has been shortlisted for the military and civilian health partnership award at the  recognising outstanding contribution to healthcare     ,True,False
14,14,14,1.5630836032438067e+18,2022-08-26 08:39:06+00:00,['1563083603243806721'],@SampsonRod @drewhendrySNP Thank you for supporting our campaign.,  thank you for supporting our campaign,True,False
15,15,15,1.5630830666454344e+18,2022-08-26 08:36:58+00:00,['1563083066645434369'],"@H3L3N_EJ @DrSelvarajah @ukhomeoffice Hi Helen, you can write to your MP to support the campaign using this template. https://t.co/Y5G5f47f9y Thank you for getting involved.",   hi helen you can write to your mp to support the campaign using this template  thank you for getting involved,True,False
16,16,16,1.563074112951427e+18,2022-08-26 08:01:23+00:00,['1563074112951427075'],"Over 40% of trainee GPs in the UK are international medical graduates but current visa rules are a barrier, causing stress and driving them away. We’re calling on @UKHomeOffice to improve visa rules for our trainees. Share our campaign ➡️ https://t.co/WSWif1yiIh https://t.co/XKknhRKQ9F",over 40 of trainee gps in the uk are international medical graduates but current visa rules are a barrier causing stress and driving them away we’re calling on  to improve visa rules for our trainees share our campaign   ,True,False
17,17,17,1.5630713091725107e+18,2022-08-26 07:50:15+00:00,['1563071309172510721'],"@owen_ystwyth @ukhomeoffice Hi Owen, yes you can write to your MP to support the campaign by completing this really quick template. https://t.co/Y5G5f47f9y Thanks for the support.",  hi owen yes you can write to your mp to support the campaign by completing this really quick template  thanks for the support,True,False
18,18,18,1.5627936656676905e+18,2022-08-25 13:26:59+00:00,['1562793665667690500'],@sigi_dr @docmagsy Thank you for signing!,  thank you for signing,True,False
19,19,19,1.5627934962048737e+18,2022-08-25 13:26:19+00:00,['1562793496204873730'],@DrAyedee @docmagsy @DrOmonImohi @SonaliKinra @onyiokonkwogp @uwa_ie @DrAndrewGreen @DearGPTrainee @dr_twokoma @doctor_katie @HumbersideLMC @YorksHumberBMA @TheBMA @BeingMo @AmarRughani @HoldHealth @DrThomasPC @ChesterfieldGp Thank you!,                  thank you,True,False
20,20,20,1.5627510728712806e+18,2022-08-25 10:37:44+00:00,['1562751072871280647'],@zoahms @BabarAkbar Thank you!,  thank you,True,False
21,21,21,1.5627509858268774e+18,2022-08-25 10:37:24+00:00,['1562750985826877442'],@docmike79 @Dr_Ellie @DrSelvarajah @ukhomeoffice Thank you!,    thank you,True,False
22,22,22,1.5627508411904983e+18,2022-08-25 10:36:49+00:00,['1562750841190498304'],@drpjhughes @purmj @MartinRCGP @docmagsy @pritipatel Thank you for signing.,     thank you for signing,True,False
23,23,23,1.5627507310560625e+18,2022-08-25 10:36:23+00:00,['1562750731056062466'],@drtarageorge Thank you for supporting and sharing our campaign., thank you for supporting and sharing our campaign,True,False
24,24,24,1.5627433450297098e+18,2022-08-25 10:07:02+00:00,['1562743345029709825'],"(2/2) By writing to your MP, you will help raise awareness of the issues facing International Medical Graduates and put further pressure on the government to take action as a matter of urgency. Get involved today ➡️https://t.co/Y5G5f3Qc7y",22 by writing to your mp you will help raise awareness of the issues facing international medical graduates and put further pressure on the government to take action as a matter of urgency get involved today ,True,False
25,25,25,1.562741719967228e+18,2022-08-25 10:00:35+00:00,['1562741719967227904'],"(1/2) If you aren’t a GP, retired GP or GP in training, but still want to support our campaign calling on the @UKHomeOffice to improve visa rules for international trainee doctors, you can write to your MP by using this template ➡️ https://t.co/Y5G5f47f9y https://t.co/3TNGM5htSW",12 if you aren’t a gp retired gp or gp in training but still want to support our campaign calling on the  to improve visa rules for international trainee doctors you can write to your mp by using this template   ,True,False
26,26,26,1.5627115914598892e+18,2022-08-25 08:00:51+00:00,['1562711591459889152'],Our EDI reps are helping us be a more inclusive organisation and celebrate the diversity of our membership. Read our latest report illustrating the protected characteristics of our membership and representative bodies ➡️ https://t.co/84pbeAj1q2,our edi reps are helping us be a more inclusive organisation and celebrate the diversity of our membership read our latest report illustrating the protected characteristics of our membership and representative bodies  ,True,False
27,27,27,1.56271151933884e+18,2022-08-25 08:00:34+00:00,['1562711519338840064'],"Did you know that we have champions across the Faculties who represent members on issues relating to Equality, Diversity and inclusion (EDI)? If you think you’ve got what it takes to be an EDI lead, submit your expression of interest today. ➡️ https://t.co/NY2oPjDtZ6 https://t.co/jMazhP76XQ",did you know that we have champions across the faculties who represent members on issues relating to equality diversity and inclusion edi if you think you’ve got what it takes to be an edi lead submit your expression of interest today   ,True,False
28,28,28,1.562708092562727e+18,2022-08-25 07:46:57+00:00,['1562708092562726912'],@mtsavor @DavidDavisMP Thank you for sharing our campaign.,  thank you for sharing our campaign,True,False
29,29,29,1.562707912774275e+18,2022-08-25 07:46:14+00:00,['1562707912774275072'],@Dr_Ellie @DrSelvarajah @ukhomeoffice Thank you!,   thank you,True,False
30,30,30,1.5627078543262802e+18,2022-08-25 07:46:00+00:00,['1562707854326280192'],@MDzi @DrSelvarajah @ukhomeoffice @NHS_HealthEdEng @SimonDGregory Thanks for the support.,     thanks for the support,True,False
31,31,31,1.5627077530090373e+18,2022-08-25 07:45:36+00:00,['1562707753009037319'],@DanVersatile Thank you for supporting our campaign., thank you for supporting our campaign,True,False
32,32,32,1.5627075607417364e+18,2022-08-25 07:44:50+00:00,['1562707560741736448'],@gavinfranc Thanks for the support., thanks for the support,True,False
33,33,33,1.5627073695615836e+18,2022-08-25 07:44:05+00:00,['1562707369561583616'],@purmj @MartinRCGP @docmagsy @pritipatel Thank you for signing.,    thank you for signing,True,False
34,34,34,1.5627072973608223e+18,2022-08-25 07:43:48+00:00,['1562707297360822273'],@uwa_ie @Afzal4Gorton Thank you for sharing.,  thank you for sharing,True,False
