,0,1,2,3,4
0,morning,wait,thank,liam payne,thing people assessment unit october others covid others place winner
1,morning,wait,thank,liam,half worker covid workplace
2,morning,wait help,thank,liam course,covids fault
3,hope,escape sand hour start week,0,post night predinner snack,case
4,hope,change zaha choice week,0,snack,negative case
5,hope,tech team week,0,snack ground,case
6,student pint,pono approach,0,labor delivery rockford,airpod case
7,pint thanks everyone character people,pono approach,0,labor delivery rockford,case line
8,hope pint,povero,0,labor delivery rockford,havingvgreat thing case show
9,florida time backwards hope,caor circulator arcata,0,cath rockford,trainer
10,hope time,caor circulator arcata,0,cath rockford,pink trainer course
11,hope time,caor circulator arcata,0,cath rockford,trainer
12,friday,forty fort pediatrics,0,infection preventionist mercyhealth javon hospital rockford,record
13,friday,forty fort pediatrics,0,infection preventionist mercyhealth javon hospital rockford,adamawa record declares
14,friday,forty fort pediatrics,0,infection preventionist mercyhealth javon hospital rockford,record
15,hope everyone,circulator fall,0,kapiolani labor delivery week honolulu,plate
16,someone someone hope please scheme,circulator fall,0,kapiolani labor delivery week honolulu,license plate
17,anyone hope bastard,circulator fall,0,kapiolani labor delivery week honolulu,plate household plate alien concept
18,thank today,night placement shenandoah,0,wish love everyone dude,state initiative prevalence state initiative
19,thank today,night placement shenandoah,0,wish please tomorrow,california
20,thank today,night placement shenandoah,0,love wish,state
21,worry,arfsrn night fort smith,0,name number parcel,announcement light
22,worrying,arfsrn night fort smith,0,parcel time,place sooner announcement
23,worry,arfsrn night fort smith,0,tracking parcel website,yeah announcement notice
24,rule,circulatorscrub fall,0,blue start fund sign,monkeypox spread state case ncdc
25,rule,circulatorscrub fall,0,opportunity fund,monkeypox case
26,rule,circulatorscrub fall,0,whence fund resource,deplores monkeypox nigeria
27,well spent morning drinking whilst start,fort defiance,0,thank everyone,shift nurse nigeria
28,breakfast morning start,fort defiance,0,thank share everyone,nurse wazobia nigeria
29,morning start,fort defiance,0,thanks everyone,conference head nursing service department healthcare facility nigeria
30,tone deaf,care hermiston,0,thank alot,nigeria alert ghana record outbreak marburg virus disease
31,party tone deaf charge,care hermiston,0,thank nothing,covid infection lagos record case
32,deaf dumb,care hermiston,0,thanks anything,covid nigeria record case
33,chris,hermiston,0,thank support,girlfriend
34,chris,hermiston,0,thank support,girlfriend
35,chris tonight,hermiston,0,thank support,boyfriend
36,morning hope sparkle,everything,0,touchy hugo,variant variant
37,morning hope,everything,0,hugo,variation request release
38,morning hope,everything,0,hugo,variant
39,morning week,need,0,thanks,lassa fever health challenge ncdc
40,morning wednesday,need,0,thanks,lassa fever infects week
41,morning tony week,need,0,thanks,lassa fever nigerian ncdc
42,kath,grade semester week,0,baby,officer cecap vacancy jhpiego nigeria
43,work kath,week semester time,0,baby,supervision quality improvement specialist vacancy jhpiego nigeria opening
44,coffee kath,week placement heard assessor anyone issue,0,baby,consultant trainer health care worker action nigeria
45,spark,agent form hour,0,charity,others list measles report
46,sparkle,placement time,0,adventure charity connection,health worker measles kill river
47,spark,placement hour,0,fundraiser friend,measles katsina state
48,wednesday,placement,0,sarah,covid nigeria record case death
49,wednesday,placement,0,sarah,case akwa ibom river kano osun death report data ibom state zero case
50,wednesday,hate placement,0,sarah weather,nigeria record case death
51,hope survey,awww partner owner,0,delivery,ncdc record infection
52,dick hope help,behaviour paper moral story,0,waitrose deliver,ncdc record infection
53,hope question,moral,0,deliveroo,ncdc record infection
54,minute bronchiolitis,glove,0,wall thing,covid omicron variant variant world
55,bronchiolitis,glove hand forever,0,wall,conspiracy omicron patient delta
56,date tweet wednesday chat bronchiolitis,glove,0,wall,covid variant omicron others
57,sunset song,dissertation idea,0,wish,fever
58,selling sunset,dissertation stare anyone something interest,0,wish,record fever case casualty
59,glasgow sunset,practice dissertation yaaay,0,wish,appointment fever injection
60,carol,north fall,0,james lucy lunch touch,covid ncdc register infection
61,hand carol,wait fall,0,lunch companion,covid ncdc register infection
62,slainte carol,fall rachael blok,0,lunch,covid ncdc announces
63,hope today,strobos,0,candle,nigeria anyone anytime
64,hope today,strimphony,0,benefit candle,thing nigerian
65,today helpless hope,strasler,0,news fighter everyone life rest need side love candle,house lagos
66,morning today,week,0,gesture staff food load goody thank,nigeria batch covid vaccine
67,morning today,week,0,thank delivery meal staff,vaccine shot nigeria roll begin
68,morning finley today,week,0,thanks donation charity baby staff celebratory lunch unit today thanks reception hero food shopping,lagos kick fault vaccine sale surface
69,thanks hope,thatttt,0,year july damage,adult country booster vaccine protection omicron variant friend family
70,thank hope,thatttt,0,july,adult country booster vaccine protection omicron variant friend family
71,thanks hope,love ittt,0,july,adult country booster vaccine protection omicron variant friend family
72,morning maggie,turn,0,spouse ramification spouse marriage friend family community fate relationship,0
73,morning maggie,turn,0,divorce incominggggg,0
74,morning person nurse maggie moment part,turn,0,head week divorce prevention measure,0
75,morning friend,battle,0,furniture,0
76,morning friend,battle,0,furniture,0
77,morning friend,battle line,0,furniture place,0
78,angel,check,0,baby family staff unit,0
79,angel window sketty lesbian,friend check,0,delivery unit staff tomorrow thank people premature baby time donate,0
80,angel treat ball google people sweet,check,0,community sister community team visit minimum contact baby baby gain monitoring baby scale community team,0
81,rule expert post track,week tour mile mile team easter,0,thank evening,0
82,people rule picture rule,week duty today mile work teammate,0,evening thanks roll,0
83,everyone rule people,none mile mile week chance,0,thanks evening,0
84,maggie,thing lfts test stand tube,0,time book table lunch today lunch reservation school phone home reason,0
85,maggie count number time,tube,0,lunch time,0
86,maggie,tube mine,0,spending lunchtime sunand course,0
87,morning hope terrific tuesday,realise lack awareness,0,thanks support,0
88,morning message snoopy song hope wednesday,awareness,0,thanks support,0
89,morning hope wednesday,awareness lack policy response people evidence solution,0,thanks support,0
90,morning nicki hope friday,wait display,0,nurse vanessa hurley garden weekend area help fund nursing charity detail website,0
91,quote nicki sunday,gervais heartest wait tvwise,0,thing charity request unit staff speech language therapist bottle teat bottle baby,0
92,morning nicki hope today,show mark wait,0,community nurse garden party fund charity love,0
93,morning katy hope today,mile,0,spiderman look outcome,0
94,morning jane,mile,0,cottage hill spider,0
95,morning paula,congratulation talk mile,0,spider beauty dorries spider,0
96,ciara hope,group isolation,0,morning everybody,0
97,ciara,difficultmaybe isolation coexists host issue,0,morning everybody,0
98,morning guac,isolation baaaaane life,0,morning everybody,0
99,morning richard,cookie dough piss cooky,0,thanks somebody,0
100,realise wale darren,anyone face work eating cookie,0,thank fuck anyone,0
101,morning richard year service chapter adventure,chocolate chip cookie today question cookie cookie,0,thanks anyone,0
102,plenty,nursing week year mark assignment,0,inbox morning thank,0
103,plenty none,nurse week trinket organization everyone,0,inbox morning thank,0
104,enough,base monday tuesday wednesday home thursday friday hand nurse,0,info inbox,0
105,ahhh mike,people reason people week time hypocrite health awareness week individual headline ampyou,0,louise jameson,0
106,work mike,good glow thought health aspect monday,0,nothing louise beech,0
107,mike,part health awareness week,0,louise look,0
108,sunrise home work,welearn health week medium event health care professional student,0,thanks coffee morning,0
109,sunrise,welearn week disease prevention start march please share sign page,0,sorry response team morning,0
110,sunrise,part health week start medium certificate register,0,glad glove morning,0
111,richard today support,giveaway,0,dude,0
112,word describe him]...and engagement confusion loss richard madness grief,giveaway,0,dude,0
113,richard today support,giveaway,0,dude,0
114,hope umph week,mattress,0,response fact lunch break,0
115,week faith hope thank,thanks mccrone trust donation mattress unit,0,lunch break zoom work something trip pizza,0
116,hope week,week nurse purple harmony pillow mattress,0,lunch break body,0
117,baby brother freddie freddie week baby jack month michelle,care head dampv lack sleep emphasis kind,0,ventilator,0
118,freddie,pillow,0,truth ventilator,0
119,freddie,shape support pillow badge,0,opposite reality ventilator,0
120,rescue,student placement,0,consultant sijo francis charity trustee privilege unit,0
121,rescue,jess student possibility placement practice luck,0,trustee plymouth share,0
122,rescue,placement student,0,charity trustee,0
123,morning chris friend week weekend,technology help battle loneliness,0,consultant touch charity trustee sijo francis thames challenge september runner,0
124,morning chris friend week friday weekend,loneliness isolation difference,0,time consultant laura consultant laura part thames challenge september,0
125,morning chris friend week,care home group grandparent loneliness,0,staff covid cake sale today fund part thames challenge,0
126,suite range opportunity leader access support development development staff future,morning mile,0,heartfelt thanks term supporter mike berg donation maquet ventilator unit,0
127,role effectiveness graduate quality member organisation cooperation development oecd,morning mile,0,second maquet ventilator unit,0
128,sooner student voice impact leadership programme range option leader access,morning mile,0,thank sponsorship money state ventilator maquet equipment need doctor louise,0
129,morning carol time,heiss surgeon,0,mill housework,0
130,morning carol,august introduces surgeon,0,housework,0
131,morning carol,surgeon,0,thing house work person thing core,0
132,caitriona virgin medium friend year time,project,0,attitude catherine,0
133,watch tonight thank head caitriona,project,0,nuala catherine,0
134,caitriona,project,0,catherine,0
135,eddie,vacation punishment,0,buddy,0
136,lassie eddie havoc heaven simba eddie,thing vacation,0,buddy,0
137,eddie,vacation today,0,buddy,0
138,morning kenny friend,thank week,0,celebrate cook share month cook share sarnies stew community resource,0
139,morning kenny friend photo,thank week,0,food connection community cook share month easy cook meal snack anything share friend,0
140,morning kenny friend,thank tonic week,0,cook share month today sharing sense community sign cook meal snack anything share community sign support,0
141,morning chris,placement team placement today tomorrow update progress tonight,0,0,0
142,morning chris,nicole placement team placement update progress student time line progress,0,0,0
143,morning chris,charlotte placement team level manager,0,0,0
144,scholarship,project part,0,0,0
145,professor kunle foundation scholarship award,project unit,0,0,0
146,merit scholarship list,project part,0,0,0
147,morning kenny friend super saturday,work example partnership,0,0,0
148,morning kenny friend week,partnership,0,0,0
149,morning kenny friend wednesday,partnership,0,0,0
150,idea richard development scholarship,weed thing plant technique,0,0,0
151,application richard development scholarship development mentorship package,thank help herb garden number school week school,0,0,0
152,idea richard development scholarship,bush weed,0,0,0
153,please share opportunity leader richard tompkins development scholarship application experience,work shiv,0,0,0
154,please share opportunity leader richard tompkins development scholarship application experience,work shiv,0,0,0
155,please share opportunity leader richard tompkins development scholarship application experience,work shiv,0,0,0
156,cait,shiv,0,0,0
157,cait,shiv,0,0,0
158,cait america,shiv,0,0,0
