,0,1,2,3,4
0,morning,matter thing,time,wait,show
1,morning,matter,time,wait,show
2,morning,matter shapps,time,wait,show
3,shift jerseyshore jersey shore,thank,time problem planet earth priority,shark week week landon,smash timed night
4,shift jerseyshore jersey shore,thank,time wipe side closing,week section article section assume section risk harm,time night
5,shift jerseyshore jersey shore,thank,time charm glitch update,week work,time fortnight
6,wish photo,wiser,sorry,mile,time night rehab
7,wish downunder barstards,wise,sorry,mile,time night rehab
8,wish please tomorrow,thanks wiser money,sorry,soooooooooo mile,time night rehab
9,start,kind,glad,forty fort pediatrics,spat dummy night
10,start,kind,glad,forty fort pediatrics,night
11,start,kind,glad,forty fort pediatrics,night
12,friend people john,word,mate,arfsrn night fort smith,care night
13,gonna john something speed,word,mate,arfsrn night fort smith,care night
14,john,word,mind mate,arfsrn night fort smith,care night
15,hope,thank kind word thank,chilblain breath,fort defiance,nicupicu night
16,hope,thank kind word,breath worth,fort defiance,nicupicu night
17,hope,thank kind word,thing people internet breath response question vulnerability thing guess,fort defiance,nicupicu night
18,thanks hope,kind people,nonsense,work,night baudette
19,thanks hope,kind people,anyone nonsense,work,night baudette
20,thank hope,someone kind person anyone,nonsense,work,night baudette
21,disappointment thou,guess,dissertation idea,sleep student week click,shift canton
22,disappointment,guess,dissertation result luck,school uniform week improvement month time,shift canton
23,disappointment,guess,dissertation,week placement placement,shift canton
24,well ladabout,everyone dignity respect today discrimination form,nothing,weekend,night shift position fruita
25,well,dignity,nothing,weekend,night shift position fruita
26,wellyou,reader thread answer everything humanity dignity compassionate solidarity,nothing,weekend,night shift position fruita
27,super,comfort zone interview thank kind word,issue fairness discussion fairness,cohort,thank night
28,super team,comfort food,fairness,fellow cohort journey,night thank
29,beat super,comfort food,gayagaya ground fairness governance,everyone cohort know,night thank
30,hope time,kind thank,breathing,week,itfull nursing degree
31,thanks hope time,kind thank,prone work breathing thing,week,history teacher mother material class degree honour diploma health nursing mother teacher
32,hope time,thankyou kind,breathing part problem,week,nursing degree bash bosh
33,friday enjoy,none,september book,moan,gurl network night
34,friday,none,september year,moaning,night show
35,friday,none,september,bros screaming,night abouts door show tmrw
36,night morning,encouragement belief word,folk,system requirement ease flexibility,degree
37,well spent morning drinking whilst start,encouragement,folk,meeting type direction encroach work shop decision,program stem degree
38,morning work,thank word encouragement,nowt folk couture,catalyst quality outcome work environment,degree
39,hope everyone,plenty cumin,unit essay,kate season ncis gibbs shaaaa,happiness
40,hope someone,plenty,amanda word genotype essay,kate,price people happiness side life time others
41,hope everyone,plenty,thanks input essay,kate,happiness
42,wish,thank kind,reason,mile week mile,night shift
43,wish,thank kind,reason,mile week,kilish night shift
44,wish,thanks kind,reason,mile week,night shift champ
45,clue,colin firth sort person person,time hoot,profile wait gbtv,night dream morning spare detail yeah nice
46,clue,episode colin baker colin,time time,wait display,night robin dream
47,clueless,adore story colin,time time,cannot wait phrase apnoea work,dream night drank dream anxiety world share sobriety
48,yesterday,aircon zone everyone unit,takeaway today thought,everyone work,lord shift
49,yesterday,zone today,takeaway,work everything,shift
50,yesterday,life zone,take,anyone work,shift
51,saturday,kind second something,time thing,weekend time,sunday time
52,saturday,kind tech,time gwaps,toad time weekend,sunday
53,saturday,kind play base,thing time,time weekend,sundayto
54,nobody cold,work mode risk work someone,goddamn,thank weekend,alarm call
55,cold,assumption work business certainty,damn,thanks home weekend chomping,babe check alarm time
56,cold,assumption work business certainty,damn,thank weekend,alarm work
57,rule,guess work certainty,thats,monday,exhaustion work point
58,rule,guess work certainty,thats,monday,worry exhaustion month
59,rule,guess work certainty,yeah thats,monday extremist,exhaustion thinking
60,dream team hope,colin thank,time family advantage,thanks week,limme
61,hope team,thank colin,thing watch timeacting class making family,thank tonic week,limme
62,team hope person,thank colin,story aggie support family time,thanks week,blimey realise
63,chris,0,time idea question time,monday night south,class
64,chris,0,question answer time questioner,sunday night,class
65,week chris,0,question time,twilight zone monday,class
66,soprano,0,fatboy oscar,nurse week,cast user
67,tony,0,oscar,urology nurse associate week week,post saga review body draft cast dramatisation
68,tony,0,oscar,base monday tuesday wednesday home thursday friday hand nurse,cast
69,morning hope morning,0,time friend,thank week weekend,aspirate
70,morning hope friend,0,friend time,comment week thank weekend,performance
71,everything irksome morning hope,0,sorry time nonsense,thank week weekend,performance
72,decent living,0,babe,storm,michelle
73,live,0,babe,storm,michelle
74,living,0,babe,storm eunice,michelle
75,wednesday,0,question reason,sheridan smith,blimey dark alan
76,wednesday,0,reason column sport,anyone terry smith,blimey
77,wednesday,0,reason block reason permaban,john smith,blimey
78,hope case,0,weather sarcasm,morning mile,year hangover night
79,hope survey,0,sarcasm,morning mile,hangover
80,hope service,0,sarcasm,morning mile,hangover
81,question stage bronchiolitis,0,daaa,mileage mile totaliser,tania plahay book yoga dementia
82,bronchiolitis,0,naaa,amount mile year,yoga
83,bronchiolitis bread butter article everything,0,haaaaaaa,need need speed mile,yoga shift work
84,radar jenny,0,night musical iplayer list,week version register ticket,dream
85,jenny port place,0,motherland iplayer genius,ticket week charge charge,diva dream
86,love jenny,0,iplayer babe,week book ticket team stand register ticket,dream
87,today hope,0,information resident service user care work contact user,stop pitch,legend
88,hope today,0,resident service user optimises business process save time money whilst,cameroon pitch,legend
89,hope today,0,information resident service user care work contact user,pitch,legend
90,mini,0,buddy,week book,night funny
91,mini,0,buddy,week book,night savage
92,minimart,0,buddy,week book,jesus night land
93,morning saturday,0,pointless,thank plan monday work,morning michelle
94,morning weekend,0,pointless,thanks tuesday monday,morning michelle shift
95,morning super saturday,0,pointless,thanks tuesday,morning michelle
96,johnny brake light morning,0,issue time,level leadership qualification skill english cohort september development award band book session,thanks request
97,morning john,0,issue time,level leadership qualification skill english cohort september development award band book session,thanks epic request
98,morning jonny,0,issue time,level leadership qualification skill english cohort september development award band book session,ready
99,morning maggie,0,recover hour time thing service user fusion ecare solution salescom,smoke oklahoma,funny
100,morning maggie,0,recover hour time thing service user fusion ecare solution salescom,oklahoma favorite football team sooner,shit funny
101,morning maggie,0,fusion care mangement software everything care home staff time attendance resident billing care easy place,oklahoma,funnynot
102,morning friend,0,rota fusion system shift,0,hour night shift
103,morning friend look,0,rota fusion system shift,0,hour night shift
104,morning friend,0,rota fusion system shift,0,hour shift sleep
105,hope weekend stay,0,record service fusion identify source enquiry service user,0,tour
106,hope weekend stay,0,record service fusion identify source enquiry service user,0,innocence tour
107,hope weekend stay,0,record service fusion identify source enquiry service user,0,video tour please tour couple year tour pain wait tour
108,everyone rule people,0,0,0,hour shift today tomorrow battle wait week week
109,people lark rule idea,0,0,0,blind morning week spicy shift
110,rule regulation bill board advert radio television form slogan colour rule people,0,0,0,weekend shift work
111,maggie,0,0,0,work shift
112,maggie,0,0,0,shift management working understaffed
113,maggie,0,0,0,height home shift nothing grief home people medium colleague
114,morning hope wednesday,0,0,0,megacycle hour shift cmon
115,morning hope wednesday,0,0,0,assault minute course hour shift
116,morning hope thursday,0,0,0,hour shift nevermind brain
117,morning nicki hope,0,0,0,call shift cycle nurse
118,news nicki couple yearsamp hope solace wish memory,0,0,0,location move nursing shift week miss please stuff
119,morning nicki hope today,0,0,0,extreme appeal employer nurse shift
120,morning friend time engine start week kindness,0,0,0,thank tour
121,morning iris week,0,0,0,pleasure thank tour
122,morning iris kindness,0,0,0,thank tour
123,morning today,0,0,0,minute compassion fatigue opportunity code practice applies presence
124,grape yesterday morning,0,0,0,suffering compassion fatigue tiredness thanks cartoon take pressure nurse learn compassion fatigue
125,morning devil today today,0,0,0,member compassion fatigue impact symptom nurse support
126,studio sunset strip,0,0,0,skye
127,sunset,0,0,0,skye skid zoomies
128,sunset,0,0,0,skye chair
129,didnt mike woman business,0,0,0,night work
130,mike look,0,0,0,occasion today hour sleep work sleep afford work
131,judging picture mike stevens,0,0,0,start sleep farmer night work
132,sunrise,0,0,0,eeee smash care
133,sunrise,0,0,0,smash
134,sunrise minus,0,0,0,smasher love
135,shore line,0,0,0,dawn
136,friend coast,0,0,0,pupil dawn goodwin
137,image someone area coast,0,0,0,dawn
138,cheek sparkle,0,0,0,shift nurse tonight energy
139,twinkle,0,0,0,nurse night shift night advice sleep night shift
140,inspiration team leader spin class body pump session sparkle legging,0,0,0,expert nurse power night shift advice break thanks take night shift
141,week hope registration,0,0,0,pepper farm pepper book blog tour
142,hope wednesday,0,0,0,groom charlie blog tour
143,hope umph week,0,0,0,blog tour
144,morning chris,0,0,0,0
145,morning chris morning,0,0,0,0
146,morning chris,0,0,0,0
147,morning chris friend hope,0,0,0,0
148,morning chris friend week,0,0,0,0
149,morning chris friend friday,0,0,0,0
150,freddie sunrise,0,0,0,0
151,birthday freddie,0,0,0,0
152,freddie,0,0,0,0
153,morning kenny friend people,0,0,0,0
154,morning kenny friend,0,0,0,0
155,morning kenny friend today,0,0,0,0
156,afternoon emil,0,0,0,0
157,morning emil,0,0,0,0
158,morning emil,0,0,0,0
159,morning jenny,0,0,0,0
160,pressure morning jenny,0,0,0,0
161,morning jenny,0,0,0,0
162,morning kenny friend kindness,0,0,0,0
163,morning kenny friend kindness,0,0,0,0
164,morning kenny friend kindness,0,0,0,0
165,morning kenny friend friday,0,0,0,0
166,morning kenny friend post weekend time,0,0,0,0
167,morning kenny super saturday opportunity breath smile point,0,0,0,0
168,morning chris friend parkrun morning,0,0,0,0
169,morning chris friend,0,0,0,0
170,morning chris friend thank check,0,0,0,0
