,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
91923,91923,thanks follow,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.3869162547249193,True,Hey Stacie O'Daniell thanks for the follow!
97946,97946,working,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.9139682332461004,False,@ALBSFC1981 Yes..Glad its working!!
125611,125611,christ almighty,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,"Christ Almighty, forgive us! https://t.co/N6r5AFBQYt"
134519,134519,work,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.4765874013816279,True,@MarcelleTauber @NursesMidwives Great work 👏👏👏
119598,119598,bathroom,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.3863340346872572,True,@litenaska You guys did a great job. I think I need to hire you two to help finish my bathroom! 😂😂😂
68063,68063,busy work,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,False,Here we have @MoiraDawson4 our other ACP ITU dietitian busy at work #DW2022 #dietitiansweek2022 #WhatDietitiansDo #rd https://t.co/0QGme6YtdP
43402,43402,glad,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.7847823182279325,True,@nurse_marcus Glad to see you back 😘
94243,94243,block,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,@realBarryFrench Block
125243,125243,study output,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.7265991765357829,False,@aidinmckinney from @QUBSONM Delighted to see your PhD study output 'HELP US HEAR YOU' informing #PatientPoweredSafety @CatherineVescha @JenniferMcGaug2 @BronaghBelfast @DonnaFitzQUB @heather196528 https://t.co/mCgfncW8IL
80041,80041,welcome family,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,"@JOBETTI Welcome to the QNI family, Jo!"
109262,109262,time work time,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,False,Nap time before work time
326,326,john respect anyone anything,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.1584159072856262,False,@HangBlaa @PeterEgan6 Would somebody with empathy do that John I don’t think so he obviously has no respect for anyone or anything
91935,91935,smith thanks follow,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.597260765888005,False,"Hey Blake K Smith MSN, RN thanks for the follow!"
60163,60163,anything,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.5404324969368738,True,@AlohaKirstie It’s better if I don’t say anything 😂
23524,23524,greg,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,1.0,True,@How2Drink Greg you guys killed it. Great vid!👏🏼👏🏼👏🏼
