,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
81320,81320,pivot group vaccine word concern loser,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,1.0,False,What am I bid for a pivot towards bitching that certain groups are not getting the vaccine fast enough. I imagine the words ‘indigenous’ and ‘legitimate concerns will feature from the 7-time loser. https://t.co/wRNVqyK7Lk
102472,102472,mass vaccination school child claim cost government view opposite risk,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,1.0,False,"The mass flu vaccination of UK school age children was based on claim they were #superspreaders at a cost of over £100 million. Now government revises this view to the complete opposite, that there is just minimal risk! #COVID19 https://t.co/7k3pV02bIU"
33197,33197,vaccine middleaged crap risk sense,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,1.0,False,"@Mikeodwyer761 @Independent_ie The over 65s and under 30s are being offered the best vaccine, while the middle-aged have to take the crap one or risk Covid. It only makes sense if we look at it through very cynical eyes."
32318,32318,vaccine cert stunt cert case hypocrite someone question,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,1.0,False,@ninety6days Tearing up vaccine certs is their latest idiotic stunt. It's unclear whether these certs are their own (in which case they are hypocrites) or someone else's (which throws up a different set of questions). #antivaxxers #antimaskers #lockdown #covidiots
32649,32649,presume vaccine person load crowd people,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,1.0,False,"@Independent_ie Presume also that even the best vaccine will fail when the person is exposed to too high a viral load (eg in crowds, with people shouting etc)."
8214,8214,risk interview,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,0.824066565407751,False,@Petercampbell1 Agreed. Not worth the risk and gets them out of tendious interviews. Are you going?
13766,13766,funnier part motherhood parent hellscape virus chore variety fluid,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,0.3171568090352243,False,"I don't know if it's because it's funnier to joke about the worst parts of motherhood, but precisely zero parents make it sound appealing. It just sounds like an endless hellscape of viruses, domestic chores and cleaning up a wide variety of bodily fluids."
33791,33791,vaccine prevent people,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,1.0,False,"@MaryKenny4 Not ""Will getting this vaccine prevent me infecting other, more vulnerable people""?"
75763,75763,effect wave forewarning storm beacon morning,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,0.4181533900358597,False,I believe they call this effect #MackerelSky that is caused by atmospheric waves and is often a forewarning of storms This was one taken over Billinge Beacon this morning https://t.co/TUS6QTtzQ4
101985,101985,doctor virus nothing time,6,6_vaccine_virus_vaccination_risk,vaccine - virus - vaccination - risk - people - covid - booster - pfizer - variant - dose,0.351322317287149,False,"Remember those days when your doctor used to say; ""Its just a virus, nothing we can give you"" Oh how times have changed......"
