,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
3657,3657,9132,word letter complaint parcel leicester week hour,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@CollieTrio Having written a 1,000 word letter of complaint to their CEO about a lost parcel that was in Leicester for 3 weeks, I know what you mean. Funny how it was found and delivered within 24 hours of it being sent. https://t.co/NHCxR0om1w",2020-12-03 08:04:43+00:00,None
3658,3658,9131,indecency case,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@CollieTrio This might be more effective, and avoid possible public indecency cases! https://t.co/UWSuSqtIHm",2020-12-03 08:08:12+00:00,None
3659,3659,17206,membership ballot paper refusal return,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.7848001330868394,False,And the membership ballot paper to confirm refusal of EOH returns? Or have I missed that somewhere? Q https://t.co/IGqUsbR01A,2020-12-03 09:35:19+00:00,Life
3660,3660,9130,tile hill station north coventry,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@CebelihleM @DickKingSmith Outside Tile Hill Station a little north of Coventry.,2020-12-03 12:24:58+00:00,None
3661,3661,6902,please team sport nutritionist advice talk,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@ChloeMcClure99 Hun please contact @beatED they really will help you. They’re the best and most understanding team I’ve ever come across. I trained to be a sports nutritionist rarely give advice now but please talk to Beat,2020-12-03 17:26:36+00:00,None
3662,3662,6901,heart incident home thought family work colleague emergency service scene,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"Heart is breaking for all those involved in the incident at Avonmouth. No one should ever go to work and not come home again. Thoughts going out to all the families, friends, work colleagues affected and with all the emergency services now having to deal with some awful scenes.",2020-12-03 17:47:19+00:00,None
3663,3663,6900,year message,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@ChloeMcClure99 I was going to DM you but can see you’ve been bombarded a bit. Like I said I’m trained but not practiced for years. But if you need to talk I’m only a message away and can try to help you out,2020-12-03 18:03:16+00:00,None
3664,3664,20660,month surprise,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8207422401874018,False,As predicted a few months ago. The only surprise is that the cut isn’t somewhat deeper https://t.co/Ew5LAmNkeV,2020-12-03 18:23:52+00:00,None
3665,3665,20659,detail budget control period project approval,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@DanielPhilips1 No detail as yet. It’s a cut to the overall budget for the current 5-year Control Period. Each project is authorised individually by DfT as they become ready for approval,2020-12-03 18:46:01+00:00,None
3666,3666,17205,return policy brief counsel action election,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,So why not an immediate No Returns policy for EOH briefs that counsel can’t do? You promised action when standing for election https://t.co/wKPSWGHuWE,2020-12-03 20:00:18+00:00,None
3667,3667,17204,policy work,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@CrimeGirI But they won’t stop it. A No Returns policy means that when they start it, it can’t work",2020-12-03 20:22:53+00:00,None
3668,3668,20658,delay delivery congestion,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,“Minor delays to delivery due to congestion” https://t.co/IMid1eYYE7,2020-12-04 08:41:51+00:00,None
