"",id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,protected,followers_count,friends_count,created_at,favourites_count,year_created,friend_ratio
43350,29952417.0,29952417.0,🏎🏁Kenworthy📖🖋🎸,RichKenworthy,"Socialist, Moonraker. Psyche nurse. ❤️ NHS ❤️ Politics: left but party homeless. Try https://t.co/9aFChsP7UG Likes: F1, Bowie; & playing guitar. 没有限制 : 李小龍",13.0,27121.0,2086.230769230769,"Midsomer Norton, England",,False,3493.0,4550.0,Thu Apr 09 09:24:35 +0000 2009,0.0,2009.0,0.7676923076923077
43972,23104401.0,23104401.0,Sharon Gathercole🏴󠁧󠁢󠁳󠁣󠁴󠁿🌻🇺🇦,Sharonwifey,Happy nurse. Dog slave. Great family. Great friends. Lucky girl. SNP. Independence for Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿 My tweets are my own opinions.,13.0,69166.0,5320.461538461538,Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿,,False,6656.0,7321.0,Fri Mar 06 19:13:27 +0000 2009,87737.0,2009.0,0.9091654145608523
48623,336785641.0,336785641.0,pav,pav3n,"Proud NHS nurse💙#NHSLove♥#FairpayforNHSStaff

🙏#FreeNazanin #NoPasaran #NoRacism 
#RejoinEU 🇺🇦
#BlackLivesMatter 💚
#JusticeforGeorgeFloyd

GTTO",11.0,90981.0,8271.0,United Kingdom,,False,3631.0,4785.0,Sat Jul 16 22:25:08 +0000 2011,140031.0,2011.0,0.7588296760710553
50028,60425879.0,60425879.0,Dawn Townsend,Alba40,"ex NHS nurse,  British & Spanish resident living in Europe for the past 19 years.",13.0,100158.0,7704.461538461538,spain ,,False,3447.0,4910.0,Sun Jul 26 23:34:26 +0000 2009,102358.0,2009.0,0.7020366598778004
51911,9.410227832149892e+17,9.41022783214989e+17,BigMamaNurse,BigNurse20281,"Mom, Wife, #Jesus, Lover of the lost and forgotten,All outcasts welcome,Ayurveda,MotherTeresa,Volunteer nurse Mexico ,#tecatesmiles #volunteernurseIndia",5.0,28510.0,5702.0,"California, USA",,False,4424.0,5555.0,Wed Dec 13 19:11:29 +0000 2017,53161.0,2017.0,0.7963996399639964
52310,9.340993522047754e+17,9.340993522047754e+17,Donato Tallo,Donato_Tallo,Senior Regional Officer - RCN South East | Registered Nurse | Passionate about high quality professional nursing practice | Florence Nightingale Scholar 2021,5.0,11412.0,2282.4,"South East, England",,False,2558.0,4969.0,Fri Nov 24 16:40:15 +0000 2017,31169.0,2017.0,0.5147917085932783
56930,9.01055791515435e+17,9.01055791515435e+17,Shaun Williams #FairPayForNursing,Shaun_LDNurse,Frontline (LD) nurse; neurodiverse; tea drinker extraordinaire. 🏳️‍🌈,5.0,20934.0,4186.8,"Birmingham, England",https://t.co/FIDt4U2uVd,False,3667.0,3994.0,Fri Aug 25 12:16:56 +0000 2017,24744.0,2017.0,0.9181271907861792
57372,312285485.0,312285485.0,I ❤️ heist arcs,Ramonaspierre,"soft face of anarchism : big crip energy : nurse : no le gusta caminar : 🍄 : she/her
📚 Crying In H Mart - Michelle Zauner",11.0,26013.0,2364.818181818182,Midlothian ,https://t.co/MchT2d3gMd,True,1865.0,2234.0,Mon Jun 06 21:44:41 +0000 2011,20697.0,2011.0,0.8348254252461952
58461,8.840067876991017e+17,8.840067876991017e+17,Rebekah RNchild💙,reboverend_RNc,I'm just me! Mum and wife 👨‍👩‍👦‍👦 😁 Paediatric Nurse Educator 😎 oh and Disney lover😍! #celebratenursing #celebratelearning #ilovedisney #autismmom,5.0,13774.0,2754.8,Second star to the right...,,False,1806.0,1886.0,Sun Jul 09 11:10:17 +0000 2017,35017.0,2017.0,0.9575821845174973
61018,479723863.0,479723863.0,Laura,LauraaApril,essex🏡/suffolk🐴/london👩🏼‍⚕️/cyprus☀️ paeds nurse. GB💘 ‘fix your ponytail and try again’💫,10.0,24726.0,2472.6,Essex/Suffolk/London/Cyprus,https://t.co/TytTkQsCJx,False,1414.0,2676.0,Tue Jan 31 18:01:49 +0000 2012,112371.0,2012.0,0.5284005979073244
61266,2932434699.0,2932434699.0,Kate 🇬🇧💙💜🤍💚💙💛🇩🇪,KateHaus11,"Person, woman, wife, mother, nurse. Drinker of the occasional whisky. You don’t get to tell me that I hate you.",8.0,76099.0,9512.375,Britain/Germany,,False,1920.0,3232.0,Fri Dec 19 19:20:53 +0000 2014,183417.0,2014.0,0.594059405940594
62830,8.231079414568141e+17,8.231079414568141e+17,ConcernedNurse #ProEU,Moonshineb64,A concerned nurse. Silence is complicity.,5.0,18799.0,3759.8,"England, United Kingdom",,False,3800.0,4822.0,Sun Jan 22 10:00:00 +0000 2017,63570.0,2017.0,0.7880547490667773
64108,404232584.0,404232584.0,Patricia Pouncey 💙,PatriciaPouncey,EU citizen married to British man. Retired NHS nurse. Carer for my husband who has long term health needs.,11.0,26507.0,2409.7272727272725,,,False,1621.0,3244.0,Thu Nov 03 16:43:45 +0000 2011,51261.0,2011.0,0.49969173859432797
65463,191885741.0,191885741.0,SNIPPY,lau_rainbowdash,"SNIPPY-wood nymph & nurse~
PonyBoy ❤ LFC~Classic cars~Packers https://t.co/YmN4fiOG4d 
NO DMs",12.0,37025.0,3085.416666666666,Somewhere you're not; probably,,False,2617.0,3296.0,Fri Sep 17 16:24:36 +0000 2010,76622.0,2010.0,0.7939927184466019
65872,8.20074216921899e+17,8.20074216921899e+17,Dr Una St Ledger,UnaLedger,"OU Ireland, Nursing, Staff Tutor & Regional Academic. Moral distress in EoL. Moral well-being of student nurses, healthcare professionals & pts relatives.",5.0,14681.0,2936.2,"Belfast, Northern Ireland",,False,1848.0,2396.0,Sat Jan 14 01:05:04 +0000 2017,53529.0,2017.0,0.7712854757929883
67972,283270318.0,283270318.0,MarjorieCliff Picard,Margiemom,Marjorie Cliff Picard has a degree in journalism and another in nursing. Enjoys reading about politics and world events. Leans left. Democrat.,11.0,38665.0,3515.0,USA,https://t.co/Qwozi7TonS,True,2654.0,4961.0,Sat Apr 16 23:35:01 +0000 2011,58418.0,2011.0,0.5349727877444064
69301,155652454.0,155652454.0,⭐️Vicky⭐️,VickyE86,"I'm a nurse, mammy to a gorgeous baby boy💙 I have IIH & Crohn's disease & I quite like @ollyofficial, apart from that I have nothing interesting to write here.",12.0,30607.0,2550.583333333333,"Blackwood, Gwent, South Wales ",,False,1796.0,2566.0,Mon Jun 14 18:45:55 +0000 2010,19148.0,2010.0,0.6999220576773187
70252,496408501.0,496408501.0,MCreek,CmaCreek,"solicitor & partner, registered nurse, veteran…health, politics & the law *my views only CmaCreek@mastodon.world",10.0,29638.0,2963.8,West Country,,False,3428.0,4937.0,Sat Feb 18 22:55:07 +0000 2012,134740.0,2012.0,0.6943487948146648
73137,7.286432570984489e+17,7.286432570984489e+17,Petrina Tointon,PetrinaTointon,A very tired staff nurse! my fur babies RULE and ROCK my world and that is why I'm poor! .,6.0,14693.0,2448.833333333333,"South East, England",,False,1223.0,3363.0,Fri May 06 17:51:04 +0000 2016,24852.0,2016.0,0.36366339577757956
73984,425434669.0,425434669.0,Janette Leck 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺🟩⬜🟪,JanetteLeck,"Independent thinking,coffee loving nurse for over 30yrs, Scottish Independence is inevitable! #DISSOLVETHEUNION",11.0,86691.0,7881.0,Scotland,,False,3197.0,4565.0,Thu Dec 01 00:36:21 +0000 2011,306829.0,2011.0,0.700328587075575
76882,2147984827.0,2147984827.0,Only A Nurse,Onlyanurse2013,"Only A Nurse is a New Nursing Community. It's time  nurses united. Let all join in and help each other. The site has forums,humor & stories for nurses.",9.0,20396.0,2266.222222222222,USA,http://t.co/RBHLCKl4Ac,False,10789.0,10848.0,Mon Oct 21 23:19:26 +0000 2013,1452.0,2013.0,0.994561209439528
83232,2873553020.0,2873553020.0,Roxana Homoranu-Blackheart,RoxanaRoxyfoxy,clinician. entrepreneur. passionate about people and creativity in nursing. graduate from Sheffield Hallam University. champion for Men in Nursing Together,8.0,17149.0,2143.625,south yorkshire,https://t.co/gHGgh9Nap8,False,1355.0,4066.0,Thu Oct 23 15:27:17 +0000 2014,28161.0,2014.0,0.33325135268076733
89352,3216550336.0,3216550336.0,Dr Vanessa Taylor RGN,Vanessa_ATaylor,"Academic with b/ground in cancer & palliative nursing. BINE Steering Group, RCN Cancer & Breast Care Forum Steering Group, EONS Education member. NTF2020",7.0,16911.0,2415.857142857143,"England, United Kingdom",,True,1334.0,5000.0,Tue Apr 28 09:31:26 +0000 2015,6406.0,2015.0,0.2668
89485,498048436.0,498048436.0,Allison O'Neill 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿💙💙🥃,AllisonONeill7,"I'm a nurse,and a mum. Reside in Bonnie https://t.co/jDkWnXHUNa proud to be Scottish. A big fan of outlander. I was born in Glasgow. 7th year MPC. Support the NHS😷",10.0,39268.0,3926.8,Ayrshire. Scotland,,False,2278.0,2357.0,Mon Feb 20 16:50:57 +0000 2012,46775.0,2012.0,0.9664828171404327
90151,1893911726.0,1893911726.0,Ann-Marie Dodson RN 💙,amd4_ann,"I am what I do, I do what I am!Passionate about nursing, mountains&music.Cavell,Himalayan Trust,Antarctic&Donorfamilynetwork ambassador.All opinions are my own.",9.0,28482.0,3164.666666666666,,,False,1690.0,1842.0,Sun Sep 22 14:19:48 +0000 2013,28572.0,2013.0,0.9174809989142236
90609,169245408.0,169245408.0,Holly 🌙✨🌌⭐️,hollydoeslife,🎂 28 🫀nurse of tiny humans 💉type one diabetic ⌨️ mental health blogger ☕️ coffee fiend 🎭 theatre lover 🧵cross stitcher 🤍 she/her 🌈 wlw gang,12.0,52632.0,4386.0,"London, England",,False,2319.0,3057.0,Wed Jul 21 22:08:50 +0000 2010,29312.0,2010.0,0.7585868498527969
90978,238706581.0,238706581.0,Loulou,MissHotpoint,"❤️ Work hard, stay humble. Be kind. NHS nurse.  @LFC @saints1890 snapchat Ladylou3 IG _Loulou___x",11.0,36129.0,3284.4545454545455,,,True,1247.0,1284.0,Sat Jan 15 20:57:38 +0000 2011,7218.0,2011.0,0.971183800623053
92244,2981900158.0,2981900158.0,Sarah Hayes,SarahHa88622902,"#Proud to be Chief Nurse, District Nurse, @capitalnurse and Queen’s Nurse @NorthMidNHS and #NorthMidInTheCommunity Thoughts and opinions here are my own!",7.0,20927.0,2989.5714285714284,,,False,3066.0,4999.0,Fri Jan 16 23:02:06 +0000 2015,44867.0,2015.0,0.6133226645329066
93135,2969875641.0,2969875641.0,Wendy Pitt,wendyjpitt61,"wife (not Brad) mum of 3, NHS nurse (42yrs and still standing)spaniel owning, book reading, park-running, leftie Archers fan.Essex born & bred now in Wiltshire",7.0,62502.0,8928.857142857143,Wiltshire ,,False,2507.0,3041.0,Fri Jan 09 15:49:28 +0000 2015,169068.0,2015.0,0.8243998684643209
94010,2950431675.0,2950431675.0,Beverley,bhbrathwaite,Senior Lecturer UOR Phd student Black British born Caribbean female nurses. views my own. She/Her,8.0,20273.0,2534.125,"Hillingdon, London",,False,1672.0,2111.0,Tue Dec 30 02:32:35 +0000 2014,48784.0,2014.0,0.7920416864045476
95821,2845941873.0,2845941873.0,Simon Lewis 💙 (no tick required),simonplewis,"Appreciate comedy/ satire; music; film & TV. Definitely left of political centre. LFC #YNWA
Retired palliative care nurse 2022
#KindnessMatters 
#Love&Peace",8.0,23340.0,2917.5,"West Midlands, England",https://t.co/ysDYrAPIiR,False,1468.0,4984.0,Sun Oct 26 23:11:15 +0000 2014,25728.0,2014.0,0.2945425361155698
101798,2506548465.0,2506548465.0,Rob💙🇺🇦,robbradley01,"Proud peadiatric Charge Nurse, part of the @wecypnurses team. Currently doing #robs40 football matches for his 40th year.",8.0,28011.0,3501.375,Staffordshire,https://t.co/HXzrtYQREF,False,3222.0,4954.0,Thu Apr 24 16:42:04 +0000 2014,17588.0,2014.0,0.650383528461849
102996,1125077953.0,1125077953.0,💙Jules Lamberth💙,joolzl23,"SCN Maternity Theatre ,RCN member & Rep, Proud RCN Scotland Board Chair .Tweets are my own opinion #proudtonurse 🏳️‍🌈🥰 #FairPayForNursing",9.0,31623.0,3513.666666666666,Ayrshire ,,False,2941.0,4965.0,Sun Jan 27 13:34:36 +0000 2013,55399.0,2013.0,0.5923464249748238
103137,2381011447.0,2381011447.0,🌟Lorraine Tinker💙RSCN/RGN/RMN,lorraine_tinker,"Divisional Head of Nursing -Children’s Services,RGN/RSCN/RMN,BSc,MSc. @FnightingaleF alumni, @cypnurseleaders member 🐈‍⬛🐈‍⬛enthusiast. She/her.Tweets my own",8.0,49540.0,6192.5,brighton @Uhsussex,,False,4285.0,4986.0,Sun Mar 09 20:42:15 +0000 2014,58159.0,2014.0,0.859406337745688
103321,16204801.0,16204801.0,Crowing For Days,LilRedRooster,"RN, ICU • Ginger • Roller skates & snowboards & climbing rocks • Cheese & beer • Atheist/humanist • Pro-Choice • She/they • BLM • #nursetwitter",14.0,47579.0,3398.5,"The Rockies, CO",,False,4977.0,5187.0,Tue Sep 09 16:28:04 +0000 2008,123692.0,2008.0,0.9595141700404858
105079,239438771.0,239438771.0,Kim English,kimaenglish,"Nursing Professor,Trent/Fleming School of nursing",11.0,28709.0,2609.909090909091,"Warkworth, Ontario",,False,1877.0,3707.0,Mon Jan 17 16:39:37 +0000 2011,80001.0,2011.0,0.5063393579714055
105533,2170792588.0,2170792588.0,dementia world links,kandjbaker,"☺ Dementia  Nurse  Explains: Dementia, #alzauthors
 tweets by Karen or john(nurse)
views not all r own  remember we r a world page some terminology  may offend",9.0,19965.0,2218.333333333333,TAG US & we will RT ur TWEET  ,https://t.co/pXiqcX0Qz8,False,4583.0,4984.0,Wed Nov 06 13:01:27 +0000 2013,10666.0,2013.0,0.9195425361155698
110376,378278756.0,378278756.0,war is NOT peace,kaye_rolls,"lapsed  CCN, use of SoMe to improve pt outcomes, advocate of essential nursing care; Views are personal",11.0,22750.0,2068.181818181818,Australia,,False,2361.0,3074.0,Thu Sep 22 23:08:39 +0000 2011,24373.0,2011.0,0.7680546519193233
132049,244977966.0,244977966.0,Simon Atticus Nash ⛑🚑🏥🏳️‍🌈,simonnash1980,I'm a #nurse working for @FACLTD & @FARLDN in the #prehospitalcare environment. Views are my own. #hellomynameis #Battersea #SW11 #Wandsworth #SW18,11.0,29847.0,2713.3636363636365,"Battersea, London",https://t.co/GfjH0gEmXP,False,5728.0,6807.0,Sun Jan 30 15:49:15 +0000 2011,41926.0,2011.0,0.8414867048626414
132583,367101943.0,367101943.0,Phil Dore 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇦,PhilJDore,MH nurse. supports @WalesGreenParty. On board of directors for @walesforeurope. Host @ESCWarsPodcast. Personal views. He/him. Mastodon @philjdore@c.im,11.0,69533.0,6321.181818181818,"Cardiff, Wales",https://t.co/syX454iyaw,False,3641.0,4868.0,Sat Sep 03 11:34:02 +0000 2011,20170.0,2011.0,0.7479457682826622
201251,98908810.0,98908810.0,"Mandy, MSN",NURSEINTERUPTED,"Legal Assist,  Consultant to NURSES AND PATIENTS AND ATTORNEYS,  mom, former heart transplant nurse,  author, nursing blogger,  and lover of dachshunds!",13.0,31129.0,2394.538461538461,"phoenix, arizona",http://t.co/Dl5XwwiGUf,False,2278.0,2321.0,Wed Dec 23 16:04:54 +0000 2009,531.0,2009.0,0.981473502800517
201453,27966508.0,27966508.0,✨ Dan ✨,gracenglorydan,"Proud kids nurse - B.G in Emergency Planning, critical care, surgery. Opinions are my own & not reflective or related to my employer. RTs are just RTs.",13.0,45915.0,3531.9230769230767,"London, UK",https://t.co/JDrF48pCVR,False,1973.0,1975.0,Tue Mar 31 21:23:30 +0000 2009,26178.0,2009.0,0.9989873417721519
202434,50338182.0,50338182.0,David Barton,Bartontd,"Retired Professor of Nursing, Being a Nurse my proudest achievement, preparing the next generation of nurses my greatest responsibility & enduring passion.",13.0,67807.0,5215.923076923077,"Swansea, Wales, UK",http://t.co/3uRGNuMoOd,False,7827.0,8143.0,Wed Jun 24 15:37:43 +0000 2009,6731.0,2009.0,0.9611936632690654
202659,35545351.0,35545351.0,David Munday,davidamunday,"It's me! Views mostly my own apart from those that aren't. Also lead professional officer (mental health) for @UniteInHealth, health visitor & nurse.",13.0,55242.0,4249.384615384615,Somewhere in the UK (usually),https://t.co/BKKImDpUlk,False,5730.0,6152.0,Sun Apr 26 19:44:09 +0000 2009,42976.0,2009.0,0.9314044213263979
204676,23345526.0,23345526.0,Susie 💙,Susie8lue,"fun loving singing nursey chick, passionate about end of life care and getting it right. Also a fan of trash tv and politics. #labour All views my own",13.0,33649.0,2588.384615384615,"London, UK",,True,1262.0,2615.0,Sun Mar 08 19:47:13 +0000 2009,11071.0,2009.0,0.4826003824091778
