,text,edit_history_tweet_ids,author_id,id,followers_count,following_count,tweet_count,listed_count
0,"It happened! A physician helped me turn, change pads, and pull a patient up in bed at work. Like REALLY REALLY helped. I was shooketh! 😱 #nursethings",['1562621927008505857'],302280954,1562621927008505857,593,431,24821,1
1,“I remember every butthole I swab!” -MB #nursethings,['1562565916637859840'],365786992,1562565916637859840,71,280,587,1
2,"Know when to hold em know when to snow em 
#nursethings",['1559167229161242626'],1228534129,1559167229161242626,1557,918,17848,19
3,I think I could insert a foley cath by myself if I had a well positioned mirror … #nursethings,['1558924914328948736'],551197206,1558924914328948736,201,553,9042,0
4,My IV game today was strong 😏👏🏼💉 #nursethings,['1547722569205239809'],903139802,1547722569205239809,286,567,7863,0
5,#NurseTwitter #NurseLife #nursethings https://t.co/Bw8ZP09645,['1547361600734117894'],1354466489328398338,1547361600734117894,24,236,108,0
6,Hearing cardiac monitor alarms in your sleep 🙃 #nursethings,['1543807472254713856'],278220384,1543807472254713856,241,394,14831,2
7,@Kawaiiabunga Thanks @Kawaiiabunga I'll message you in a bit. #nursethings,['1540196982303518720'],1022488089699090432,1540196982303518720,602,722,1075,0
8,Ich fühle es so! #Nursethings https://t.co/h0SOxSgNkt,['1534230796139118595'],3067713112,1534230796139118595,1818,716,11547,45
9,#nursethings https://t.co/7fb8gTAwjM,['1511663944699727874'],3067713112,1511663944699727874,1818,716,11547,45
10,"NG tube insertion in a while. 👩‍⚕️
#nursethings",['1530345014194507776'],118413069,1530345014194507776,35,56,108,0
11,little granny asked me for health advice while grocery shopping 😂🥹 #nursethings,['1526272174113402881'],915141008,1526272174113402881,291,119,8666,0
12,Check the technique @311 on the feeding pump. #nursethings lol https://t.co/dhW00ohEsj,['1505775693266837504'],180415929,1505775693266837504,715,1902,12973,21
13,"I'm the type of person who will give you a body organ in a heartbeat, but no one is to borrow my pen. 

#nursethings",['1505721416502571011'],20334002,1505721416502571011,13522,12383,45117,47
