,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
24181,24181,27706,testing regime parent teacher energy solidarity,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Really incredible the testing regime is not only continuing but intensifying during COVID. Even more incredible: parents and teachers have the energy to resist. Solidarity! https://t.co/6nEkEBDmTt,2021-01-06 00:23:00+00:00,None
24182,24182,27705,project software district nose teacher union,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.8830490659987207,False,@biblioracle The project is well underway with software adopted by districts for remote learning. Under our noses. Supported by both national teachers unions.,2021-01-06 00:45:13+00:00,None
24183,24183,27704,keller documentary politics film review,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2910863942557299,False,"@unikunka #Facts. Not only did Helen Keller exist, she was an active #Socialist. Have the kids see the documentary about her politics (aired recently by @FilmLinc ) and have them read the film review, out shortly in @NewPoliticsMag .",2021-01-06 01:16:25+00:00,None
24184,24184,12960,thing minute,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4454776153744541,False,@kittywenham I was awoken by the same thing 30 minutes ago! So odd!,2021-01-06 01:40:09+00:00,None
24185,24185,5096,series angeles,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0771154454898459,False,@MissSBMP Yes. Although I have just found a new series of NCIS Los Angeles 😀,2021-01-06 05:02:09+00:00,None
24186,24186,38523,friend yesterday truer word year,4,4_thanks_hope_look_care,thanks - hope - look - care - sorry - please - thank - friend - wish - mike,1.0,False,"@primarypete_ Getting crazy! A friend said to me yesterday, and truer words never said! It’s been a long year!",2021-01-06 05:30:06+00:00,Life
24187,24187,39858,thanks monty,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@scrappyshells Thanks. Please send Monty!,2021-01-06 07:12:48+00:00,None
24188,24188,66887,time yesterday night night season championship manager podcast morning time awake,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2847942183958781,False,"Me, this time yesterday: Wow, I really need an early night. Me, 10pm last night: I’m just going to finish this season on Championship manager 2007 and listen to the end of this podcast episode. Me, 12:45 this morning: Time to go to bed and lie awake for a while. https://t.co/IuW7mzkPNm",2021-01-06 07:40:55+00:00,None
24189,24189,5095,anything lesson today,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@teachermusingz It’s exhausting, I was asleep by 9pm then up at 4 too tired to do anything. 6 lessons back to back today 😩",2021-01-06 07:57:16+00:00,None
24190,24190,66886,instance game summer preseason,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2971052086611668,False,@MrS_Primary Very true. Though in this instance it was actually just two games and I ended up doing the summer and some of the following preseason.,2021-01-06 08:13:27+00:00,None
24191,24191,66885,game london derby mighty,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@MrS_Primary The two games were both north London derbies, both victorious for the mighty Spurs to complete the treble. You can see why it was necessary for me to stay up.",2021-01-06 08:14:07+00:00,None
24192,24192,12959,call number belarus night,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1205560767271673,False,I got calls from a number in Belarus all night long. Make it stop,2021-01-06 09:50:05+00:00,None
24193,24193,54357,morton hospital result please stay home mask house damn hand mouth staff,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.633836389186271,False,"Sam Morton has Covid, she ended up in hospital as a result, please take her warning, stay home, wear a mask when you need to leave the house, wash your damn hands, cover your mouth and nose if you cough or sneeze, respect the nhs staff, and stay safe! Get well soon @samthesparrow https://t.co/ZtN3EAgFTP",2021-01-06 10:18:24+00:00,None
