,Topic,Count,Name,details
0,-1,118173,-1_nurse_time_people_care,"['nurse', 'time', 'people', 'care', 'health', 'today', 'work', 'year', 'patient', 'nursing']"
1,0,2868,0_thank thank_thank_thankyou_pleasure,"['thank thank', 'thank', 'thankyou', 'pleasure', 'jackie', 'thank pleasure', 'thankyou thankyou', 'pleasure thank', 'thank thanks', 'thanks']"
2,1,2605,1_christmas_card_gift_charity,"['christmas', 'card', 'gift', 'charity', 'pocket', 'donation', 'film', 'order', 'merry', 'pocket card']"
3,2,2592,2_morning_morning morning_friend_chris,"['morning', 'morning morning', 'friend', 'chris', 'thanks', 'kenny', 'morning kenny', 'morning chris', 'kenny friend', 'hello']"
4,3,2060,3_food_school_food life_meal,"['food', 'school', 'food life', 'meal', 'child', 'life', 'award', 'school meal', 'caterer', 'school food']"
5,4,1955,4_tweet_twitter_chat_question,"['tweet', 'twitter', 'chat', 'question', 'account', 'hashtag', 'comment', 'follower', 'post', 'storm']"
6,5,1913,5_mask_face_people_look,"['mask', 'face', 'people', 'look', 'please', 'smile', 'bloody', 'advice', 'answer', 'people people']"
7,6,1765,6_birthday_birthday birthday_enjoy_party,"['birthday', 'birthday birthday', 'enjoy', 'party', 'bless', 'miss', 'awww', 'enjoy birthday', 'birthday enjoy', 'retirement']"
8,7,1657,7_today_thing_stuff_quiz,"['today', 'thing', 'stuff', 'quiz', 'today today', 'match', 'stuff stuff', 'thing thing', 'today thing', 'thing today']"
9,8,1519,8_year_year year_person_person person,"['year', 'year year', 'person', 'person person', 'reason', 'proud', 'time year', 'guess', 'suit', 'people person']"
10,9,1438,9_hope_morning_everyone_hope hope,"['hope', 'morning', 'everyone', 'hope hope', 'glad', 'merv', 'monday', 'morning hope', 'feeling', 'morning merv']"
