,Topic,Count,Name,details
0,-1,86039,-1_nurse_people_time_care,"['nurse', 'people', 'time', 'care', 'health', 'patient', 'year', 'today', 'work', 'nursing']"
1,0,2114,0_morning_morning morning_hope_friend,"['morning', 'morning morning', 'hope', 'friend', 'chris', 'kenny', 'morning kenny', 'morning chris', 'kenny friend', 'hope morning']"
2,1,1896,1_food_congratulation_school_congratulation congratulation,"['food', 'congratulation', 'school', 'congratulation congratulation', 'food life', 'meal', 'life', 'school meal', 'child', 'school food']"
3,2,1572,2_thank thank_thank_thank appreciate_appreciate thank,"['thank thank', 'thank', 'thank appreciate', 'appreciate thank', 'appreciate', 'thank ahaha', 'share thank', 'ahaha thank', 'thank share', 'ahaha']"
4,3,1456,3_journal_article_paper_dementia,"['journal', 'article', 'paper', 'dementia', 'kidney', 'issue', 'disease', 'throat', 'street', 'topic']"
5,4,1445,4_birthday_birthday birthday_gift_claire,"['birthday', 'birthday birthday', 'gift', 'claire', 'bless', 'awww', 'reason', 'miss', 'retirement', 'morning claire']"
6,5,1444,5_year_year year_finger_mind,"['year', 'year year', 'finger', 'mind', 'button', 'midwife', 'ring', 'nurse', 'everything', 'ielts']"
7,6,1312,6_tweet_twitter_minute_chat,"['tweet', 'twitter', 'minute', 'chat', 'hour', 'account', 'vibe', 'code', 'horse', 'cuppa']"
8,7,1251,7_photo_brilliant_film_picture,"['photo', 'brilliant', 'film', 'picture', 'colour', 'goodness', 'cute', 'beautiful', 'photo photo', 'thankyou']"
9,8,1212,8_baby_charity_unit_donation,"['baby', 'charity', 'unit', 'donation', 'wish', 'blanket', 'family', 'thanks', 'fund', 'staff']"
10,9,1155,9_today_thing_today today_tomorrow,"['today', 'thing', 'today today', 'tomorrow', 'thing today', 'yesterday', 'today thing', 'thing thing', 'glad', 'tomorrow today']"
11,10,1113,10_week_mile_stuff_week week,"['week', 'mile', 'stuff', 'week week', 'stuff stuff', 'wait', 'mate', 'mile week', 'mile mile', 'series']"
12,11,1058,11_time_time time_kind_kind time,"['time', 'time time', 'kind', 'kind time', 'time kind', 'time issue', 'issue time', 'matter', 'thing', 'issue']"
13,12,955,12_thanks_enjoy_pleasure_thanks thanks,"['thanks', 'enjoy', 'pleasure', 'thanks thanks', 'evening', 'afternoon', 'enjoy enjoy', 'morning', 'result', 'pleasure pleasure']"
14,13,925,13_solidarity_union_strike_member,"['solidarity', 'union', 'strike', 'member', 'nurse', 'justice', 'worker', 'striker', 'strength', 'solidarity solidarity']"
15,14,912,14_quiz_quiz quiz_question_island,"['quiz', 'quiz quiz', 'question', 'island', 'orkney', 'brother', 'goodnight', 'hero', 'river', 'answer']"
