Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,0,0,1.5610045734515548e+18,2022-08-20 14:57:47+00:00,['1561004573451554816'],"Terherne , Friesland # Netherlands https://t.co/2rq4wuwrGk",terherne  friesland  netherlands ,True,False
2,2,2,1.5532520315944673e+18,2022-07-30 05:31:57+00:00,['1553252031594467330'],"@KAFKA_Dev Nee, ik kan als nabestaande van een verkeersslachtoffer geen sympathie opbrengen voor idioten die moedwillig het verkeer in gevaar brengen.  #boerenprotesten #trekkerterroristen", nee ik kan als nabestaande van een verkeersslachtoffer geen sympathie opbrengen voor idioten die moedwillig het verkeer in gevaar brengen   ,True,False
3,3,3,1.5527625698316124e+18,2022-07-28 21:07:00+00:00,['1552762569831612423'],@Wgoorman Nee, nee,True,False
4,4,4,1.5523723093144863e+18,2022-07-27 19:16:14+00:00,['1552372309314486273'],@muntverzamelaar @Maddy100suns Daar zijn er veeeeel  meer van dan jij denkt of hoopt.,  daar zijn er veeeeel  meer van dan jij denkt of hoopt,True,False
5,5,5,1.5523623923481313e+18,2022-07-27 18:36:50+00:00,['1552362392348131332'],@Maddy100suns Ik heb geen goed woord over voor de terroristische acties van de boeren. Ze verliezen juist de sympathie op deze manier. #boerenprotesten., ik heb geen goed woord over voor de terroristische acties van de boeren ze verliezen juist de sympathie op deze manier ,True,False
6,6,6,1.5485746442357965e+18,2022-07-17 07:45:40+00:00,['1548574644235796482'],@WanjauShareh Congratulations Shareh ! ❤️☀️, congratulations shareh  ,True,False
7,7,7,1.5485736350481572e+18,2022-07-17 07:41:40+00:00,['1548573635048157184'],"@ChrisuwGilgien @KAFKA_Dev Dat zal wel meevallen. Ik vind de houding van de boeren antisociaal. Snelwegen blokkeren, bedreigingen. En dan van mij vragen op vrijdag een kwartier mee te staken? Bekijk het maar. Ik heb niet zoveel vrije tijd als de boeren. Ik werk in de gezondheidszorg.",  dat zal wel meevallen ik vind de houding van de boeren antisociaal snelwegen blokkeren bedreigingen en dan van mij vragen op vrijdag een kwartier mee te staken bekijk het maar ik heb niet zoveel vrije tijd als de boeren ik werk in de gezondheidszorg,True,False
8,8,8,1.548425841167573e+18,2022-07-16 21:54:23+00:00,['1548425841167572992'],@KAFKA_Dev Ben het helemaal zat die acties van de boeren., ben het helemaal zat die acties van de boeren,True,False
9,9,9,1.5484252968141005e+18,2022-07-16 21:52:13+00:00,['1548425296814100481'],@rblommestijn @Nieuwsuur Flauwekul,  flauwekul,True,False
10,10,10,1.548205060785447e+18,2022-07-16 07:17:05+00:00,['1548205060785446913'],"@LMinghella Devastating news, Loretta, I’m so sorry for your loss 💔 Love to you and yours", devastating news loretta i’m so sorry for your loss  love to you and yours,True,False
11,11,11,1.5480693424403456e+18,2022-07-15 22:17:47+00:00,['1548069342440345601'],@DMinghella About 7 years ago she came to Stansted airport to await me with a “Welcome nurse_w_glasses” sign.Bought me a coffee. We only had 20 mins to talk till my train to a congress. She took the time and travelling for a heartwarming welcome to the UK. I will never forget that moment. ❤️, about 7 years ago she came to stansted airport to await me with a “welcome nursewglasses” signbought me a coffee we only had 20 mins to talk till my train to a congress she took the time and travelling for a heartwarming welcome to the uk i will never forget that moment ,True,False
13,13,13,1.5480443091186524e+18,2022-07-15 20:38:19+00:00,['1548044309118652416'],@edanaming A terrible loss but the music of Edana will forever keep her close. One of my best tweeps has gone but I will never forget her kindness and spirit💔, a terrible loss but the music of edana will forever keep her close one of my best tweeps has gone but i will never forget her kindness and spirit,True,False
17,17,17,1.49136178167953e+18,2022-02-09 10:42:11+00:00,['1491361781679529984'],@edanaming Birre last xmas. #catsoftwitter https://t.co/PVH8fPI1Hf, birre last xmas  ,True,False
18,18,18,1.480678981728977e+18,2022-01-10 23:12:33+00:00,['1480678981728976904'],How I get myself through the current Dutch lockdown #makingminiatures https://t.co/4GYuyLrL1j,how i get myself through the current dutch lockdown  ,True,False
19,19,19,1.4790074823998874e+18,2022-01-06 08:30:37+00:00,['1479007482399887362'],@edanaming Thinking of you and sending a hug. Beautiful picture🌹, thinking of you and sending a hug beautiful picture,True,False
20,20,20,1.4671033242436485e+18,2021-12-04 12:07:44+00:00,['1467103324243648513'],@GGDGHORNL Ik ben 1 dag pw beschikbaar net zoals zoveel andere fulltimers. Heb me daarom weer afgemeld., ik ben 1 dag pw beschikbaar net zoals zoveel andere fulltimers heb me daarom weer afgemeld,True,False
23,23,23,1.4072226148762132e+18,2021-06-22 06:23:10+00:00,['1407222614876213249'],"Me: “ The M&amp;M’s disappeared, the whole pack”
Son(17): “I only had a few“
Me:” How much is a few”
Son:  Just a handful; How do you think I got this devine body?” 💪🏻#teenagers","me “ the mampm’s disappeared the whole pack”
son17 “i only had a few“
me” how much is a few”
son  just a handful how do you think i got this devine body” ",True,False
24,24,24,1.4037440448959447e+18,2021-06-12 16:00:35+00:00,['1403744044895944704'],@cdavandaag Niemand gelooft dit..., niemand gelooft dit,True,False
25,25,25,1.4034748624385884e+18,2021-06-11 22:10:57+00:00,['1403474862438588423'],"@JTSilius I’m sorry, I don’t know 😐", i’m sorry i don’t know ,True,False
26,26,26,1.400452092016304e+18,2021-06-03 13:59:32+00:00,['1400452092016304143'],@JTSilius Yup, yup,True,False
27,27,27,1.3947635186043494e+18,2021-05-18 21:15:10+00:00,['1394763518604349442'],@edanaming Beautiful scenery! Do I see a green UFO on the right ? 👽😃, beautiful scenery do i see a green ufo on the right  ,True,False
29,29,29,1.3929295415642726e+18,2021-05-13 19:47:36+00:00,['1392929541564272643'],@edanaming Beautiful ! ❤️, beautiful  ,True,False
31,31,31,1.382426059002495e+18,2021-04-14 20:10:31+00:00,['1382426059002494976'],@edanaming The vaccin is far less risky than COVID-19. I was only tired the evening after (oh and a terrible mood says husband 🤬), the vaccin is far less risky than covid19 i was only tired the evening after oh and a terrible mood says husband ,True,False
39,39,39,1.3151819880479744e+18,2020-10-11 06:46:35+00:00,['1315181988047974401'],@thecupcakegirl8 Carrie, carrie,True,False
41,41,41,1.3110074600570225e+18,2020-09-29 18:18:30+00:00,['1311007460057022465'],19.326 new #COVID-19 cases in the #Netherlands this week 😷,19326 new 19 cases in the  this week ,True,False
43,43,43,1.2873831653639455e+18,2020-07-26 13:43:59+00:00,['1287383165363945472'],"Ermelo, #Netherlands https://t.co/ycIqfe3D0q",ermelo  ,True,False
44,44,44,1.2865404166581576e+18,2020-07-24 05:55:12+00:00,['1286540416658157568'],@AllisonAuthor In a classroom at high school 😄, in a classroom at high school ,True,False
47,47,47,1.2835051940646502e+18,2020-07-15 20:54:19+00:00,['1283505194064650240'],"More than alarming. When you think it can’t get much worse it can: #Trump Administration Strips C.D.C. of Control of Coronavirus Data https://t.co/kQ9KX9oEqC
#COVID19 #coronavirus","more than alarming when you think it can’t get much worse it can  administration strips cdc of control of coronavirus data 
 ",True,False
48,48,48,1.2815077888716677e+18,2020-07-10 08:37:20+00:00,['1281507788871667712'],"@edanaming Aww Edana, so sorry. ❤️ I’m glad I was able to meet her.", aww edana so sorry  i’m glad i was able to meet her,True,False
52,52,52,1.2737274480652042e+18,2020-06-18 21:21:02+00:00,['1273727448065204229'],"Non- medical #facemasks mandatory in #Dutch public traffic. Made some of Dutch traditional fabric 
#Covid_19 https://t.co/qdsgxV4BU0","non medical  mandatory in  public traffic made some of dutch traditional fabric 
 ",True,False
57,57,57,1.2660818369015112e+18,2020-05-28 19:00:07+00:00,['1266081836901511169'],@now_resistance @JoeBiden Yup,  yup,True,False
59,59,59,1.2646545294773862e+18,2020-05-24 20:28:30+00:00,['1264654529477386241'],"107 people infected after attending a #church service in Frankfurt,#Germany. 
If you want to pray please do it at home instead of putting yourself and others at risk. 
#COVID19","107 people infected after attending a  service in frankfurt 
if you want to pray please do it at home instead of putting yourself and others at risk 
",True,False
67,67,67,1.2602465243128136e+18,2020-05-12 16:32:40+00:00,['1260246524312813570'],"Son(15) has bronchitis with a bad cough. I work in psychiatric outpatient care, husband is GP. We cannot get son tested until we get symptoms ourselves. Hoping this week will pass soon. Meanwhile son gets roomservice and spends his time playing 🎸 
#thisisHolland 
#COVIDー19","son15 has bronchitis with a bad cough i work in psychiatric outpatient care husband is gp we cannot get son tested until we get symptoms ourselves hoping this week will pass soon meanwhile son gets roomservice and spends his time playing  
 
19",True,False
71,71,71,1.257762762211627e+18,2020-05-05 20:03:05+00:00,['1257762762211627010'],"@MeltdownWRIF Yes , 5 .. and one of them died.", yes  5  and one of them died,True,False
73,73,73,1.257087350510846e+18,2020-05-03 23:19:14+00:00,['1257087350510845954'],"Watching a Storks nest on an electricity pole from my cabin on the campside in the #Netherlands
#birds #nature #NaturePhotography https://t.co/PSG35L0cZ6","watching a storks nest on an electricity pole from my cabin on the campside in the 
   ",True,False
83,83,83,1.2503443630218568e+18,2020-04-15 08:45:01+00:00,['1250344363021856771'],@DawkinsReturns Why did you put this on Twitter? Kids do need to be corrected sometimes but it could have been done in a more respectful way and with more privacy., why did you put this on twitter kids do need to be corrected sometimes but it could have been done in a more respectful way and with more privacy,True,False
89,89,89,1.2490629223549542e+18,2020-04-11 19:53:01+00:00,['1249062922354954240'],@seomilwaukee In The Netherlands it is 5 ft but I dont consider that a safe distance when someone sneezes especially not in a entrance tent like this. So I stayed outside till the other people were gone. Went on a quiet time, in the netherlands it is 5 ft but i dont consider that a safe distance when someone sneezes especially not in a entrance tent like this so i stayed outside till the other people were gone went on a quiet time,True,False
92,92,92,1.2476372111195832e+18,2020-04-07 21:27:45+00:00,['1247637211119583232'],"Enjoyed a long distanced walk with a client on this beautiful quiet sunny morning ☀️
#mentalhealth 
#MentalhealthduringCovid19 
#mhnursing https://t.co/khLxb0rrkc","enjoyed a long distanced walk with a client on this beautiful quiet sunny morning 
 
 
 ",True,False
94,94,94,1.246836063294894e+18,2020-04-05 16:24:17+00:00,['1246836063294894080'],"Florida, other states allowing church services during coronavirus pandemic draw criticism https://t.co/C0fJh8tOXW",florida other states allowing church services during coronavirus pandemic draw criticism ,True,False
