,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
31783,31783,goodun morning view crow favourite,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.2088261010663242,False,@RatTypeTran Its a goodun! Not as good as Morning View or Crow imo but probably my next favourite!
69969,69969,listen calm](prod. rioretti ralph burg,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.92077335112406,True,Listen to Martial Law [I Cant Keep Calm](prod. Rioretti) by Ralph Burg #np on #SoundCloud #covid https://t.co/7idO5Lmt2s
33700,33700,chris show,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,1.0,True,Yay! Chris has got a new show! 😊🎶🥳 https://t.co/9LObMrManJ
69955,69955,listen feat travis scott,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.7456010698863543,False,Listen to Turks (feat. Travis Scott) by NAV #np on #SoundCloud https://t.co/s8l2hASWLj
67286,67286,morning morning garden highland wishing week,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.8291623385002845,False,"Morning, all. Very wet and dreich in #suffolk this morning but garden looking lusciously green and verdant. And @PetrocTrelawny on @BBCRadio3 is transporting me to the Highlands. All good. Wishing you a great week."
36032,36032,mumbai morning,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.183948181514325,False,Mumbai morning https://t.co/zATM9Oef35
31270,31270,whats sailor mornin,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.8064839187136982,False,WHATS UP SAILORS HOW ARE WE THIS MORNIN https://t.co/1LrdpUbUgs
69970,69970,listen feat dababy,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.8510898088770641,False,Listen to Sick (feat. DaBaby) by Rich The Kid #np on #SoundCloud https://t.co/No0WgU7L4Y
31425,31425,discourse thing morning,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.5790519398496964,False,@HoityToity_CA @intotheredband @KeepBackIvy Seeing this discourse first thing in the morning is fucking incredible js
62514,62514,mind morning,5,5_morning_listen_burg_ralph,morning - listen - burg - ralph - breakfast - chris - sailor - blog - mornin - kanye,0.7588102355186033,False,That creative mind has got me up at before 4 a.m. again this morning :(
