,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
46285,46285,scotland entity anybody proxy england individual profit part empire name scotland,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,1.0,False,"@M_J_Schofield @MElhk_02 @andy_murray No, this is nonsense. Scotland as an entity never attempted to conquer anybody. The UK did, but the UK has always been a proxy for England. Individuals chose to participate and profit from it, sure. But they did so as part of the empire, they didn't do it in the name of Scotland."
7374,7374,wolf throne room saint glasgow kingdom,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,0.3522986137906594,False,"I might go to Wolves in the Throne Room at Saint Luke's in Glasgow, United Kingdom - Jan 21 https://t.co/16s3DMQXk7"
7741,7741,garage glasgow,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,0.0771263147683196,False,"I might go to @Northlane at Garage in Glasgow, UK - Nov 29 https://t.co/glTlgQyNDS"
7907,7907,apology spam google video glasgow,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,1.0,True,"Apologies for the spam, but Google+ has removed automatic video sharing so 😅 Behemoth- God = Dog @ QMU, Glasgow https://t.co/kZAg4oHUXy via @YouTube"
37766,37766,lineup month,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,0.0972917086907828,False,it’s such a sick lineup but also i’m getting a puppy next month 😭
7740,7740,hydro glasgow kingdom,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,1.0,True,"I'm going to @OzzyOsbourne at The SSE Hydro in Glasgow, United Kingdom - Feb 12 https://t.co/BsRCgAL1GS"
60465,60465,example composer woman reply anyone carlos isnt,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,1.0,True,"@etaylorsoprano In this example they should simply say ""composers who are women"" and be prepared to push back in the replies against anyone trying to say, e.g., ""Wendy Carlos isn't"". I can see why they haven't... but they should."
7793,7793,academy glasgow glasgow kingdom,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,1.0,True,"I might go to @numanofficial at O2 Academy Glasgow in Glasgow, United Kingdom - Sep 28 https://t.co/Plv4KdiBbr"
2320,2320,scotland vote brexit brexit consequence scotland solution freedom movement term,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,0.8060883970408711,False,"@itvnews @ITVJoel Scotland didn’t vote for Brexit. Brexit has significant adverse consequences for Scotland. Our only solution is independence, so we can renegotiate freedom of movement terms with the EU."
37942,37942,glasgow show,12,12_scotland_glasgow_kingdom_composer,scotland - glasgow - kingdom - composer - independence - lineup - agenda - hydro - bias - edinburgh,1.0,False,@lucyycheyne @aIltimeshannon i’m not going to make it unfortunately! first atl glasgow show i’ve missed since 2012 :(
