,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
56229,56229,twitter finger twitter handle origin,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,0.7577631039847218,False,@blueorigin Are the Twitter fingers behind the @blueorigin Twitter handle of urban Indian or South Asian origin?
57307,57307,parody account award,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,@NadineDorries @Bren4Bassetlaw Yours is the best MP parody account. Are there awards?
67484,67484,stake amazon time tweet amazon,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,@AshleyNF1 @Great_Dane_92 @GNev2 @grantshapps I could buy a stake in Amazon in the time it takes me to write this tweet and it wouldn't mean I run Amazon.
394,394,please friend twitter thread,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,@Revinthenorth @tomstapandbrew @TheWomanfredi @seanayling @CatherineCleg Please tell me you’ve just made friends on a Twitter thread 🖤
68256,68256,expert life dunce twitter,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,0.7929044466644521,False,@polohagan89 @aa_mcintosh22 @FootballlForAll @PoliticsForAlI @Telegraph Prove it. I'm more inclined to listen to experts who've dedicated their lives to it than some dunce on twitter.
62421,62421,twitter sharleen,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,@sharspiteri Do you still use Twitter Sharleen?
68812,68812,tweet kevin samuel space woman,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,0.453777797442281,False,Another tweet!! Lmaoooo he’s already stuttering. Every single one of these men who have come to support Kevin Samuels in this space have the most anti black women tweets. What does that tell you? #talkswithash
37400,37400,damnit tweet week hell,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,Damnit I’ve had Top Tweets on for weeks now didn’t know. Explains a not a hell of a lot.
26892,26892,thought stranger twitter,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,0.6411521276549108,False,@henry_trant @Steve_Cooke @koffeelover41 @AnnekaRice Why not keep your thoughts about a complete stranger to yourself? Why put them on Twitter?
49767,49767,idea twitter keep,0,0_tweet_twitter_account_follower,tweet - twitter - account - follower - timeline - anxiety - feed - parody - audience - thing,1.0,False,@osiris1964 I have no idea what NFTs actually are I’m afraid! Twitter keeps advertising them to me though.
