,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
46109,46109,hoping reduction state pension payout,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.8534062888061514,False,@joncstone @JolyonMaugham Hoping for a reduction in the state pensions payout?
15770,15770,javid chance tory stake,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.7240055599107058,False,"I think this says it tbh. Might give Javid more chance myself but he is a Muslim, albeit un-practicing I believe, which would definitely count against him in Tory stakes https://t.co/8M7UOXOfXE"
68335,68335,behaviour tory,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.333014022511603,False,Scummy behaviour from scummy Tory 🤢 https://t.co/7wiuACt9aw
50635,50635,leadership forward anthem session ivor cutler,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.9965418234567064,False,happening at #ArtsSummit right now: Female Leadership: the way forward for arts fundraising? chaired by our very own @danaksegal. Suggested anthem for the session: https://t.co/RqUV8pE77u - Ivor Cutler covered by @IAMKP #womenoftheworldtakeover
42087,42087,response rear front rank windbag,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.3597757242265412,False,This must be the Churchillian response we expected from #JohnsonTheliar “Forward!” Or as #Pinkfloyd said “Forward he cried from the rear and the front rank died” -what a vacuous windbag @martinthegood @JANUSZCZAK @terrychristian https://t.co/e3m10Pl6QY https://t.co/4v56uG20El
67637,67637,kiss emoji fact,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,1.0,False,@Sorelle_Arduino @jonahloeb @ForWomenScot @michaelsayman These kisses are getting weird now. An emoji doesn't hide the fact that you're hateful.
30643,30643,spook school flag itoldyouiwouldeatyou cloud dream nail lake tuts accident,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.6646042384844738,False,"Yellow: The Spook School, Finish Flag, itoldyouiwouldeatyou, Alien Clouds Green: Dream Nails, Kermes, Lakes, Cheerbleederz Blue: Nervus, The Tuts, Happy Accidents, Onsind"
6551,6551,tory report clue democracy,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.6030461848340498,False,Tory peer's referendum report doesn't have a clue what democracy means https://t.co/oCwvwaoIUH via @BizforScotland
53585,53585,starmer corbyn party leader pleasure,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.198715814310895,False,@themoog62 @solma_ahmed @UKLabour @jeremycorbyn Oh like Starmer did from within against Corbyn? I do not trust him and I will not support the party with him as leader. I take no pleasure in this at all.
7466,7466,court decision finding tory anyone government severity yesterday,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.3124047326185007,False,“The Supreme Court is entitled to their decision but I disagree with their findings” is all I seem to hear from the Tories rn. Will anyone in this government actually acknowledge the severity of what happened yesterday? 🙄
63417,63417,kind tired answer life time corbyn idea quaker violence need corbyn question pacifism despot,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.7271095713880311,False,Kind of tired of this narrative. You expect black and white answer from a man who is life time pacifist. Corbyn is close to the ideas of Quakers who refuse any violence. No need to use it against Corbyn. Separate question if pacifism works against despots. https://t.co/C8I3QievKt
