,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
8557,8557,time anything,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,1.0,False,"@jackthesticks @GaryJamesWriter Think that was used, last time @ManUtd won anything…"
52915,52915,yesterday people time evidence comment avenue time information time onus avenue,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.8074957945611896,False,"@MerryAlbright @Bobziz @NicolaCutcher I found some but yesterday - They didn’t even call the people who logged at the time for ‘more info, evidence or comment’. There were avenues to investigate at the time not exhausted off information they had at the time. Onus is on NRW to explore all avenues not undertaken seems. https://t.co/P2T94zKujK"
58826,58826,barfed minute plan home wife motherthen mess time,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.4457932952131647,False,"So, my son barfed in the car about 5 minutes after I picked him up. He was drenched. The plan was to get home and my wife would take the car to go to work. I dropped her off and then my son back to his mother...then cleaned the mess. Fun times. 😬 https://t.co/LBPDscpXIw"
44066,44066,time kafkaesqe admin,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.7599139132943852,False,"@huxley06 yeah the last few times I was eligible to claim JSA I simply didn't, because I couldn't abide the kafkaesqe admin."
27397,27397,time team pile awhile,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,1.0,False,@lhbflute yup. Time Team on You Tube and a pile of cats. I'm snuggled in for awhile.
54247,54247,time work,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.7916280334772798,False,@Closeuppromo @readdork @SignatureBrewBH @SpotifyUK @Pipblom @wearecoachparty @lobjectifband @dicefm @mollieiscoddled @STONELIVERPOOL @feetband @gigseekr What time does this kick off? Should be able to pop down after work if you’re lucky z
15824,15824,time tenaglia masterclass,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.7087187478049481,False,@kerryjeanlister Time for a Danny Tenaglia masterclass
69114,69114,mean period time boundary,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,1.0,False,No warns you that going to therapy means you have a period of time where you got no hoes because it teaches you about boundaries and shit.
42067,42067,deadline watch thing cherry,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.484189521312043,False,@ccakirby Wrong day unless a deadline watch some thing Cherry 👍
7902,7902,yeah time issue issue time show,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.6979730224452446,False,"@rossd9711 Yeah, it’s not the first time I’ve had issues with that issue but it’s the first time I’ve been to a gig where they’ve had to stop the show twice. Ah, that’s good! I just don’t think ATG do that much for me haha"
20413,20413,time world,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,1.0,False,@secrettory12 He ain’t got time for that he’s plotting world war three
43269,43269,thing time,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,1.0,False,@LarcombePeter Yes I have experienced this exact thing several times.
4169,4169,awesome time,7,7_time_breath_breathe_people,time - breath - breathe - people - thing - something - place - yeah - change - everything,0.5102014214504041,False,@JessicaSoprano @THAMES_Music Awesome - have a great time!!
