,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
9755,9755,viewing letting agent,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,1.0,False,Just went to another viewing and the letting agents had cancelled without telling us!! Love it!!
44398,44398,grass shrub undergrowth year thanks response,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,0.950097531253832,False,"@WombatRidgeResv @wlt_au @llsnsw @BCT_NSW @RecAustralia @NSWRC @UniCanberra @scienceANU ... but.. Those large grass shrubs, aren't undergrowth.. they're prob a few+ years old, too.. ? (thanks for response)"
21404,21404,album jazz live load,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,1.0,False,"@PMeadowsMusic Completely agree, the first album that got me into more modern Jazz was @sonnyrollins Live in Japan, loads of challenging impro but it just spoke to me"
43429,43429,dismay lulz medium woodland,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,0.6003408717920212,False,@WoodlandTrust Is this the one which recently provoked widespread dismay and lulz on social media when it was announced you were going to open this bit of 'ancient woodland' to the ghastly general public? 😅 Do you still think that's wise?
62102,62102,follower week year hero inspiration glastonbury,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,0.5919860567331893,False,"As many of my followers know, I'm 65 this week not feeling great about that to be honest! Where have those years gone? I'd have loved to have met my hero and inspiration @Springsteen while he was in nearby Glastonbury, but hey-ho, it wasn't to be :( @StevieVanZandt @nilslofgren"
32309,32309,decade year music september string quartet,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,1.0,False,"👀 Looking Forward To Looking Back - A Decade Of Only Child 🎶 #NewMusic, #Vinyl #NewMusicVideo coming soon 🔟 We’re celebrating ten years of recording music playing live 📍 @LEAFonBoldSt 🗓 September 23rd 🎻🎻 With String Quartet 🎻🎻 🎟 https://t.co/DNRSPzGZpm https://t.co/s3dgPH5uTK"
44163,44163,tree contractor street tree month,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,0.4819570342555346,False,"@AcreLaneLabour @clairekholland @LambethLabour @FloEshalomi @BellRibeiroAddy @LabourMarina @sbarznji @mia_kaye @DavidBridson @EmilyThornberry Are sure there's been 5000 new trees planted? As far as I was aware, your contractor has not yet started digging the pits for this year's street tree planting, despite all the trees being purchased months ago. They'll probably all die now."
12729,12729,arlo park road festival weekend performance garden stage,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,0.7146252966135994,False,Arlo parks playing at the end of the road festival at the weekend a great Performance on the garden stage . I was using a fujifilm XH1 with a 50-140 lens 2.8 @EOTR @arloparks @FujifilmX_UK @transgressiveHQ https://t.co/mBixsUlJFP
32280,32280,guest decade music month september string quartet party,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,1.0,True,"With special guests @FolkDoctors and @DorothyBird18, we celebrate a decade of releasing music and playing gigs next month 👀 🗓 Friday September 23rd 📍 @LEAFonBoldSt 🎻 With a string quartet 🎉 See you there for a party 🎟 https://t.co/DNRSPzHxeU 📸 @John_Johno https://t.co/KoyJxVVmlb"
37327,37327,review berlin jazz festival election issue londonjazz,8,8_festival_jazz_tree_glastonbury,festival - jazz - tree - glastonbury - plant - road - string - decade - quartet - agent,1.0,False,Review of the Berlin Jazz Festival (Special US Election Issue) up on LondonJazz https://t.co/2LT61PP0PS #wearejazz
