id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.5646282365790822e+18,2022-08-30 14:56:55+00:00,['1564628236579082251'],@adrimiercoles Esto parece más un tweet de @diego_domingo,,esto parece tweet,True,parece tweet 
1.564566062099751e+18,2022-08-30 10:49:52+00:00,['1564566062099750912'],@adrimiercoles Ahora quiero ver de nuevo Hércules,,ahora quiero ver nuevo hrcules,True,
1.5645182600952873e+18,2022-08-30 07:39:55+00:00,['1564518260095287298'],Que me acabo de enamorar de un poli? Pues si 🥵🥵,,que acabo enamorar poli pues,True,que acabo enamorar poli 
1.5636304286024827e+18,2022-08-27 20:51:59+00:00,['1563630428602482688'],@diego_domingo Que momento de tensión he vivido.,,que momento tensin vivido,True,que momento tensin vivido 
1.5635613651258655e+18,2022-08-27 16:17:33+00:00,['1563561365125865472'],@adrimiercoles Haciendo la maleta pero ya https://t.co/rVEKJZLa8X,,haciendo maleta pero,True,haciendo maleta pero 
1.5635551269794898e+18,2022-08-27 15:52:46+00:00,['1563555126979489793'],@adrimiercoles Lo mismo me pasa. Ni pa una vez jajaja,,mismo pasa una vez jajaja,True,mismo pasa vez jajaja 
1.5628793919730074e+18,2022-08-25 19:07:38+00:00,['1562879391973007361'],@RogerMelian pendiente de un chisme https://t.co/ZJaUUkpCz2,,pendiente chisme,True,pendiente chisme 
1.5628789448563835e+18,2022-08-25 19:05:51+00:00,['1562878944856383489'],@RogerMelian Estaba enamorado de ese chico… estaba.,,estaba enamorado ese chico estaba,True,estaba 
1.562853511079297e+18,2022-08-25 17:24:48+00:00,['1562853511079297025'],Me meo jajaja https://t.co/of6xuN7GGj,,meo jajaja,True,meo jajaja 
1.5624711899265393e+18,2022-08-24 16:05:35+00:00,['1562471189926539264'],Totalmente yo https://t.co/xZ6yraQ7Tc,,totalmente,True,totalmente 
1.5621263065397166e+18,2022-08-23 17:15:09+00:00,['1562126306539716609'],@ZeusLaand Pfff yo desde abril y no llevo ni la mitad 😢😢😢,,pfff desde abril llevo mitad,True,pfff desde abril llevo mitad 
1.5607510335836897e+18,2022-08-19 22:10:18+00:00,['1560751033583689729'],Mira es que soy yo cada vez me mandan a trabajar. https://t.co/MnDntuirhF,,mira que soy cada vez mandan trabajar,True,mira que soy cada vez mandan trabajar 
