id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.5564905880142684e+18,2022-08-08 04:00:49+00:00,['1556490588014268416'],Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/Iqn3g9tOAu,,do you remember when you joined twitter i do  ,twitter
1.5553129549790618e+18,2022-08-04 22:01:19+00:00,['1555312954979061761'],Zack and Cody turn 30 today and I’m not ok with that,,zack and cody turn today and i’m not ok with that,zack cody today
1.5506086306547057e+18,2022-07-22 22:28:01+00:00,['1550608630654705665'],Better call Saul bro,,better call saul bro,call saul bro
1.5229736945696315e+18,2022-05-07 16:16:38+00:00,['1522973694569631744'],First time at the big house!! #MgoGrad https://t.co/NxjElVl7BI,,first time at the big house  ,time house
1.498402882508497e+18,2022-02-28 21:01:00+00:00,['1498402882508496898'],@chloe_jankowski Chef curry with the pot boy,, chef curry with the pot boy,chef curry pot boy
1.4984025552689398e+18,2022-02-28 20:59:42+00:00,['1498402555268939776'],@santi8a98 hey :),, hey ,hey
1.496666235425235e+18,2022-02-24 02:00:11+00:00,['1496666235425234947'],Stress relief after work is taking a hot shower and blaring maneater,,stress relief after work is taking a hot shower and blaring maneater,stress relief work shower blaring maneater
1.4896350574552187e+18,2022-02-04 16:20:48+00:00,['1489635057455218688'],Really missing 8th grade and earlier right now???,,really missing grade and earlier right now,grade
1.4809629888614932e+18,2022-01-11 18:01:06+00:00,['1480962988861493250'],Ok but mitochondria really are the power houses of cells,,ok but mitochondria really are the power houses of cells,mitochondrion power house cell
1.4647000258088182e+18,2021-11-27 20:57:53+00:00,['1464700025808818186'],@pcrittenden33 What a time to be alive 👏🏈,, what a time to be alive ,time
1.4646973791023675e+18,2021-11-27 20:47:22+00:00,['1464697379102367751'],Bout time @UMichFootball 〽️💙 HAIL TO THE VICTORS 💛 https://t.co/omEX3lKo2b,,bout time   hail to the victors  ,bout time hail victor
1.4646930392350474e+18,2021-11-27 20:30:07+00:00,['1464693039235047431'],I WANT TO BE IN ANN ARBOR SO BAD RIGHT NOW ✊🏻💙〽️,,i want to be in ann arbor so bad right now ,arbor right
1.4482377763658834e+18,2021-10-13 10:42:47+00:00,['1448237776365883395'],@br4dD95 @TKsMantis Nurd,,  nurd,nurd
1.440035545795629e+18,2021-09-20 19:30:03+00:00,['1440035545795629058'],@chloe_jankowski Truth wtf @FBI,, truth wtf ,truth wtf
1.4357992800113336e+18,2021-09-09 02:56:38+00:00,['1435799280011333636'],@gracennelson Ain’t that the truth,, ain’t that the truth,truth
1.435799115733082e+18,2021-09-09 02:55:59+00:00,['1435799115733082114'],@gracennelson I forgot he referred to himself as big boy lmfaoooo I miss this,, i forgot he referred to himself as big boy lmfaoooo i miss this,boy lmfaoooo
1.4357805791869133e+18,2021-09-09 01:42:20+00:00,['1435780579186913288'],Desperately need a Sam Smith Adele feature,,desperately need a sam smith adele feature,sam smith feature
1.4338621565298442e+18,2021-09-03 18:39:12+00:00,['1433862156529844226'],@nsifuentes_ Literally same only slept 2 hours here goes nothing,, literally same only slept hours here goes nothing,hour nothing
1.4263407715407012e+18,2021-08-14 00:31:54+00:00,['1426340771540701191'],What I would give to relive the twilight saga again for the first time,,what i would give to relive the twilight saga again for the first time,twilight saga time
1.3903547142362317e+18,2021-05-06 17:16:10+00:00,['1390354714236231682'],Happy nurses week to all the amazing caregivers out there 💕 you are inspirational and so appreciated,,happy nurses week to all the amazing caregivers out there  you are inspirational and so appreciated,nurse week caregiver
1.3831328095738511e+18,2021-04-16 18:58:53+00:00,['1383132809573851140'],Rediscovered one dance and suddenly I feel like a senior at KHS again,,rediscovered one dance and suddenly i feel like a senior at khs again,dance khs
1.372722311829328e+18,2021-03-19 01:31:17+00:00,['1372722311829327873'],Do you enjoy hamburger helper?,,do you enjoy hamburger helper,helper
1.3681999895838106e+18,2021-03-06 14:01:12+00:00,['1368199989583810560'],Life is absolutely precious,,life is absolutely precious,life
1.364333109148287e+18,2021-02-23 21:55:35+00:00,['1364333109148286976'],It's a great day when I get in my car and crooked smile picks up right at the chorus 😌,,it's a great day when i get in my car and crooked smile picks up right at the chorus ,day car smile pick chorus
1.3633464453325988e+18,2021-02-21 04:34:56+00:00,['1363346445332598787'],@_samtherealest Literally did this today as well 🤣,, literally did this today as well ,today
1.3594624775289733e+18,2021-02-10 11:21:26+00:00,['1359462477528973312'],There isn't one weeknd song that I actively dislike,,there isn't one weeknd song that i actively dislike,weeknd song
1.357051646535209e+18,2021-02-03 19:41:39+00:00,['1357051646535208962'],"Three cheers for Pat, the rest of you disgust me https://t.co/oBWS3eFVJW",,three cheers for pat the rest of you disgust me ,cheer pat rest
1.356880475940356e+18,2021-02-03 08:21:29+00:00,['1356880475940356096'],"*calls Santiago at 3 in the morning just to say hi* Santiago: *answers in drowsy voice* ""hi burger, I love you burger""",,calls santiago at in the morning just to say hi santiago answers in drowsy voice hi burger i love you burger,call morning answer voice burger
1.3557930814555382e+18,2021-01-31 08:20:34+00:00,['1355793081455538176'],@_ruizadrianna I think of this at least once a day and have to distract myself before sobbing 😭,, i think of this at least once a day and have to distract myself before sobbing ,day
1.3523194250982195e+18,2021-01-21 18:17:30+00:00,['1352319425098219520'],Bliss https://t.co/MsFw7rHqJ9,,bliss ,bliss
1.3490837894908436e+18,2021-01-12 20:00:14+00:00,['1349083789490843649'],@chloe_jankowski Grubby* nubs,, grubby nubs,grubby nub
1.3490646335802163e+18,2021-01-12 18:44:07+00:00,['1349064633580216320'],If you're gonna make a cooking video you've got to manicure your nails man,,if you're gonna make a cooking video you've got to manicure your nails man,gonna cooking video nail man
1.3483993763523543e+18,2021-01-10 22:40:38+00:00,['1348399376352354310'],@chloe_jankowski Zaddy,, zaddy,zaddy
1.3482083799074857e+18,2021-01-10 10:01:40+00:00,['1348208379907485696'],Missing my girls and boys 💓 @Rudzinskir @kpaalksnyte https://t.co/D9xZgKrWm6,,missing my girls and boys    ,girl boy
1.3423145558636667e+18,2020-12-25 03:41:43+00:00,['1342314555863666690'],I like this hehe https://t.co/Lmce22gdh8,,i like this hehe ,hehe
1.3370708532977295e+18,2020-12-10 16:25:07+00:00,['1337070853297729540'],This is my awesome assistant manager! Go Natalie!! 💚💙 https://t.co/XKs4I38tnN,,this is my awesome assistant manager go natalie  ,assistant manager
1.3288223248591217e+18,2020-11-17 22:08:25+00:00,['1328822324859121666'],Give me christmas cookie baking shows and I will be healed,,give me christmas cookie baking shows and i will be healed,cookie baking show
1.324119082174763e+18,2020-11-04 22:39:24+00:00,['1324119082174763009'],I literally don't remember being 20 years old it was just 19 to 21,,i literally don't remember being years old it was just to,year
1.311115423870595e+18,2020-09-30 01:27:31+00:00,['1311115423870595074'],is watching the presidential debate and wants to move to another country,,is watching the presidential debate and wants to move to another country,debate country
1.3104785040945684e+18,2020-09-28 07:16:37+00:00,['1310478504094568448'],@kpaalksnyte The man is probably scarred to this day,, the man is probably scarred to this day,man day
1.3057377885962895e+18,2020-09-15 05:18:42+00:00,['1305737788596289536'],I heart nurse jackie,,i heart nurse jackie,heart nurse jackie
1.305299304328966e+18,2020-09-14 00:16:20+00:00,['1305299304328966149'],A big time rush song just played at a bar I'm at in cleveland and now my life is complete,,a big time rush song just played at a bar i'm at in cleveland and now my life is complete,time rush song bar cleveland life
1.3022031532118917e+18,2020-09-05 11:13:20+00:00,['1302203153211891712'],Brendan Tanner Finley 😂 Brenna when they found out I was a girl https://t.co/qvMUEWeRzB,,brendan tanner finley  brenna when they found out i was a girl ,brendan tanner finley brenna girl
1.2975396716611256e+18,2020-08-23 14:22:19+00:00,['1297539671661125632'],@_brooklyncrow The book is so incredible! I've been waiting for this movie ever since senior year of high school!,, the book is so incredible i've been waiting for this movie ever since senior year of high school,book movie year school
1.291952297073926e+18,2020-08-08 04:20:05+00:00,['1291952297073926151'],Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/IcITVgeAVP,,do you remember when you joined twitter i do  ,twitter
1.2917337307852063e+18,2020-08-07 13:51:35+00:00,['1291733730785206274'],When the favorite button was a star and it wasn't the year 2020... miss u,,when the favorite button was a star and it wasn't the year miss u,button star year miss
1.2900849105106985e+18,2020-08-03 00:39:45+00:00,['1290084910510698499'],@sneeps29 Sending you all my love 💙,, sending you all my love ,love
1.2900165228538511e+18,2020-08-02 20:08:01+00:00,['1290016522853851136'],And how could I forgot Daughtry omg,,and how could i forgot daughtry omg,daughtry
1.2900161047656243e+18,2020-08-02 20:06:21+00:00,['1290016104765624320'],Rob Thomas + Matchbox Twenty and the Goo Goo Dolls give me the best late 90s-2000s feels,,rob thomas  matchbox twenty and the goo goo dolls give me the best late feels,rob thomas matchbox twenty goo goo doll feel
1.285276673009746e+18,2020-07-20 18:13:32+00:00,['1285276673009745922'],@gracennelson The soundtrack and the baseball scene are just wicked 🥵💥 https://t.co/bYHK6zhpRa,, the soundtrack and the baseball scene are just wicked  ,soundtrack baseball scene
1.284630024071635e+18,2020-07-18 23:23:59+00:00,['1284630024071634944'],@Rudzinskir 😂😂😂 cheers mfers,,  cheers mfers,cheer mfers
1.2720218124534866e+18,2020-06-14 04:23:27+00:00,['1272021812453486592'],@kelsoarm24 THE NAME IS SO BEAUTIFUL OH MY GOODNESS ❤💞,, the name is so beautiful oh my goodness ,name goodness
1.2720216835583836e+18,2020-06-14 04:22:57+00:00,['1272021683558383616'],@LA_816 HUGE FAN OF AANG,, huge fan of aang,fan aang
1.268608258652033e+18,2020-06-04 18:19:13+00:00,['1268608258652033024'],@connormcbride34 @aycdjake @snkr_twitr @SOLELINKS @gustavo_chino18 More pics of the pup!!,,     more pics of the pup,pic pup
1.2672857209448407e+18,2020-06-01 02:43:55+00:00,['1267285720944840706'],@br4dD95 Hell ya boi 😎 https://t.co/JWi9N7JXgM,, hell ya boi  ,hell
1.2672661262428938e+18,2020-06-01 01:26:03+00:00,['1267266126242893824'],"Flint, MI ♡ https://t.co/ZJpfqszcGE",,flint mi  ,flint
1.2669368226823414e+18,2020-05-31 03:37:31+00:00,['1266936822682341376'],Check out @bris_clothingboutique on Instagram for some quarantine shopping!! 💞🛍,,check out  on instagram for some quarantine shopping ,instagram quarantine shopping
1.2661395241382584e+18,2020-05-28 22:49:20+00:00,['1266139524138258433'],"@erickdotjones @lanascomplex @xZaviorOfficial @artdecocarmen @lanascola2 @perlamontan Hi Erick, you would be surprised by how many different forms of birth control there are and how complex they can be. Without the proper instruction, it is very easy to get pregnant by accident. Besides, it's not just the woman's responsibility to know how to practice safe sex.",,      hi erick you would be surprised by how many different forms of birth control there are and how complex they can be without the proper instruction it is very easy to get pregnant by accident besides it's not just the woman's responsibility to know how to practice safe sex,erick form birth control instruction accident besides responsibility practice sex
1.265853803263398e+18,2020-05-28 03:53:59+00:00,['1265853803263397890'],"Lord please help us to be better citizens, friends, neighbors, sisters, brothers, advocates, people... George, may your soul be free and may your body rest in peace https://t.co/gXoY6N72CN",,lord please help us to be better citizens friends neighbors sisters brothers advocates people george may your soul be free and may your body rest in peace ,lord please citizen neighbor sister brother people george soul body rest peace
1.2623223627222016e+18,2020-05-18 10:01:18+00:00,['1262322362722201600'],@Flynn_Haley11 Right dude!,, right dude,dude
1.2622381338418094e+18,2020-05-18 04:26:37+00:00,['1262238133841809408'],These are WEAK Pic 2 is straight baggy https://t.co/ElzTwboCir,,these are weak pic is straight baggy ,pic baggy
1.261702162880639e+18,2020-05-16 16:56:51+00:00,['1261702162880638976'],The lobsters always made me so sad 😭 https://t.co/g5KcbWCMZc,,the lobsters always made me so sad  ,lobster
1.2615865761376502e+18,2020-05-16 09:17:33+00:00,['1261586576137650177'],@chloe_jankowski Absolute beast on the left 😤😤😤 @Jumpman23 sponsor her,, absolute beast on the left   sponsor her,absolute beast left
1.2590924871861412e+18,2020-05-09 12:06:56+00:00,['1259092487186141186'],"@kpaalksnyte ""Let me get your nurse... haha oh yeah""",, let me get your nurse haha oh yeah,yeah
1.25900117833728e+18,2020-05-09 06:04:06+00:00,['1259001178337280001'],@kpaalksnyte YAAAAASSSSS,, yaaaaasssss,yaaaaasssss
1.2585966717112156e+18,2020-05-08 03:16:44+00:00,['1258596671711215616'],US FARMERS STICK TOGETHER #farmersofamerica https://t.co/CvyfUMUErh,,us farmers stick together  ,farmer
1.258596153572184e+18,2020-05-08 03:14:41+00:00,['1258596153572184069'],@Flynn_Haley11 I GOTCHU FELLOW FARMER 🥕🍅🍿🍿🍿🍿,, i gotchu fellow farmer ,farmer
1.2584327931321262e+18,2020-05-07 16:25:33+00:00,['1258432793132126210'],Happy birthday love 💗 https://t.co/FNkz5kOX71,,happy birthday love  ,birthday
1.257131272515793e+18,2020-05-04 02:13:46+00:00,['1257131272515792896'],@gracennelson You're absolutely amazing nurse GG,, you're absolutely amazing nurse gg,nurse
1.2570982153100984e+18,2020-05-04 00:02:24+00:00,['1257098215310098433'],@santi8a98 @UMich @UMichNursing @Cityof_Flint ❤ these pictures are beautiful I'm thankful to have had the best photographer on such a special day!,,     these pictures are beautiful i'm thankful to have had the best photographer on such a special day,picture thankful photographer day
1.25516775054635e+18,2020-04-28 16:11:26+00:00,['1255167750546350080'],HAPPY BIRTHDAY @gracennelson 💕🤗 I love you dearly! Applebees half-off apps and dollar drinks TBA ;) https://t.co/5XQFzYC748,,happy birthday   i love you dearly applebees halfoff apps and dollar drinks tba  ,birthday halfoff apps dollar drink
1.2548426309130977e+18,2020-04-27 18:39:31+00:00,['1254842630913097736'],My special talent is constantly choosing the slowest line at the drive-up teller,,my special talent is constantly choosing the slowest line at the driveup teller,talent line driveup teller
1.253011107062657e+18,2020-04-22 17:21:42+00:00,['1253011107062657026'],@chloe_jankowski @kayla_meyer2 @bleau_k 😭 can't wait to goober-out again this fall,,    can't wait to gooberout again this fall,wait fall
1.2443103553561354e+18,2020-03-29 17:08:01+00:00,['1244310355356135427'],@chloe_jankowski IT'S A FOREVER THANG,, it's a forever thang,forever thang
1.2408092371246572e+18,2020-03-20 01:15:49+00:00,['1240809237124657152'],@chloe_jankowski Bro let's do it together,, bro let's do it together,bro
1.2400246691782492e+18,2020-03-17 21:18:14+00:00,['1240024669178249217'],@kaitlindormire 😂😂😂😂 trailblazer,,  trailblazer,trailblazer
1.2389976028190228e+18,2020-03-15 01:17:02+00:00,['1238997602819022848'],@chloe_jankowski Snap crackle pop to those knees amiright,, snap crackle pop to those knees amiright,snap crackle knee
1.2327315095698063e+18,2020-02-26 18:17:49+00:00,['1232731509569806337'],This is the most precious thing 🐶🐱💕 https://t.co/GedcedYHyH,,this is the most precious thing  ,thing
1.227936190894166e+18,2020-02-13 12:42:56+00:00,['1227936190894166016'],@kpaalksnyte Hey Simde whaddup!,, hey simde whaddup,hey whaddup
