id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english
1.561655863613526e+18,2022-08-22 10:05:46+00:00,['1561655863613526016'],"A must watch video 

Honest Government Ad | UK https://t.co/9g3CK0FOgi via @YouTube",,must watch video honest government ad uk via,False
1.5608923024401367e+18,2022-08-20 07:31:39+00:00,['1560892302440136704'],"@redsarah99 Sounds like #FckedInTgeHeadDizzyLizzy and #DirtyRussianMoneySunak makes #BoozyJohnson look like a guardian angel. 

Biggest threat to this country is them None voters and #Redwall If they voted for Jeremy in 2019 we wouldn’t have billions hidden in Panama under fcking Sunak",,sound like make look like guardian angel biggest threat country none voter voted jeremy wouldnt billion hidden panama fcking sunak,False
1.5592908626135327e+18,2022-08-15 21:28:06+00:00,['1559290862613532673'],"@xxx_kimbo_xxx Think I got rain on Thursday and for the rest of the week. ( Says ) Alexa, Siri, and Cortana. 

But the met office says it’s Sun Sun and more Sun 😂",,think got rain thursday rest week say alexa siri cortana met office say sun sun sun,False
1.5592014182795428e+18,2022-08-15 15:32:41+00:00,['1559201418279542786'],@LukePollard For some people it’s too high right now. The people at the top should be arrested and the money took should be given back and them bstrds should go to prison,,people high right people top arrested money took given back bstrds go prison,False
1.5592006673524165e+18,2022-08-15 15:29:42+00:00,['1559200667352416259'],@josie1964 We all lifted up the glass of beer in the pub when that happened 😂,,lifted glass beer pub happened,False
1.5592001608902e+18,2022-08-15 15:27:41+00:00,['1559200160890200064'],@xxx_kimbo_xxx I have Kim it started around 9am and been on and off all day. It’s not heavy rain but just enough to freshen up the air,,kim started around day heavy rain enough freshen air,False
1.5591898968703877e+18,2022-08-15 14:46:54+00:00,['1559189896870387714'],"@AsdaServiceTeam It’s ok I phoned the head office and they shorted it out for me.
Thanks anyway",,ok phoned head office shorted thanks anyway,False
1.5591301206689792e+18,2022-08-15 10:49:22+00:00,['1559130120668979206'],@asda I need a urgent question about a home delivery,,need urgent question home delivery,False
1.5591245643612242e+18,2022-08-15 10:27:17+00:00,['1559124564361224192'],@AsdaServiceTeam need help with a quick question,,need help quick question,False
1.558806798899024e+18,2022-08-14 13:24:36+00:00,['1558806798899023872'],@Keir_Starmer If you and your band of knobheads didn’t attack your leader in 2019 we might not of been in this mess now. And you will never get the keys to No10. Welcome to Britain with the help of the Tories in red,,band knobheads didnt attack leader might mess never get key welcome britain help tory red,False
1.5588018277805916e+18,2022-08-14 13:04:51+00:00,['1558801827780591616'],"My breaking news. After all this time of avoiding the covid virus. I’ve been tested positive yesterday. 

So far I have crap at back of my throat. A nasty cough. Runny nose like a tap. Also I think I got in from inside Whiston hospital.",,breaking news time avoiding covid virus ive tested positive yesterday far crap back throat nasty cough runny nose like tap also think got inside whiston hospital,False
1.5587987043998433e+18,2022-08-14 12:52:26+00:00,['1558798704399843337'],@voguemagazine how much is my legs worth in your magazine. You must admit they worth a couple of grand https://t.co/UbWb7axnnX,,much leg worth magazine must admit worth couple grand,False
1.5574754751985132e+18,2022-08-10 21:14:24+00:00,['1557475475198513156'],Maybe @Keir_Starmer should watch this as well and stop being a coward https://t.co/hKqAkX39Pj,,maybe watch well stop coward,False
1.5573928779778007e+18,2022-08-10 15:46:11+00:00,['1557392877977800704'],"HELPPPP!!! I’m chocking on my Tories bread and water meal. 

Just hearing that the fcked in the head RAAB is siding with Starmer’s policies. 

If this is true Raab is more fcked up then I thought he was.",,helpppp im chocking tory bread water meal hearing fcked head raab siding starmers policy true raab fcked thought wa,False
1.5559878227792732e+18,2022-08-06 18:43:00+00:00,['1555987822779273217'],@_O_stein @Conservatives @UKLabour Signed and retweeted. Not sure it will change anything because the energy companies having all the backsides licked by the #Tories but at lease we tried #BoozyJohnson #MadnessOfTruss #WackyFishi #ToryCriminals,,signed retweeted sure change anything energy company backside licked lease tried,False
1.5544303703717396e+18,2022-08-02 11:34:14+00:00,['1554430370371739650'],Twitter useless plank of the week goes to @trussliz @Conservatives she done yet another Uturn on pay cuts and this idiot isn’t been voted in as PM. And I forgotten how many Uturns Fishi done now,,twitter useless plank week go done yet another uturn pay cut idiot isnt voted pm forgotten many uturns fishi done,False
1.5533993000880742e+18,2022-07-30 15:17:08+00:00,['1553399300088074241'],Cost of living crisis deepens across the UK https://t.co/1YSab7fZFQ via @YouTube,,cost living crisis deepens across uk via,False
1.552676051200901e+18,2022-07-28 15:23:12+00:00,['1552676051200901121'],@Philgrahamaslef @mrplannings Best image of the day @Keir_Starmer,,best image day,False
1.552624589922001e+18,2022-07-28 11:58:43+00:00,['1552624589922000897'],"@johnmcdonnellMP Starmer is just like #BoozyJohnson he will never listen even with his own party. 

Remember his own words 'I don't need lectures from you',  

that’s who we or dealing with in the @UKLabour how could I vote for this after supporting Labour all my life #StickWithStarmerLoseTheGE",,starmer like never listen even party remember word 'i need lecture you' thats dealing could vote supporting labour life,False
1.552593083958698e+18,2022-07-28 09:53:31+00:00,['1552593083958697985'],Too @johnmcdonnellMP can’t you set up a new party with @jeremycorbyn this @UKLabour isn’t what I voted for all my life. Under Starmer this will crumble at the next GE. It’s falling apart right now. So please hurry get into talks now to save the U.K,,cant set new party isnt voted life starmer crumble next ge falling apart right please hurry get talk save uk,False
1.5525916286484726e+18,2022-07-28 09:47:44+00:00,['1552591628648472579'],"@mo04933471 Starmer is a Tory Sleeper. So when we near a general election. That’s when he wakes up from his deep sleep to sabotage the @UKLabour to make sure they never win. Bit like Eagle, Cooper, Hodge, Owen and all the rest of the Tory blues dressed in Red",,starmer tory sleeper near general election thats wake deep sleep sabotage make sure never win bit like eagle cooper hodge owen rest tory blue dressed red,False
1.5518806381769196e+18,2022-07-26 10:42:31+00:00,['1551880638176919553'],@TrishUnkowm #Starmer at #Liverpool https://t.co/PWWlkbcx1E,,,False
1.5514886754139996e+18,2022-07-25 08:45:00+00:00,['1551488675413999618'],It be nice if you had a payout after all the fck up by the Tories,,nice payout fck tory,False
1.5514880748063375e+18,2022-07-25 08:42:36+00:00,['1551488074806337536'],@pastirka have you read all the articles yesterday and today about pension rip off by the Tories https://t.co/f9nAnlduD3,,read article yesterday today pension rip tory,False
1.551486157153882e+18,2022-07-25 08:34:59+00:00,['1551486157153882112'],@YvonneBurdett3 Please use smaller images of her. Never wasted my breakfast bringing it all back up,,please use smaller image never wasted breakfast bringing back,False
1.5514835393922662e+18,2022-07-25 08:24:35+00:00,['1551483539392266241'],@TrishUnkowm this week the state of this of Britain now. Might use a migrant boat and flee Britain for a better life in North Korea then this shithole lol https://t.co/pcQfA5SkbL,,week state britain might use migrant boat flee britain better life north korea shithole lol,False
1.5507570018771354e+18,2022-07-23 08:17:35+00:00,['1550757001877135367'],@TrishUnkowm looks like you be better off then us lot over here. Move over we coming now 😂 https://t.co/SYoMOys96e,,look like better u lot move coming,False
1.5507548957996728e+18,2022-07-23 08:09:13+00:00,['1550754895799672833'],"So called best news of the day that I can see Is 

Matt WhanCock is backing Fishi Sunak to be PM. 

So one can screw over the country even more while #MattWanCock hoping Fishi gives him a new job so he can screw over more women while being filmed #ToryBritain",,called best news day see matt whancock backing fishi sunak pm one screw country even hoping fishi give new job screw woman filmed,False
1.550204310524502e+18,2022-07-21 19:41:23+00:00,['1550204310524502016'],@EtonOldBoys Ouch 😂,,ouch,False
1.5502035390451876e+18,2022-07-21 19:38:19+00:00,['1550203539045187585'],@trussliz Pippa strikes again 😂 https://t.co/fsGXQxzELY,,pippa strike,False
1.550184852900774e+18,2022-07-21 18:24:04+00:00,['1550184852900773888'],"@darrengrimes_ How to Stuff the #BBC hit them in the pockets 

https://t.co/3IuDH16Mdi",,stuff hit pocket,False
