id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.5631723911439524e+18,2022-08-26 14:31:55+00:00,['1563172391143952388'],"@NewLookHelp I’ve DMd again as required, thanks.",ive dmd required thanks,True,dmd 
1.5630843941514445e+18,2022-08-26 08:42:14+00:00,['1563084394151444480'],"@NewLookHelp Please can you respond to your DM, thanks.",please respond thanks,True,respond 
1.5565573687328358e+18,2022-08-08 08:26:10+00:00,['1556557368732835842'],"@VOGCouncil Not yet, I wanted to book for today but I can’t do that now can I?",yet wanted book today cant,True,book today 
1.5563707659095654e+18,2022-08-07 20:04:41+00:00,['1556370765909565440'],"@VOGCouncil Please can you look into this issue when trying to book for your recycling centre, this is two occasions I’ve tried to book received this error message… https://t.co/6CpblScsZG",please look issue trying book recycling centre two occasion ive tried book received error message,True,issue book occasion book message 
1.554949533548806e+18,2022-08-03 21:57:13+00:00,['1554949533548806150'],@DraiseySamantha Sending you all so much love and best wishes 😘😘,sending much love best wish,True,love wish 
1.5535060466935808e+18,2022-07-30 22:21:18+00:00,['1553506046693580803'],"@cez_cats My friend @AberLerzo lives here!! She always finds things to do with the kids. Ler, any advice???",friend life always find thing kid ler advice,True,life thing kid ler advice 
1.5523414914896896e+18,2022-07-27 17:13:47+00:00,['1552341491489689603'],@MrDuncanJames @officialblue @cez_cats I’m not okay with this - I feel so old! Best memories ever 💞,okay feel old best memory ever,True,okay memory 
1.5520049205970043e+18,2022-07-26 18:56:22+00:00,['1552004920597004288'],Last day of work today until 2023. I am so blessed to have such amazing work colleagues friends. We have all been so unbelievably spoilt. Countdown is officially on until we’re a family of four 💞,last day work today blessed amazing work colleague friend unbelievably spoilt countdown officially family four,True,day work today work colleague friend family 
1.546253823139844e+18,2022-07-10 22:03:34+00:00,['1546253823139844096'],@SteelerFayy He’s definetely gonna stir the pot for Ekin and Davide!!!,definetely gonna stir pot ekin davide,True,pot davide 
1.5418843913157222e+18,2022-06-28 20:41:00+00:00,['1541884391315722242'],@cez_cats Yes 🤣🤣 another trip to the pub!!,yes another trip pub,True,trip pub 
1.541881972825391e+18,2022-06-28 20:31:23+00:00,['1541881972825391105'],@cez_cats 🤣🤣🤣🤣 this is how I feel too,feel,True,feel 
1.539561505976361e+18,2022-06-22 10:50:41+00:00,['1539561505976360960'],"@cez_cats Hope he has a lovely birthday Ceri!! Can’t believe he’s 5, where has time gone!!!!",hope lovely birthday ceri cant believe time gone,True,hope ceri cant time 
1.5373219916021637e+18,2022-06-16 06:31:39+00:00,['1537321991602163712'],@cez_cats Martin Lewis has done videos on this!,martin lewis done video,True,martin lewis video 
1.535370526293893e+18,2022-06-10 21:17:13+00:00,['1535370526293893122'],@Hannahharries1 I can’t!! Ex on the beach vibes 🙈,cant beach vibe,True,beach vibe 
1.5342768307814892e+18,2022-06-07 20:51:16+00:00,['1534276830781489153'],@Mike85Hill @martinson5760 we were chatting about this the other week 😢,chatting week,True,week 
1.534200850687701e+18,2022-06-07 15:49:21+00:00,['1534200850687700992'],@woodyalikat @VOGCouncil I think you’ll find I wouldn’t be moaning thank you my dear. I queried regarding why it hadn’t been done when the service had been closed.. but thanks for your chirp 👍🏻,think youll find wouldnt moaning thank dear queried regarding hadnt done service closed thanks chirp,True,thank dear hadnt service chirp 
1.5338742888890614e+18,2022-06-06 18:11:43+00:00,['1533874288889061376'],"@VOGCouncil Curious.. why wasn’t this done earlier in the year, rather than waiting for the time it opens for the year to close it? 🙈",curious wasnt done earlier year rather waiting time open year close,True,wasnt year time year 
1.5335093500772147e+18,2022-06-05 18:01:34+00:00,['1533509350077214720'],@jenna_rater I literally just said the same thing! 🏴󠁧󠁢󠁷󠁬󠁳󠁿💗,literally said thing,True,thing 
1.531859545164743e+18,2022-06-01 04:45:50+00:00,['1531859545164742667'],"@cez_cats Rileys been to a few parties recently… he’s had - mini haribo sweets, mini cookies/party rings, cake, balloon, bubbles",riley party recently mini haribo sweet mini cookiesparty ring cake balloon bubble,True,riley party mini cookiesparty cake balloon 
1.5316783235117957e+18,2022-05-31 16:45:44+00:00,['1531678323511795712'],@MathewDraisey @cardiffdevils Omg yes she should! Would be great to see their reunion and to see if he knows how to floss 🤣🤣,omg yes would great see reunion see know floss,True,reunion floss 
1.5313550246426788e+18,2022-05-30 19:21:03+00:00,['1531355024642678784'],@carolfarr1959 @DraiseySamantha @beckyfarr1989 @JoeyMartin14 LOVE this! Can’t wait for her to see him back in a Devils jersey!!,love cant wait see back devil jersey,True,love cant wait jersey 
1.5313542199863132e+18,2022-05-30 19:17:51+00:00,['1531354219986313216'],@SteelerFayy You look 🔥🔥🔥🔥,look,True,look 
1.5313493397459436e+18,2022-05-30 18:58:28+00:00,['1531349339745943552'],How excited is Miley with her favourite returning!?! @DraiseySamantha @carolfarr1959 @beckyfarr1989 @JoeyMartin14,excited miley favourite returning,True,miley favourite 
1.5283037822574305e+18,2022-05-22 09:16:30+00:00,['1528303782257430529'],@martinson5760 @twinny222001 @CV_UHB @RPB_CAV @cav_mhsop You’ll enjoy it- it’s fab and sooo informative. Really gets you thinking,youll enjoy fab sooo informative really get thinking,True,youll enjoy sooo 
1.527966127284011e+18,2022-05-21 10:54:47+00:00,['1527966127284011008'],@jo22harri @Batraven Oh Jo! Sorry to hear you’ve been so poorly! Hope you’re on the mend now; sending you all lots of love 😘😘😘,sorry hear youve poorly hope youre mend sending lot love,True,mend sending lot 
1.5273571156981268e+18,2022-05-19 18:34:47+00:00,['1527357115698126848'],@cez_cats Will he run if he sees your dad with peppa pig at the finish line!??,run see dad peppa pig finish line,True,see peppa pig line 
1.5266388131492905e+18,2022-05-17 19:00:31+00:00,['1526638813149290496'],@cez_cats Oh gosh love him! Some people in this world are honestly beyond!,gosh love people world honestly beyond,True,love world 
1.5266317982304584e+18,2022-05-17 18:32:38+00:00,['1526631798230458369'],@cez_cats Oh no!! This is so disgusting. I hope he’s ok 😘,disgusting hope,True,hope 
1.5261406263618888e+18,2022-05-16 10:00:54+00:00,['1526140626361888769'],@VOGCouncil just an observation.. your school admission appeal documents are not user friendly. They don’t allow you to edit successfully using Word. It makes something already stressful even more stressful.. Would be sensible to look into it for next years appeals 👍🏻,observation school admission appeal document user friendly dont allow edit successfully using word make something already stressful even stressful would sensible look next year appeal,True,observation school admission appeal document user edit word something look year appeal 
1.5255812387483034e+18,2022-05-14 20:58:05+00:00,['1525581238748303363'],"@cez_cats Yep! Had a wisdom tooth infection recently, and they won’t take it out until I complain about it twice 🤣",yep wisdom tooth infection recently wont take complain twice,True,yep wisdom infection complain 
1.5255599331770573e+18,2022-05-14 19:33:26+00:00,['1525559933177057282'],@cez_cats I feel your pain!!,feel pain,True,feel pain 
1.5255013412207084e+18,2022-05-14 15:40:36+00:00,['1525501341220708353'],Heart burn in pregnancy is just beyond brutal 😫😭,heart burn pregnancy beyond brutal,True,heart burn pregnancy brutal 
