id,created_at,edit_history_tweet_ids,text,clean_text,nouns,lemm_nouns
1.5650320590971863e+18,2022-08-31 17:41:34+00:00,['1565032059097186304'],"Ex-Tory minister confirms party misled Welsh people over EU funding. Oh, what a surprise. https://t.co/UYcIBJkiDm",extory minister confirms party misled welsh people over eu funding oh what a surprise ,minister party people funding surprise  ,minister party people funding surprise
1.5649177275123712e+18,2022-08-31 10:07:15+00:00,['1564917727512371201'],"""I'm a nobody! Just some guy! Who the hell would want to hear from me?"" ""You've been very open with us today. Can I draw your attention to the fact that Darren Grimes exists?""",im a nobody just some guy who the hell would want to hear from me youve been very open with us today can i draw your attention to the fact that darren grimes exists,nobody guy hell today attention fact grimes exists ,nobody guy hell today attention fact grime exists
1.564886156038357e+18,2022-08-31 08:01:48+00:00,['1564886156038356992'],"""I just feel like no matter how hard I've worked and studied, I don't have a right to be standing at the podium."" ""Let's all thank Sandra for sharing that. Now, open up your packs to Dan Hodges' CV.""",i just feel like no matter how hard i've worked and studied i don't have a right to be standing at the podium lets all thank sandra for sharing that now open up your packs to dan hodges cv,i matter right podium thank sandra packs hodges ,matter right podium thank sandra pack hodges
1.5648853190690734e+18,2022-08-31 07:58:28+00:00,['1564885319069073408'],I'm developing a therapy programme for Imposter Syndrome. It doesn't involve CBT or anything like that. I just read out the qualifications and notable achievements of the nation's top media pundits. You'll never again feel you've no right to give an opinion.,i'm developing a therapy programme for imposter syndrome it doesn't involve cbt or anything like that i just read out the qualifications and notable achievements of the nation's top media pundits you'll never again feel you've no right to give an opinion,therapy programme imposter syndrome cbt anything i qualifications achievements media pundits right opinion ,therapy programme imposter syndrome cbt anything qualification achievement medium pundit right opinion
1.5648781981224673e+18,2022-08-31 07:30:11+00:00,['1564878198122467336'],Just discovered an old friend of mine - a bisexual cis woman - was one of those telling the GCs to get knotted that day. She told them she went through too much of that in the 90s to put up with it being done to another group of people. https://t.co/ZUmQPg26rc,just discovered an old friend of mine  a bisexual cis woman  was one of those telling the gcs to get knotted that day she told them she went through too much of that in the to put up with it being done to another group of people ,friend cis woman  gcs day group people ,friend woman day group people
1.564714013002539e+18,2022-08-30 20:37:46+00:00,['1564714013002539017'],@FubsyShabaroon Or on YouTube., or on youtube, youtube ,youtube
1.5647043155408978e+18,2022-08-30 19:59:14+00:00,['1564704315540897795'],@uisgebeatha I found the trailer. OH MY WORD THEY HAVE A HOLY HAND GRENADE! https://t.co/YpsHRQZ2ny, i found the trailer oh my word they have a holy hand grenade , i trailer word hand  ,trailer word hand
1.5645725444218388e+18,2022-08-30 11:15:37+00:00,['1564572544421838849'],@TheBluestStar There was a Bad Album Covers exhibition at the Shambala Festival this weekend. A couple of examples. https://t.co/z8saxK4F9o, there was a bad album covers exhibition at the shambala festival this weekend a couple of examples , album exhibition shambala festival weekend couple examples ,album exhibition shambala festival weekend couple example
1.5645698099998597e+18,2022-08-30 11:04:45+00:00,['1564569809999859714'],Indus Relief 2022 - donate here to support humanitarian efforts in response to the flooding in Pakistan. https://t.co/kvcCew7LkM,indus relief  donate here to support humanitarian efforts in response to the flooding in pakistan ,indus relief donate efforts response flooding pakistan  ,indus relief donate effort response flooding pakistan
1.562333899908436e+18,2022-08-24 07:00:03+00:00,['1562333899908435968'],"Happy Independence Day to Ukraine, which I believe they celebrate by wearing a traditional symbol of Putin being punched in the dick.",happy independence day to ukraine which i believe they celebrate by wearing a traditional symbol of putin being punched in the dick,independence day i symbol putin dick ,independence day symbol putin dick
