Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1,1,1,1.527353449561543e+18,2022-05-19 18:20:13+00:00,['1527353449561542682'],Check out this job from Nova Medical Centers https://t.co/4Az04SLSto,check out this job from nova medical centers ,False
4,4,4,1.517311615330361e+18,2022-04-22 01:17:34+00:00,['1517311615330361344'],https://t.co/fCkm1LveLt  #kryptomoneggs #MadeWithRipl via https://t.co/Y5l6ob1mr3 https://t.co/0up3NFbsrS,    via  ,False
7,7,7,1.4626911566686044e+18,2021-11-22 07:55:21+00:00,['1462691156668604418'],#TexasRN #TravelTX #RNjobs #CrisisRates #Med-SurgRN #Step-Down #ErNurse #HospitalRNs #Covid #13weeks #localcontracts #Travelcontract https://t.co/5UNN9SG7pO,    surgrn down       ,False
11,11,11,1.41894171666151e+18,2021-07-24 14:30:42+00:00,['1418941716661510156'],Simplify your life with on-demand grocery delivery. Get $10 in free groceries when you join with my link. https://t.co/QcR7GGDzc0,simplify your life with ondemand grocery delivery get  in free groceries when you join with my link ,False
16,16,16,1.4063939153941135e+18,2021-06-19 23:30:13+00:00,['1406393915394113544'],Just posted a video @ Downtown Houston https://t.co/z86Icnv7XI,just posted a video  downtown houston ,False
17,17,17,1.4063924269615104e+18,2021-06-19 23:24:18+00:00,['1406392426961510401'],Just posted a video https://t.co/meG87prWMB,just posted a video ,False
18,18,18,1.4063921929234885e+18,2021-06-19 23:23:22+00:00,['1406392192923488258'],"#pwsmedstaff #cnajobs #massachusetts
#MadeWithRipl via https://t.co/Y5l6ob1mr3 https://t.co/CvGyViau4k","  
 via  ",False
19,19,19,1.399614875555582e+18,2021-06-01 06:32:44+00:00,['1399614875555581953'],Just posted a video https://t.co/tsBi3OLcDE,just posted a video ,False
20,20,20,1.3969676499770204e+18,2021-05-24 23:13:36+00:00,['1396967649977020421'],Just posted a video https://t.co/MZVIsma3Ar,just posted a video ,False
21,21,21,1.3969655396590633e+18,2021-05-24 23:05:13+00:00,['1396965539659063299'],"Just posted a video @ Little Rock, Arkansas https://t.co/0zD5ZxxEmJ",just posted a video  little rock arkansas ,False
23,23,23,1.3969608133999206e+18,2021-05-24 22:46:26+00:00,['1396960813399920642'],Just posted a video https://t.co/q8kTKf7xqI,just posted a video ,False
25,25,25,1.3676379350514647e+18,2021-03-05 00:47:47+00:00,['1367637935051464706'],Just posted a photo https://t.co/wUR4UaG6yG,just posted a photo ,False
32,32,32,1.338954259828793e+18,2020-12-15 21:09:06+00:00,['1338954259828793346'],Just posted a video https://t.co/Apd9AZjznn,just posted a video ,False
36,36,36,1.3373317527932232e+18,2020-12-11 09:41:50+00:00,['1337331752793223168'],"Just posted a video @ Reno, Neveda https://t.co/F5kD9BhRZX",just posted a video  reno neveda ,False
40,40,40,1.3372055607525335e+18,2020-12-11 01:20:24+00:00,['1337205560752533505'],"Nationwide travel needs!!! All specialties!! Unbelievable weekly pay!! @ Houston, Texas https://t.co/Ib75aEy2R4",nationwide travel needs all specialties unbelievable weekly pay  houston texas ,False
41,41,41,1.3369534230282445e+18,2020-12-10 08:38:30+00:00,['1336953423028244482'],Just posted a video https://t.co/ETLQYA8IMq,just posted a video ,False
42,42,42,1.33695323369737e+18,2020-12-10 08:37:44+00:00,['1336953233697370112'],"Just posted a video @ Warwick, Rhode Island https://t.co/koKdFx01Kc",just posted a video  warwick rhode island ,False
45,45,45,1.3364531719091896e+18,2020-12-08 23:30:40+00:00,['1336453171909189633'],https://t.co/GGucGr9Y16,,False
46,46,46,1.3364497898782188e+18,2020-12-08 23:17:14+00:00,['1336449789878218752'],https://t.co/vQ3RmSYevF,,False
47,47,47,1.3364495756667986e+18,2020-12-08 23:16:23+00:00,['1336449575666798593'],https://t.co/zvf4KDEleK,,False
48,48,48,1.3364493358154506e+18,2020-12-08 23:15:26+00:00,['1336449335815450624'],https://t.co/D5NGH0yeAt,,False
55,55,55,1.334175653382533e+18,2020-12-02 16:40:38+00:00,['1334175653382533121'],"Just posted a video @ Reno, Neveda https://t.co/Be3FUlytsD",just posted a video  reno neveda ,False
58,58,58,1.3340847261440614e+18,2020-12-02 10:39:19+00:00,['1334084726144061441'],"Just posted a video @ Broomfield, Colorado https://t.co/zWt3SVxQWa",just posted a video  broomfield colorado ,False
60,60,60,1.3340697964098028e+18,2020-12-02 09:39:59+00:00,['1334069796409802752'],"Just posted a video @ Muskegon, Michigan https://t.co/hnWHVi0lSl",just posted a video  muskegon michigan ,False
64,64,64,1.331416858973655e+18,2020-11-25 01:58:10+00:00,['1331416858973655040'],"Just posted a video @ Fairfax, Virginia https://t.co/t5u0mwiMbK",just posted a video  fairfax virginia ,False
69,69,69,1.3278438701896008e+18,2020-11-15 05:20:23+00:00,['1327843870189600768'],Just posted a photo @ Kemah Boardwalk https://t.co/OJDETHmtss,just posted a photo  kemah boardwalk ,False
70,70,70,1.3229374629902746e+18,2020-11-01 16:24:04+00:00,['1322937462990274562'],"Just posted a video @ San Antonio, Texas https://t.co/FjpbyJFWsT",just posted a video  san antonio texas ,False
71,71,71,1.3229368550762332e+18,2020-11-01 16:21:39+00:00,['1322936855076233216'],"Just posted a video @ San Antonio, Texas https://t.co/ULCmD9cHTx",just posted a video  san antonio texas ,False
73,73,73,1.3205894279751148e+18,2020-10-26 04:53:49+00:00,['1320589427975114752'],"Just posted a video @ Fort Worth, Texas https://t.co/YijL2MMHMg",just posted a video  fort worth texas ,False
74,74,74,1.320588261769859e+18,2020-10-26 04:49:11+00:00,['1320588261769859072'],"Just posted a video @ San Antonio, Texas https://t.co/2YIBARLgFd",just posted a video  san antonio texas ,False
75,75,75,1.320469062703403e+18,2020-10-25 20:55:32+00:00,['1320469062703403008'],Just posted a video https://t.co/aAUgIbAGR9,just posted a video ,False
76,76,76,1.3201838867736166e+18,2020-10-25 02:02:21+00:00,['1320183886773616645'],#MadeWithRipl via https://t.co/Y5l6ob1mr3 https://t.co/bcQJ4lW1aE, via  ,False
78,78,78,1.3201338951956767e+18,2020-10-24 22:43:42+00:00,['1320133895195676673'],#MadeWithRipl via https://t.co/Y5l6ob1mr3 https://t.co/QTcTYGn969, via  ,False
80,80,80,1.3181030318257316e+18,2020-10-19 08:13:46+00:00,['1318103031825731585'],Never attended this school!! https://t.co/ueSCIFOSwn,never attended this school ,False
