id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns,lemm_nouns
1.5607760753697423e+18,2022-08-19 23:49:48+00:00,['1560776075369742338'],@NQNAlex You didn’t fail. Sometimes we just have shifts like that and although it isn’t nice and it makes you feel rubbish just know that you did your absolute best for your patients. Working a ward is 24/7 Care so it’s okay to hand stuff over when your shift is done; you did great 🤍,, you didn’t fail sometimes we just have shifts like that and although it isn’t nice and it makes you feel rubbish just know that you did your absolute best for your patients working a ward is care so it’s okay to hand stuff over when your shift is done you did great , shifts absolute patients ward okay hand stuff shift  ,shift absolute patient ward okay hand stuff shift
1.5604214094945485e+18,2022-08-19 00:20:29+00:00,['1560421409494548483'],I’ve just finished reading how to kill your family and I’m absolutely INFURIATED by the ending. Grace maybe a serial killer but she deserved better @bellamackie what a bloody book,,i’ve just finished reading how to kill your family and i’m absolutely infuriated by the ending grace maybe a serial killer but she deserved better  what a bloody book,family grace killer book ,family grace killer book
1.5595882837049016e+18,2022-08-16 17:09:57+00:00,['1559588283704901632'],The residencies may have little freak and daydreaming but Wembley N1 got Boyfriends and SOTT in the rain with fireworks so that’s enough for me https://t.co/dbvahmnB1C,,the residencies may have little freak and daydreaming but wembley n got boyfriends and sott in the rain with fireworks so that’s enough for me ,residencies n boyfriends sott rain fireworks ,residency boyfriend sott rain firework
1.559509017155846e+18,2022-08-16 11:54:58+00:00,['1559509017155846144'],Waking up to Zayn singing night changes in 2022 literally has me in a choke hold 😭😭 I’m so obsessed with him have been for 12 years will be forever,,waking up to zayn singing night changes in literally has me in a choke hold  i’m so obsessed with him have been for years will be forever,night changes choke hold  years ,night change choke hold year
1.559221746674303e+18,2022-08-15 16:53:28+00:00,['1559221746674302976'],@george_ezra @boardmasters Sing sweetest human being alive on tour plz I will tweet this everyday until 16th September for Manchester or it’s on sight,,  sing sweetest human being alive on tour plz i will tweet this everyday until september for manchester or it’s on sight, plz i september manchester sight ,plz september manchester sight
1.5573587746834104e+18,2022-08-10 13:30:40+00:00,['1557358774683410437'],@_97adeeba I work in neonates so I know exactly how you feel. Don’t think I’ll ever get used to it. I’m always here if you need to vent 🤍,, i work in neonates so i know exactly how you feel don’t think i’ll ever get used to it i’m always here if you need to vent , i work neonates  ,work neonate
1.557303288617472e+18,2022-08-10 09:50:11+00:00,['1557303288617472006'],@_97adeeba Thinking of you 🤍 it never gets easier no matter how many times you see it,, thinking of you  it never gets easier no matter how many times you see it,thinking matter times ,thinking matter time
1.5570573616799826e+18,2022-08-09 17:32:58+00:00,['1557057361679982592'],I get deeply personally offended when I see any George Ezra hate like my man just makes unreal music and has a voice like honey what’s to hate ??,,i get deeply personally offended when i see any george ezra hate like my man just makes unreal music and has a voice like honey what’s to hate ,i george hate man music voice honey  ,george hate man music voice honey
1.5542100621340877e+18,2022-08-01 20:58:49+00:00,['1554210062134087684'],Who is voting for Gemma and Luca 😭😭😭😭,,who is voting for gemma and luca ,gemma luca  ,gemma luca
1.554202755014746e+18,2022-08-01 20:29:47+00:00,['1554202755014746115'],One vote for Dami and indiyah and one vote for Ekin su and davide I csnt believe it’s over,,one vote for dami and indiyah and one vote for ekin su and davide i csnt believe it’s over,vote dami indiyah vote su davide i ,vote dami indiyah vote davide
