id,created_at,edit_history_tweet_ids,text,clean_text,nouns,lemm_nouns
1.564985256142422e+18,2022-08-31 14:35:35+00:00,['1564985256142422016'],"Unfortunately, there are no silver bullet solutions. Food for Life are working with partners to call for a comprehensive reform of #SchoolFood in England, to ensure all children can access a healthy meal Read more from our Head of Policy @Rob_Percival_👇 https://t.co/3jzxupmn5K",unfortunately there are no silver bullet solutions food for life are working with partners to call for a comprehensive reform of  in england to ensure all children can access a healthy meal read more from our head of policy  ,bullet solutions food life partners reform  england children access meal head policy   ,bullet solution food life partner reform england child access meal head policy
1.5649813593362022e+18,2022-08-31 14:20:06+00:00,['1564981359336202241'],"It's deeply upsetting to hear this😢 As the #CostOfLivingCrisis worsens, more children are going to school hungry #EnoughIsEnough - tell Govt to extend Free School Meals to support 800,000 children living in poverty Sign here⬇️ https://t.co/5kAxWHPjVU https://t.co/QETrOnWTc5",it's deeply upsetting to hear this as the  worsens more children are going to school hungry   tell govt to extend free school meals to support children living in poverty sign here  , children school   govt school meals children poverty sign  ,child school govt school meal child poverty sign
1.5649596952274534e+18,2022-08-31 12:54:01+00:00,['1564959695227453440'],🌬️How much carbon is produced by the food you serve? 🍽️Use @coolfoodpro's FREE #carbon calculator for caterers to track the environmental impact of your meals 📝Simply sign up and start reducing your #CarbonFootprint Get involved🔽 https://t.co/Nnc3DQNjTc #ClimateChange https://t.co/I5UZq3IDeV,how much carbon is produced by the food you serve use s free  calculator for caterers to track the environmental impact of your meals simply sign up and start reducing your  get involved   ,carbon food  calculator caterers impact meals get    ,carbon food calculator caterer impact meal get
1.564883441405018e+18,2022-08-31 07:51:01+00:00,['1564883441405018112'],"Did you know we have a dedicated #FFLGetTogethers Facebook Group where you can share your experiences, find ideas and get support?👫 💬 Head on over and join the community - we'd love to have you with us 🤗 https://t.co/Lkp8GVh9FH https://t.co/qy7h2Jjtxs",did you know we have a dedicated  facebook group where you can share your experiences find ideas and get support  head on over and join the community  we'd love to have you with us   , facebook group share experiences ideas support  head community  love  ,facebook group share experience idea support head community love
1.564639336510931e+18,2022-08-30 15:41:02+00:00,['1564639336510930947'],"Over 900 people came to one of our #FFLGetTogethers network sessions National local partners invited community leaders from across the UK to learn, share build capacity👫 📝read our report: https://t.co/Wq3c6unqeu 🎥watch previous events: https://t.co/YNvmwLO08x https://t.co/k0q8wOlsXU",over people came to one of our  network sessions national local partners invited community leaders from across the uk to learn share build capacity read our report  watch previous events  ,people  network sessions partners community leaders uk share capacity report  events  ,people network session partner community leader share capacity report event
1.5631684130776187e+18,2022-08-26 14:16:06+00:00,['1563168413077618688'],"Are you getting together with your community this #BankHolidayWeekend?👫 This easy, healthy, no-cook salad is great to share at a buffet or picnic🥗 Check out our delicious recipes to help you bring people together through good food #FFLGetTogethers 👇 https://t.co/C9SSG1sGUa https://t.co/zeAcEvWkFy",are you getting together with your community this  this easy healthy nocook salad is great to share at a buffet or picnic check out our delicious recipes to help you bring people together through good food    ,community  nocook salad share buffet check recipes people food     ,community nocook salad share buffet check recipe people food
1.563162851782832e+18,2022-08-26 13:54:00+00:00,['1563162851782832135'],@RoyalVolService Thanks for sharing our report and for your support!🌱🙌, thanks for sharing our report and for your support,thanks report support ,thanks report support
1.5628022294462628e+18,2022-08-25 14:01:01+00:00,['1562802229446262786'],"@ELHT_NHS, a Bronze Food for Life Served Here award holder, have teamed up with @ForestryEngland to put wild venison on the menu at their hospitals. And they are up for BBC Food and Farming Award! 🏆 Find out more about how this helps woodland: https://t.co/SiQU6tJcY2", a bronze food for life served here award holder have teamed up with  to put wild venison on the menu at their hospitals and they are up for bbc food and farming award  find out more about how this helps woodland ,bronze food life holder  venison menu hospitals bbc food   ,bronze food life holder venison menu hospital bbc food
1.5627523970924052e+18,2022-08-25 10:43:00+00:00,['1562752397092405248'],"There are *so* many reasons why we support school catered meals at lunchtime - @KirkleesCouncil shares their top 5 🌟 #1 - Healthy, balanced meals you can trust 💚 🍽️ Read full five here 👇 https://t.co/itf9PTpI14",there are so many reasons why we support school catered meals at lunchtime   shares their top    healthy balanced meals you can trust   read full five here  ,reasons school meals   shares    meals   ,reason school meal share meal
1.562479861893329e+18,2022-08-24 16:40:03+00:00,['1562479861893328896'],"Tell the government to extend #FreeSchoolMeals to the 800,000 children in need 🍽️ @BiteBack2030 have nearly hit their target of 75,000 signatures - have you signed the petition yet? Sign here👇 https://t.co/5kAxWHPRLs #FoodPoverty #CostofLivingCrisis #EnoughIsEnough",tell the government to extend  to the children in need   have nearly hit their target of signatures  have you signed the petition yet sign here    ,government  children need  target signatures petition    ,government child need target signature petition
