id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.5605621129082593e+18,2022-08-19 09:39:36+00:00,['1560562112908259328'],@rafnumber10 Ohmygooossssh unsay motive?,ohmygooossssh unsay motive,False
1.557083129491456e+18,2022-08-09 19:15:21+00:00,['1557083129491456000'],Okay lng kapoyon…,okay lng kapoyon,False
1.555675723892986e+18,2022-08-05 22:02:50+00:00,['1555675723892985856'],"Pag duty next day, 12mn na matulog but pag off gani next day… 10pm katulgon na… why self?? 🫣🥱🥱🥱 #goodnightworld",pag duty next day mn na matulog pag gani next day pm katulgon na self,False
1.5529952980411187e+18,2022-07-29 12:31:46+00:00,['1552995298041118723'],1st week working done… looking forward to my off!!! 🥳🥳🥳🥳,st week working done looking forward,False
1.5519778576891986e+18,2022-07-26 17:08:50+00:00,['1551977857689198592'],@yzagurl Huyyyy knsa na??? Gamay rman imong mga senior akong kaila 😱😱😱,huyyyy knsa na gamay rman imong mga senior akong kaila,False
1.549135635746902e+18,2022-07-18 20:54:51+00:00,['1549135635746902016'],Can’t wait for Wednesday!!! 😎,cant wait wednesday,False
1.5491074224674245e+18,2022-07-18 19:02:45+00:00,['1549107422467424256'],3 ladies vs Rishi… Who will win? 🧐🧐🧐 @RishiSunak 😂😂😂,lady v rishi win,False
1.549106375799804e+18,2022-07-18 18:58:35+00:00,['1549106375799803905'],@yznerk Naunsa ka doc?,naunsa ka doc,False
1.5491012440605204e+18,2022-07-18 18:38:12+00:00,['1549101244060520448'],@jhnmrkrl01 @iambipolarnikka nkadungog sa news 🤣🤣🤣🤣,nkadungog sa news,False
1.549085191125205e+18,2022-07-18 17:34:24+00:00,['1549085191125204992'],@iambipolarnikka @jhnmrkrl01 Chelsea bay daw pinaka less number A&amp;E px according to bbc.. maypa mag suki ka Chelsea new,chelsea bay daw pinaka le number aampe px according bbc maypa mag suki ka chelsea new,False
1.5485990136157553e+18,2022-07-17 09:22:31+00:00,['1548599013615755264'],@iambipolarnikka Push lng 🤣,push lng,False
1.547997045021061e+18,2022-07-15 17:30:30+00:00,['1547997045021061121'],@MaikaRae Aw oks… happy days npud ka maiks 😆,aw ok happy day npud ka maiks,False
1.54799487812198e+18,2022-07-15 17:21:53+00:00,['1547994878121979906'],@MaikaRae Pa UK end destination ka Maiks ?,pa uk end destination ka maiks,False
1.546942188684288e+18,2022-07-12 19:38:53+00:00,['1546942188684288001'],Always a struggle to go to the gym but so rewarding after… ☺️,always struggle go gym rewarding,False
1.546788069692539e+18,2022-07-12 09:26:28+00:00,['1546788069692538883'],Woke up at 8am alarm then snooze… now it’s 10am! 🤦🏻‍♀️ #everydaystory,woke alarm snooze,False
1.5450110299769403e+18,2022-07-07 11:45:09+00:00,['1545011029976940545'],“No one is indespensible…” #PrimeMinisterOut 👏🏼👏🏼👏🏼👏🏼 #britishpolitics https://t.co/bXblBZIsZv,one indespensible,False
1.54443443222809e+18,2022-07-05 21:33:57+00:00,['1544434432228089859'],Happy anniversary din pala kasangga sa best deals! 😆😆😆😆 #7years @MoneySupermkt #thanks4thebestdeals https://t.co/Yybxo95VLW,happy anniversary din pala kasangga sa best deal,False
1.5444287665539318e+18,2022-07-05 21:11:26+00:00,['1544428766553931777'],Happy 74th year @NHSuk !!! You’re the greatest service/achievement 🇬🇧 has to offer! 👏🏼👏🏼👏🏼👏🏼👏🏼 ❤️❤️❤️💕💕💕💕💕💕 https://t.co/sWJuKL34Ac,happy th year youre greatest serviceachievement ha offer,False
1.5425418374240092e+18,2022-06-30 16:13:27+00:00,['1542541837424009217'],"June 30, 2022. Lest we not forget.",june lest forget,False
1.5389964628721664e+18,2022-06-20 21:25:24+00:00,['1538996462872166400'],Just got home… Very productive day from morning to evening… My ❤️ is full. ☺️💕 https://t.co/hoDF9hQvT6,got home productive day morning evening full,False
1.5383143419254088e+18,2022-06-19 00:14:54+00:00,['1538314341925408769'],Luxury Living: These Are the World's Most Expensive Cities for the Rich - Bloomberg https://t.co/raX9wLo2Yx,luxury living world's expensive city rich bloomberg,False
1.5352178478231306e+18,2022-06-10 11:10:32+00:00,['1535217847823130626'],@yznerk Charst gyud oi 😆,charst gyud oi,False
1.5350631369019023e+18,2022-06-10 00:55:46+00:00,['1535063136901902336'],@isabellejeda It always starts with a dream! 😏,always start dream,False
1.5350625492970086e+18,2022-06-10 00:53:26+00:00,['1535062549297008640'],@yznerk I like his built. Sino itey? 😏,like built sino itey,False
1.5345112847959777e+18,2022-06-08 12:22:54+00:00,['1534511284795977731'],@cnbcwatcher90 Well I guess training is as hard as nursing so I’ll probably try. Let me think about it… 🧐😅😂🤣🤣🤣,well guess training hard nursing ill probably try let think,False
1.534261613250982e+18,2022-06-07 19:50:48+00:00,['1534261613250981888'],Unions threaten strikes as TfL scheme review models pension cuts - https://t.co/gngaom8kC8 https://t.co/FUkWn3Vq8V,union threaten strike tfl scheme review model pension cut,False
1.5342590434301706e+18,2022-06-07 19:40:35+00:00,['1534259043430170624'],"2016 report! #tflstrike

It's NOT just Tube drivers: Take a look at the MASSIVE salaries of TfL workers - London Business News | https://t.co/3PPUKT7KTu https://t.co/tzdE71lTtl",report tube driver take look massive salary tfl worker london business news,False
1.5342585007207877e+18,2022-06-07 19:38:26+00:00,['1534258500720787459'],"I would like to drop my NHS Nursing job and apply as a Tube Driver! #tflstrike

Tube driver salary: How much do they get paid on the London Underground? – The Scottish Sun https://t.co/fTdAZMf0nC",would like drop nh nursing job apply tube driver tube driver salary much get paid london underground scottish sun,False
