id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english
1.564670407470375e+18,2022-08-30 17:44:29+00:00,['1564670407470374920'],3 people followed me and 2 people unfollowed me // automatically checked by https://t.co/PgQIQww86C,,people followed people unfollowed automatically checked,False
1.5638237108591534e+18,2022-08-28 09:40:01+00:00,['1563823710859153409'],"@cerebralgymnast @AyoCaesar This is just flinging insults, like a glorified monkey.",,flinging insult like glorified monkey,False
1.5638230957937295e+18,2022-08-28 09:37:35+00:00,['1563823095793729537'],@AEHALL1983 @DSpidermanH It’s not bigotry to hate tories because that hatred is based on your beliefs and behaviour and the fact that you are actively working to make life worse for the majority of people.,,bigotry hate tory hatred based belief behaviour fact actively working make life worse majority people,False
1.5633082383757765e+18,2022-08-26 23:31:43+00:00,['1563308238375776256'],6 people followed me and one person unfollowed me // automatically checked by https://t.co/PgQIQwewI2,,people followed one person unfollowed automatically checked,False
1.5628171089875108e+18,2022-08-25 15:00:09+00:00,['1562817108987510784'],@Twatterisgay91 @boyufd @ConSelfOwns Alright bootlicker.,,alright bootlicker,False
1.5626868027495793e+18,2022-08-25 06:22:21+00:00,['1562686802749579264'],@kittycatboyd This is a cynical attempt by Johnson to try and get people to agree to their ongoing impoverishment for the sake of the wealth and power of him and his friends.,,cynical attempt johnson try get people agree ongoing impoverishment sake wealth power friend,False
1.5625599377203732e+18,2022-08-24 21:58:14+00:00,['1562559937720373248'],@PeterWalker59 @ShakeyStephens @guardian Every study based on analysis of actual output shows clear right-wing bias at BBC news.,,every study based analysis actual output show clear rightwing bias bbc news,False
1.562496658856104e+18,2022-08-24 17:46:47+00:00,['1562496658856103937'],Add your name on @organisehq https://t.co/1l5udrR5TF,,add name,False
1.561986453688705e+18,2022-08-23 07:59:25+00:00,['1561986453688705026'],@Ichisdad2 @joecguinan The point you’re clearly missing is not just that Labour are proving no opposition but that they support the same failed economic models.,,point youre clearly missing labour proving opposition support failed economic model,False
1.5619860856426988e+18,2022-08-23 07:57:57+00:00,['1561986085642698752'],@samuelsibeko @speckledtee @hugh_canning @Ichisdad2 @joecguinan A “Tory lite” party is not good. It is bad. The point is that if they win they won’t do anything that changes anything fundamentally so it all carries on more or less the same. The same failed economic models. The same exploitation. The same corruption.,,tory lite party good bad point win wont anything change anything fundamentally carry le failed economic model exploitation corruption,False
1.5618850543594455e+18,2022-08-23 01:16:30+00:00,['1561885054359445504'],one person followed me // automatically checked by https://t.co/PgQIQww86C,,one person followed automatically checked,False
1.5612931493597266e+18,2022-08-21 10:04:28+00:00,['1561293149359726592'],@object_reality @caitoz Right is the entrenchment and extension of the power and wealth of the already powerful and wealthy and the inhibition and/or destruction of the democratic freedoms of everybody else because they have to be exploited for the sake of wealth and power.,,right entrenchment extension power wealth already powerful wealthy inhibition andor destruction democratic freedom everybody else exploited sake wealth power,False
1.5609580586830395e+18,2022-08-20 11:52:57+00:00,['1560958058683039746'],"@SportingNest I’m sure  that, as a journalism and psych graduate, you understand that the issue is the loaded terms used to compose the question. This would then suggest that your response is disingenuous and is pushing a right-wing  agenda.",,im sure journalism psych graduate understand issue loaded term used compose question would suggest response disingenuous pushing rightwing agenda,False
1.5609559623783137e+18,2022-08-20 11:44:37+00:00,['1560955962378313729'],"@SportingNest @AndyPeacock999 @Channel4News It’s loaded language the purpose of which is not to elicit information for the improved understanding of the viewer, but rather to present its own message which is that the strikes are bad and strikers are uncaring of others. It is presenting the bosses’ agenda. As are you.",,loaded language purpose elicit information improved understanding viewer rather present message strike bad striker uncaring others presenting boss agenda,False
1.5609415667888783e+18,2022-08-20 10:47:25+00:00,['1560941566788878337'],@rllyquitetired @flying_rodent But voting for that is seen as an endorsement and a mandate for that shit  and makes it more difficult to bring down the system of obligatory shit-eating.,,voting seen endorsement mandate shit make difficult bring system obligatory shiteating,False
1.560934276744495e+18,2022-08-20 10:18:26+00:00,['1560934276744495104'],Solidarity with all workers on strike today. All workers deserve improved pay and conditions and job security as an absolute minimum.,,solidarity worker strike today worker deserve improved pay condition job security absolute minimum,False
1.5609335654828196e+18,2022-08-20 10:15:37+00:00,['1560933565482819586'],@MPIainDS She’s planning neofascist laws to crack down on democracy because you lot are terrified of workers standing up for themselves.,,shes planning neofascist law crack democracy lot terrified worker standing,False
1.5609312748812042e+18,2022-08-20 10:06:31+00:00,['1560931274881204224'],"@CWUnews I back my postie simply because all workers deserve improved pay and conditions and job security. 
#StandByYourPost",,back postie simply worker deserve improved pay condition job security,False
1.5607678361712108e+18,2022-08-19 23:17:04+00:00,['1560767836171210752'],4 people followed me and one person unfollowed me // automatically checked by https://t.co/PgQIQww86C,,people followed one person unfollowed automatically checked,False
