,Topic,Count,Name,details
0,-1,92955,-1_people_time_year_today,"['people', 'time', 'year', 'today', 'thing', 'week', 'news', 'game', 'thanks', 'work']"
1,0,1970,0_thank_thanks_moment_kind,"['thank', 'thanks', 'moment', 'kind', 'stage', 'pleasure', 'animal', 'support', 'time', 'hour']"
2,1,1392,1_book_song_copy_writer,"['book', 'song', 'copy', 'writer', 'author', 'review', 'dream', 'album', 'mother', 'bookshop']"
3,2,1114,2_covid_hospital_pandemic_restriction,"['covid', 'hospital', 'pandemic', 'restriction', 'symptom', 'case', 'throat', 'test', 'people', 'health']"
4,3,1059,3_food_lunch_restaurant_dinner,"['food', 'lunch', 'restaurant', 'dinner', 'meal', 'supermarket', 'inflation', 'chef', 'meat', 'beef']"
5,4,1034,4_magazine_ceoworld_leader_leadership,"['magazine', 'ceoworld', 'leader', 'leadership', 'story', 'musk', 'brand', 'article', 'bear', 'kindness']"
6,5,1032,5_police_murder_crime_officer,"['police', 'murder', 'crime', 'officer', 'woman', 'violence', 'rape', 'psni', 'abuse', 'victim']"
7,6,975,6_twitter_tweet_timeline_account,"['twitter', 'tweet', 'timeline', 'account', 'hashtag', 'tear', 'place', 'date', 'time', 'mood']"
8,7,866,7_family_love_vibe_blog,"['family', 'love', 'vibe', 'blog', 'nightmare', 'benny', 'sister', 'thing', 'thought', 'thinking']"
9,8,828,8_photo_photographer_photography_camera,"['photo', 'photographer', 'photography', 'camera', 'photograph', 'image', 'picture', 'photojournalist', 'photojournalism', 'gaze']"
10,9,793,9_journalist_journalism_newspaper_news,"['journalist', 'journalism', 'newspaper', 'news', 'rest', 'medium', 'terrorism', 'gardai', 'story', 'people']"
11,10,782,10_vaccine_virus_vaccination_booster,"['vaccine', 'virus', 'vaccination', 'booster', 'covid', 'people', 'pfizer', 'risk', 'variant', 'pharmacy']"
12,11,745,11_ireland_belfast_dublin_derry,"['ireland', 'belfast', 'dublin', 'derry', 'fein', 'sinn', 'business', 'year', 'irish', 'news']"
13,12,741,12_episode_podcast_series_spotify,"['episode', 'podcast', 'series', 'spotify', 'podcasts', 'simpson', 'playlist', 'season', 'expectation', 'guest']"
14,13,721,13_woman_trans_gender_misogyny,"['woman', 'trans', 'gender', 'misogyny', 'people', 'feminism', 'toilet', 'sexism', 'feminist', 'issue']"
15,14,607,14_health_therapy_doctor_pool,"['health', 'therapy', 'doctor', 'pool', 'ptsd', 'swimming', 'nurse', 'conversion', 'linkedin', 'responsibility']"
16,15,602,15_election_tory_vote_seat,"['election', 'tory', 'vote', 'seat', 'poll', 'voter', 'party', 'renfrewshire', 'candidate', 'result']"
17,16,588,16_johnson_boris_cummings_starmer,"['johnson', 'boris', 'cummings', 'starmer', 'biden', 'tone', 'gesture', 'truss', 'party', 'government']"
18,17,586,17_school_trust_parent_academy,"['school', 'trust', 'parent', 'academy', 'complaint', 'child', 'behaviour', 'governance', 'isolation', 'pupil']"
19,18,563,18_kong_hong_museum_statue,"['kong', 'hong', 'museum', 'statue', 'security', 'taiwan', 'candle', 'tiananmen', 'china', 'govt']"
20,19,555,19_video_youtube_instagram_tiktok,"['video', 'youtube', 'instagram', 'tiktok', 'footage', 'music', 'chloe', 'doorstep', 'dylan', 'tape']"
